日期,PE总开工率
2012-11-01,0.7258604934511118
2012-11-02,0.7258604934511118
2012-11-05,0.744136460554371
2012-11-06,0.744136460554371
2012-11-07,0.744136460554371
2012-11-08,0.744136460554371
2012-11-09,0.744136460554371
2012-11-12,0.7563204386232105
2012-11-13,0.7563204386232105
2012-11-14,0.7563204386232105
2012-11-15,0.7563204386232105
2012-11-16,0.7514468473956747
2012-11-19,0.7301248857752056
2012-11-20,0.7526652452025586
2012-11-21,0.7526652452025586
2012-11-22,0.7587572342369784
2012-11-23,0.7587572342369784
2012-11-26,0.7587572342369784
2012-11-27,0.7587572342369784
2012-11-28,0.7587572342369784
2012-11-29,0.7587572342369784
2012-11-30,0.7587572342369784
2012-12-03,0.7404812671337192
2012-12-04,0.71915930551325
2012-12-05,0.7228144989339019
2012-12-06,0.7228144989339019
2012-12-07,0.744136460554371
2012-12-10,0.7404812671337192
2012-12-11,0.7222053000304599
2012-12-12,0.7222053000304599
2012-12-13,0.7222053000304599
2012-12-14,0.7222053000304599
2012-12-17,0.7222053000304599
2012-12-18,0.7404812671337192
2012-12-19,0.7404812671337192
2012-12-20,0.7404812671337192
2012-12-21,0.7404812671337192
2012-12-22,0.7404812671337192
2012-12-23,0.7404812671337192
2012-12-24,0.7404812671337192
2012-12-25,0.7404812671337192
2012-12-26,0.7404812671337192
2012-12-27,0.7404812671337192
2012-12-28,0.7404812671337192
2012-12-29,0.7404812671337192
2012-12-30,0.7404812671337192
2012-12-31,0.7404812671337192
2013-01-01,0.7404812671337192
2013-01-02,0.7404812671337192
2013-01-03,0.7404812671337192
2013-01-04,0.7404812671337192
2013-01-05,0.7404812671337192
2013-01-06,0.7404812671337192
2013-01-07,0.7404812671337192
2013-01-08,0.7404812671337192
2013-01-09,0.7404812671337192
2013-01-10,0.7404812671337192
2013-01-11,0.7404812671337192
2013-01-12,0.7404812671337192
2013-01-13,0.7404812671337192
2013-01-14,0.740481267133719
2013-01-15,0.7404812671337192
2013-01-16,0.7404812671337192
2013-01-17,0.7404812671337192
2013-01-18,0.7404812671337192
2013-01-19,0.7404812671337192
2013-01-20,0.7404812671337192
2013-01-21,0.7404812671337192
2013-01-22,0.7282972890648797
2013-01-23,0.7100213219616205
2013-01-24,0.7100213219616205
2013-01-25,0.7282972890648797
2013-01-26,0.7282972890648797
2013-01-27,0.7282972890648797
2013-01-28,0.7282972890648797
2013-01-29,0.7282972890648797
2013-01-30,0.7404812671337192
2013-01-31,0.7404812671337192
2013-02-01,0.7404812671337192
2013-02-02,0.7404812671337192
2013-02-03,0.7404812671337192
2013-02-04,0.7404812671337192
2013-02-05,0.7404812671337192
2013-02-06,0.7404812671337192
2013-02-07,0.7404812671337192
2013-02-08,0.7404812671337192
2013-02-09,0.7404812671337192
2013-02-10,0.7404812671337192
2013-02-11,0.7404812671337192
2013-02-12,0.7404812671337192
2013-02-13,0.7404812671337192
2013-02-14,0.7404812671337192
2013-02-15,0.7404812671337192
2013-02-16,0.7404812671337192
2013-02-17,0.7404812671337192
2013-02-18,0.7404812671337192
2013-02-19,0.7404812671337192
2013-02-20,0.7404812671337192
2013-02-21,0.7404812671337192
2013-02-22,0.7404812671337192
2013-02-23,0.7404812671337192
2013-02-24,0.7404812671337192
2013-02-25,0.7222053000304599
2013-02-26,0.7222053000304599
2013-02-27,0.7222053000304599
2013-02-28,0.7404812671337192
2013-03-01,0.7404812671337192
2013-03-02,0.7404812671337192
2013-03-03,0.7404812671337192
2013-03-04,0.7404812671337192
2013-03-05,0.7404812671337192
2013-03-06,0.7404812671337192
2013-03-07,0.7404812671337192
2013-03-08,0.7404812671337192
2013-03-09,0.7404812671337192
2013-03-10,0.7404812671337192
2013-03-11,0.7404812671337192
2013-03-12,0.7404812671337192
2013-03-13,0.7404812671337192
2013-03-14,0.7404812671337192
2013-03-15,0.7404812671337192
2013-03-16,0.7404812671337192
2013-03-17,0.7404812671337192
2013-03-18,0.7404812671337192
2013-03-19,0.7404812671337192
2013-03-20,0.7404812671337192
2013-03-21,0.7240328967407859
2013-03-22,0.7240328967407859
2013-03-23,0.7240328967407859
2013-03-24,0.7240328967407859
2013-03-25,0.7057569296375267
2013-03-26,0.7240328967407859
2013-03-27,0.7240328967407859
2013-03-28,0.7240328967407859
2013-03-29,0.7118489186719464
2013-03-30,0.7118489186719464
2013-03-31,0.7118489186719464
2013-04-01,0.7282972890648797
2013-04-02,0.7282972890648797
2013-04-03,0.7343892780992994
2013-04-04,0.7343892780992994
2013-04-05,0.7343892780992994
2013-04-06,0.7343892780992994
2013-04-07,0.7343892780992994
2013-04-08,0.7130673164788304
2013-04-09,0.7343892780992994
2013-04-10,0.7039293329272007
2013-04-11,0.6643314042034725
2013-04-12,0.6643314042034725
2013-04-13,0.6679865976241243
2013-04-14,0.6679865976241243
2013-04-15,0.6679865976241243
2013-04-16,0.6954005482790131
2013-04-17,0.6954005482790131
2013-04-18,0.6954005482790131
2013-04-19,0.6954005482790131
2013-04-22,0.6954005482790131
2013-04-23,0.7045385318306427
2013-04-24,0.7258604934511118
2013-04-25,0.7258604934511118
2013-04-26,0.7319524824855316
2013-04-27,0.7319524824855316
2013-04-28,0.7319524824855316
2013-05-02,0.7319524824855316
2013-05-03,0.7319524824855316
2013-05-06,0.7319524824855316
2013-05-07,0.7319524824855316
2013-05-08,0.7624124276576302
2013-05-09,0.7581480353335364
2013-05-10,0.7581480353335364
2013-05-13,0.7416996649406031
2013-05-14,0.7246420956442279
2013-05-15,0.7246420956442279
2013-05-16,0.7246420956442279
