date,PX
2017/1/6,221.2175809
2017/1/13,221.2175809
2017/1/20,221.2175809
2017/2/3,225.13531
2017/2/10,229.846761
2017/2/17,234.558212
2017/2/24,231.1347703
2017/3/3,235.3914615
2017/3/10,240.0614574
2017/3/17,244.7314533
2017/3/24,249.4014492
2017/3/31,249.7060177
2017/4/7,252.0623724
2017/4/14,254.418727
2017/4/21,256.7750817
2017/4/28,263.8741645
2017/5/5,264.3925643
2017/5/12,264.5944094
2017/5/19,264.7962546
2017/5/26,264.0920427
2017/6/2,266.4338833
2017/6/9,269.8525047
2017/6/16,273.2711261
2017/6/23,276.6897476
2017/6/30,271.1705272
2017/7/7,275.9902829
2017/7/14,281.6658873
2017/7/21,284.6485194
2017/7/28,280.9724645
2017/8/4,286.1418746
2017/8/11,292.1730358
2017/8/18,300.1051187
2017/8/25,291.9348828
2017/9/1,297.5891543
2017/9/8,308.7312242
2017/9/15,319.5692227
2017/9/22,330.4072212
2017/9/29,326.2986327
2017/10/6,324.1978262
2017/10/13,324.4414898
2017/10/20,324.6851534
2017/10/27,314.828563
2017/11/3,316.1256717
2017/11/10,319.8475333
2017/11/17,321.3015288
2017/11/24,322.9710945
2017/12/1,324.2344276
2017/12/8,329.3835009
2017/12/15,332.1187205
2017/12/22,336.5055243
2017/12/29,270
2018/1/5,271.4740519
2018/1/12,271.9421212
2018/1/19,270.8474387
2018/1/26,266.8596575
2018/2/2,264.0988267
2018/2/9,266.4188746
2018/2/16,265.7162025
2018/2/23,267.7353903
2018/3/2,269.315585
2018/3/9,269.8123773
2018/3/16,272.8399468
2018/3/23,275.2868836
2018/3/30,276.126777
2018/4/6,272.8143378
2018/4/13,270.4257734
2018/4/20,271.1415463
2018/4/27,268.7562815
2018/5/4,263.7668476
2018/5/11,259.7545593
2018/5/18,258.7114149
2018/5/25,265.5859875
2018/6/1,273.1142392
2018/6/8,268.8155785
2018/6/15,265.0448464
2018/6/22,260.8121768
2018/6/29,258.0313106
2018/7/6,258.8334177
2018/7/13,259.6355247
2018/7/20,256.6107351
2018/7/27,251.6065163
2018/8/3,250.795783
2018/8/10,250.0114484
2018/8/17,245.4002172
2018/8/24,240.7889859
2018/8/31,236.1765245
2018/9/7,233.9046118
2018/9/14,234.319349
2018/9/21,235.2054509
2018/9/28,236.0067072
2018/10/5,235.8419498
2018/10/12,239.2083928
2018/10/19,245.1763714
2018/10/26,250.3431524
2018/11/2,254.7900269
2018/11/9,258.2756198
2018/11/16,263.4185311
2018/11/23,269.5541366
2018/11/30,272.5927368
2018/12/7,274.0388648
2018/12/14,274.8723123
2018/12/21,275.4606876
2018/12/28,276.9539449
2019/1/4,279.3795807
2019/1/11,283.6233116
2019/1/18,288.1824242
2019/1/25,292.5757042
2019/2/1,294.9853456
2019/2/8,297.6390338
2019/2/15,300.2357056
2019/2/22,299.0299309
2019/3/1,296.4233076
2019/3/8,294.6353207
2019/3/15,289.8023672
2019/3/22,286.47957
2019/3/29,285.6771125
2019/4/5,288.1264902
2019/4/12,285.4967879
2019/4/19,282.4974166
2019/4/26,284.2218992
2019/5/3,285.5023545
2019/5/10,285.0756987
2019/5/17,284.2739181
2019/5/24,283.8495333
2019/5/31,283.1647968
2019/6/7,287.6907162
2019/6/14,292.564173
2019/6/21,300.0434415
2019/6/28,302.3751539
2019/7/5,302.5793532
2019/7/12,305.4745981
2019/7/19,310.911347
2019/7/26,316.6201635
2019/8/2,323.7142944
2019/8/9,329.8187875
2019/8/16,336.6653966
2019/8/23,344.828094
2019/8/30,352.1519383
2019/9/6,356.8936397
2019/9/13,357.7928767
