date,PP
2011/1/16,53.8
2011/1/19,55.7
2011/1/22,59
2011/1/25,60.9
2011/1/28,63.1
2011/1/31,64.8
2011/2/3,67
2011/2/6,70
2011/2/9,72.3
2011/2/12,74.5
2011/2/15,76.7
2011/2/18,78.7
2011/2/21,79.8
2011/2/24,74.9
2011/2/27,70.5
2011/3/2,65.7
2011/3/5,62.8
2011/3/8,61.5
2011/3/11,62.4
2011/3/14,63.3
2011/3/17,64.5
2011/3/20,65.4
2011/3/23,66
2011/3/26,66.7
2011/3/29,68.2
2011/4/1,70.8
2011/4/4,73.3
2011/4/7,74.5
2011/4/10,71.8
2011/4/13,70.2
2011/4/16,70.1
2011/4/19,69.4
2011/4/22,67.8
2011/4/25,65.5
2011/4/28,64.3
2011/5/1,64.5
2011/5/4,65.6
2011/5/7,67.4
2011/5/10,68.8
2011/5/13,70.8
2011/5/16,71.7
2011/5/19,72.7
2011/5/22,73.7
2011/5/25,73.6
2011/5/28,72.4
2011/5/31,72.1
2011/6/3,72.3
2011/6/6,72.8
2011/6/9,73.3
2011/6/12,73.8
2011/6/15,73.6
2011/6/18,72.6
2011/6/21,72.1
2011/6/24,72.2
2011/6/27,72
2011/6/30,70.7
2011/7/3,68.8
2011/7/6,66.6
2011/7/9,64
2011/7/12,61.7
2011/7/15,60.5
2011/7/18,61.7
2011/7/21,62.5
2011/7/24,61.3
2011/7/27,60.3
2011/7/30,62.3
2011/8/2,63.9
2011/8/5,66
2011/8/8,68.1
2011/8/11,70.2
2011/8/14,70.7
2011/8/17,69.7
2011/8/20,69.8
2011/8/23,70.6
2011/8/26,69.6
2011/8/29,67
2011/9/1,65.2
2011/9/4,64.1
2011/9/7,63.4
2011/9/10,62.7
2011/9/13,62
2011/9/16,62
2011/9/19,62.1
2011/9/22,62.2
2011/9/25,62.4
2011/9/28,62.9
2011/10/1,64
2011/10/4,64.6
2011/10/7,65.4
2011/10/10,66
2011/10/13,65.8
2011/10/16,65.2
2011/10/19,64.9
2011/10/22,64.7
2011/10/25,64.4
2011/10/28,63.4
2011/10/31,61
2011/11/3,59.8
2011/11/6,59.9
2011/11/9,60.1
2011/11/12,59.2
2011/11/15,59.4
2011/11/18,60.7
2011/11/21,62
2011/11/24,63.1
2011/11/27,64.3
2011/11/30,64.9
2011/12/3,63.7
2011/12/6,62.7
2011/12/9,61.9
2011/12/12,61.6
2011/12/15,61.3
2011/12/18,61
2011/12/21,60.9
2011/12/24,60.8
2011/12/27,60.7
2011/12/30,59.8
2012/1/2,56.5
2012/1/5,53.4
2012/1/8,51.8
2012/1/11,52.7
2012/1/14,54.6
2012/1/17,58.3
2012/1/20,61.1
2012/1/23,63.4
2012/1/26,66.4
2012/1/29,68.7
2012/2/1,70.5
2012/2/4,70.4
2012/2/7,70.3
2012/2/10,70.1
2012/2/13,71
2012/2/16,71.9
2012/2/19,74.7
2012/2/22,75.8
2012/2/25,73
2012/2/28,67.7
2012/3/2,64.3
2012/3/5,61.7
2012/3/8,62
2012/3/11,62.3
2012/3/14,62.7
2012/3/17,62.8
2012/3/20,63.2
2012/3/23,64.2
2012/3/26,64.4
2012/3/29,64.1
2012/4/1,65.1
2012/4/4,68.3
2012/4/7,70.2
2012/4/10,71
2012/4/13,71.8
2012/4/16,72.7
2012/4/19,73.4
2012/4/22,73.8
2012/4/25,70.8
2012/4/28,69.2
2012/5/1,71
2012/5/4,74.2
2012/5/7,78.5
2012/5/10,80.5
2012/5/13,80.3
2012/5/16,79.5
2012/5/19,77.2
2012/5/22,71.9
2012/5/25,69.8
2012/5/28,68.2
2012/5/31,68
2012/6/3,68.6
2012/6/6,70.8
2012/6/9,72.4
2012/6/12,72.4
2012/6/15,70.9
2012/6/18,68.1
2012/6/21,65
2012/6/24,63.2
2012/6/27,61.9
2012/6/30,60.8
2012/7/3,60.1
2012/7/6,60.1
2012/7/9,61.6
2012/7/12,62.5
2012/7/15,63.9
2012/7/18,65
2012/7/21,65.7
2012/7/24,63.8
2012/7/27,62.5
2012/7/30,62.1
2012/8/2,62.1
2012/8/5,61.2
2012/8/8,59
2012/8/11,57.6
2012/8/14,57.2
2012/8/17,56.8
2012/8/20,56.3
2012/8/23,54.8
2012/8/26,53.9
2012/8/29,52
2012/9/7,53
2012/9/14,54
2012/9/21,55
2012/9/28,55
2012/10/8,73.5
2012/10/17,73
2012/10/19,70
2012/10/25,68
2012/10/31,65
2012/11/2,62
2012/11/6,53
2012/11/8,53
2012/11/14,58
2012/11/19,60
2012/11/21,62
2012/11/23,63.5
2012/11/27,65
2012/11/29,59
2012/12/5,58
2012/12/10,56.5
2012/12/14,59
2012/12/18,58.5
2012/12/20,57
2012/12/25,54.3
2012/12/28,50
2013/1/4,61
2013/1/7,61
2013/1/9,59.5
2013/1/11,61
2013/1/14,67
2013/1/16,66
2013/1/18,66
2013/1/21,71
2013/1/23,66
2013/1/24,61
2013/1/25,60
2013/1/29,59
2013/1/31,59
2013/2/4,62
2013/2/6,55.5
2013/2/17,76.5
2013/2/19,77
2013/2/21,80
2013/2/25,87
2013/3/1,83
2013/3/4,87
2013/3/6,86
2013/3/8,85
2013/3/11,88.5
2013/3/13,85
2013/3/15,84
2013/3/18,84
2013/3/20,76
2013/3/22,72
2013/3/25,71
2013/3/27,72
2013/3/29,69.5
2013/4/1,70
2013/4/3,71
2013/4/8,78
2013/4/9,80
2013/4/10,77
2013/4/12,72
2013/4/15,73
2013/4/17,73.5
2013/4/19,73
2013/4/22,72
2013/4/25,66
2013/4/26,64
2013/5/2,66
2013/5/3,67
2013/5/6,70
2013/5/8,66
2013/5/9,63
2013/5/13,64
2013/5/15,63.5
2013/5/17,65
2013/5/20,69.5
2013/5/24,65
2013/5/27,68.5
2013/5/29,64
2013/5/31,64.5
2013/6/3,66
2013/6/7,60
2013/6/13,63
2013/6/17,68
2013/6/19,64
2013/6/21,64.5
2013/6/24,69
2013/6/25,69
2013/6/28,64
2013/7/1,66
2013/7/3,65.5
2013/7/5,60.5
2013/7/8,65
2013/7/10,62
2013/7/12,61.5
2013/7/15,66
2013/7/16,62.5
2013/7/17,63
2013/7/19,62.5
2013/7/22,64.5
2013/7/24,62
2013/7/26,60
2013/7/29,63
2013/7/31,64.5
2013/8/2,65
2013/8/5,64.5
2013/8/7,61
2013/8/9,62
2013/8/12,67
2013/8/13,69
2013/8/14,70
2013/8/16,69.5
2013/8/19,73.5
2013/8/21,73
2013/8/23,71
2013/8/26,72
2013/8/28,64.5
2013/8/30,60
2013/9/2,63
2013/9/4,59.5
2013/9/6,58
2013/9/9,61
2013/9/11,59
2013/9/13,56
2013/9/16,61
2013/9/18,59
2013/9/22,66.5
2013/9/23,67
2013/9/25,62.5
2013/9/26,58.5
2013/9/27,57.5
2013/9/30,57
2013/10/8,74
2013/10/9,69
2013/10/10,65.5
2013/10/11,63
2013/10/14,62
2013/10/18,61
2013/10/21,66
2013/10/23,64
2013/10/25,61
2013/10/28,62.5
2013/11/1,60
2013/11/4,59.5
2013/11/6,60
2013/11/8,60
2013/11/11,64
2013/11/13,63
2013/11/15,60
2013/11/18,64
2013/11/20,62
2013/11/22,61
2013/11/25,64
2013/11/27,59.5
2013/11/29,58.5
2013/12/2,63
2013/12/4,59.5
2013/12/6,57.5
2013/12/9,64
2013/12/11,61.5
2013/12/13,64.5
2013/12/16,70
2013/12/17,71
2013/12/18,70.5
2013/12/20,70.5
2013/12/23,74
2013/12/24,72.5
2013/12/25,69
2013/12/27,63
2013/12/30,68
2014/1/2,65
2014/1/3,65.5
2014/1/6,73.5
2014/1/7,71.5
2014/1/8,71
2014/1/9,71
2014/1/10,70
2014/1/13,74.5
2014/1/15,73.5
2014/1/17,73
2014/1/20,76
2014/1/22,73.5
2014/1/24,71.5
2014/1/26,71.5
2014/1/27,72
2014/1/28,74
2014/2/7,104
2014/2/8,113
2014/2/10,119
2014/2/12,122
2014/2/14,123.5
2014/2/18,126
2014/2/19,125
2014/2/20,120
2014/2/21,115
2014/2/24,110
2014/2/26,105
2014/2/28,104.5
2014/3/3,108
2014/3/5,106
2014/3/7,106
2014/3/10,110
2014/3/12,106
2014/3/14,100
2014/3/17,103
2014/3/19,98
2014/3/20,97
2014/3/21,95
2014/3/24,98.5
2014/3/26,95
2014/3/28,90
2014/3/31,95
2014/4/2,97
2014/4/4,91.5
2014/4/8,99.5
2014/4/10,95
2014/4/11,93.5
2014/4/14,100
2014/4/16,94
2014/4/18,90.5
2014/4/21,95
2014/4/25,88
2014/4/28,90.5
2014/4/30,91
2014/5/5,102
2014/5/7,99.5
2014/5/9,94
2014/5/12,98
2014/5/14,95
2014/5/16,94
2014/5/19,98
2014/5/21,96
2014/5/23,90
2014/5/26,90
2014/5/28,86
2014/5/30,85
2014/6/3,97.5
2014/6/4,94.5
2014/6/6,90
2014/6/9,94
2014/6/10,90
2014/6/11,89
2014/6/13,88
2014/6/16,90
2014/6/18,89.5
2014/6/20,92
2014/6/23,96.5
2014/6/25,96.5
2014/6/26,94.5
2014/6/27,93
2014/6/30,94
2014/7/2,91
2014/7/4,88
2014/7/7,92.5
2014/7/9,88.5
2014/7/11,91
2014/7/14,99
2014/7/16,97
2014/7/18,95.5
2014/7/21,102
2014/7/23,101.5
2014/7/25,96
2014/7/28,97.5
2014/7/29,94
2014/7/30,90.5
2014/8/1,92.5
2014/8/4,96
2014/8/5,94
2014/8/6,94.5
2014/8/8,95
2014/8/11,104
2014/8/13,100
2014/8/15,99
2014/8/18,104
2014/8/19,97
2014/8/20,92
2014/8/21,89.5
2014/8/22,86
2014/8/25,91
2014/8/26,90
2014/8/27,88.5
2014/8/29,86
2014/9/1,92
2014/9/2,89.5
2014/9/3,86
2014/9/5,84.5
2014/9/9,95.5
2014/9/10,92
2014/9/11,94
2014/9/12,91.5
2014/9/15,96.5
2014/9/16,96
2014/9/17,94
2014/9/18,93
2014/9/19,92
2014/9/22,96
2014/9/24,94
2014/9/25,90
2014/9/26,86
2014/9/29,75
2014/10/8,93.5
2014/10/9,94
2014/10/10,96
2014/10/13,100
2014/10/15,99.9
2014/10/17,97
2014/10/20,101
2014/10/22,99.5
2014/10/24,92.5
2014/10/27,92.5
2014/10/29,85
2014/10/30,80.5
2014/10/31,80
2014/11/3,86
2014/11/5,84
2014/11/7,85.5
2014/11/10,91
2014/11/12,91
