date,RU
2015/1/2,1
2015/1/9,1.06
2015/1/16,1.14
2015/1/23,1.15
2015/1/30,1.09
2015/2/13,1.01
2015/2/20,1.01
2015/2/27,1.08
2015/3/6,1.07
2015/3/13,1.03
2015/3/20,1.02
2015/3/27,0.95
2015/4/3,0.9
2015/4/10,0.78
2015/4/17,0.71
2015/4/24,0.62
2015/5/1,0.56
2015/5/13,0.53
2015/5/18,0.52
2015/5/25,0.53
2015/6/1,0.5
2015/6/5,0.51
2015/6/12,0.6
2015/6/19,0.65
2015/6/26,0.69
2015/7/3,0.7
2015/7/10,0.69
2015/7/17,0.58
2015/7/24,0.48
2015/7/30,0.48
2015/8/3,0.47
2015/8/7,0.41
2015/8/14,0.27
2015/8/21,0.23
2015/8/28,0.18
2015/9/4,0.11
2015/9/18,0.07
2015/9/28,0.04
2015/10/12,0.02
2015/10/19,0.07
2015/10/26,0.09
2015/11/2,0.15
2015/11/9,0.18
2015/11/16,0.22
2015/11/23,0.29
2015/11/30,0.35
2015/12/14,0.55
2015/12/21,0.65
2015/12/28,0.69
2016/1/4,0.78
2016/1/11,0.84
2016/1/18,0.84
2016/1/25,0.94
2016/2/1,1.01
2016/2/22,1.11
2016/2/29,1.24
2016/3/7,1.41
2016/3/14,1.42
2016/3/21,1.38
2016/3/28,1.53
2016/4/5,1.52
2016/4/11,1.52
2016/4/18,1.53
2016/4/25,1.56
2016/5/2,1.51
2016/5/9,1.51
2016/5/16,1.6
2016/5/23,1.68
2016/5/30,1.63
2016/6/6,1.57
2016/6/13,1.55
2016/6/20,1.41
2016/6/27,1.33
2016/7/4,1.34
2016/7/11,1.32
2016/7/18,1.29
2016/7/25,1.15
2016/8/1,1.09
2016/8/8,1.03
2016/8/15,0.98
2016/8/22,0.89
2016/8/29,0.8
2016/9/5,0.78
2016/9/12,0.69
2016/9/19,0.64
2016/9/26,0.63
2016/10/7,0.57
2016/10/17,0.58
2016/10/24,0.63
2016/10/31,0.63
2016/11/7,0.64
2016/11/14,0.67
2016/11/21,0.7
2016/11/28,0.7
2016/12/5,0.7
2016/12/12,0.75
2016/12/19,0.73
2016/12/26,0.78
2017/1/3,0.78
2017/1/9,0.75
2017/1/16,0.84
2017/1/23,0.86
2017/2/6,0.87
2017/2/13,0.9
2017/2/20,0.96
2017/2/27,1.04
2017/3/6,1.13
2017/3/13,1.09
2017/3/20,1.06
2017/3/28,1.12
2017/4/5,1.2
2017/4/10,1.15
2017/4/17,1.24
2017/4/24,1.32
2017/5/2,1.44
2017/5/8,1.52
2017/5/15,1.56
2017/5/22,1.58
2017/5/31,1.59
2017/6/5,1.59
2017/6/12,1.6
2017/6/19,1.6
2017/6/26,1.62
2017/7/3,1.68
2017/7/10,1.67
2017/7/17,1.67
2017/7/24,1.71
2017/7/31,1.69
2017/8/7,1.63
2017/8/14,1.63
2017/8/21,1.67
2017/8/28,1.7
2017/9/4,1.7
2017/9/11,1.95
2017/9/18,1.99
2017/9/25,1.92
2017/10/9,1.94
2017/10/16,2.01
2017/10/23,2.12
2017/10/30,2.02
2017/11/6,2.06
2017/11/13,2.08
2017/11/20,2.15
2017/11/27,2.22
2017/12/4,2.29
2017/12/11,2.4
2017/12/18,2.54
2017/12/25,2.65
2018/1/2,2.69
2018/1/9,2.72
2018/1/16,2.8
2018/1/23,2.99
2018/1/30,3.17
2018/2/5,3.2
2018/2/26,3.53
2018/3/2,3.58
2018/3/9,3.54
2018/3/26,3.57
2018/4/2,3.49
2018/4/9,3.37
2018/4/16,3.29
2018/4/23,3.22
2018/5/3,3.14
2018/5/18,3.19
2018/5/25,3.25
2018/6/1,3.46
2018/6/8,3.47
2018/6/15,3.47
2018/6/22,3.5
2018/7/2,3.67
2018/7/16,3.77
2018/7/17,3.75
2018/7/31,3.78
2018/8/7,3.83
2018/8/14,3.88
2018/8/20,4
2018/8/27,4.13
2018/8/31,4.14
2018/9/7,4.03
2018/9/14,4.01
2018/9/21,4.01
2018/9/29,4.06
2018/10/8,4.12
2018/10/15,4.12
2018/10/19,4.1
2018/10/26,4.07
2018/11/2,4.07
2018/11/9,4.21
2018/11/16,4.26
2018/11/23,4.32
2018/11/30,4.44
2018/12/7,4.45
2018/12/14,4.5
2018/12/21,4.7
2018/12/28,4.78
2019/1/4,4.88
2019/1/11,4.94
2019/1/18,5.06
2019/1/25,5.19
2019/2/8,5.47
2019/2/15,5.48
2019/2/22,5.53
2019/3/1,5.58
2019/3/8,5.64
2019/3/15,5.74
2019/3/22,5.88
2019/3/29,5.94
2019/4/5,5.99
2019/4/12,6.02
2019/4/19,5.98
2019/4/26,5.91
2019/5/3,5.88
2019/5/10,5.75
2019/5/17,5.47
2019/5/24,5.12
2019/5/31,4.88
2019/6/7,4.7
2019/6/14,4.48
2019/6/21,4.35
2019/6/28,4.12
2019/7/5,4.01
2019/7/12,3.83
2019/7/19,3.68
2019/7/26,3.63
2019/8/2,3.62
2019/8/9,3.58
2019/8/16,3.53
2019/8/23,3.49
2019/8/30,3.46
2019/9/6,3.44
2019/9/13,3.38
2019/9/20,3.42
