date,PVC
2017-4-28,41.04
2017-5-12,38.57
2017-5-19,38.66
2017-5-27,36.53
2017-6-9,37.07
2017-6-16,34.68
2017-6-23,30.23
2017-6-30,29.68
2017-7-7,32.53
2017-7-14,31.54
2017-7-28,31.87
2017-8-4,32.14
2017-8-11,30.71
2017-8-18,32.04
2017-8-25,32.46
2017-9-1,33.31
2017-9-8,31.91
2017-9-15,32.09
2017-9-22,30.66
2017-9-30,31.62
2017-10-13,32.83
2017-10-20,34.13
2017-10-27,35.5
2017-11-3,34.99
2017-11-10,32.67
2017-11-17,34.3
2017-11-24,34.67
2017-12-1,35.14
2017-12-8,34.43
2017-12-15,33.5
2017-12-22,34.49
2017-12-29,34.97
2018-1-5,40.46
2018-1-12,41.63
2018-1-21,42.06
2018-1-26,44.06
2018-2-2,45.54
2018-2-23,59.77
2018-3-2,62.6
2018-3-9,66.68
2018-3-16,64.72
2018-3-23,64.85
2018-3-30,64.49
2018-4-6,63.93
2018-4-13,61.37
2018-4-20,59.39
2018-4-28,57.21
2018-5-4,54.17
2018-5-18,45.65
2018-5-25,42.38
2018-6-1,41.6
2018-6-8,39.43
2018-6-15,38.11
2018-6-22,38.84
2018-6-29,35.99
2018-7-6,36.72
2018-7-13,35.28
2018-7-20,36.7
2018-7-27,33.7
2018-8-3,33.51
2018-8-10,33.18
2018-8-17,32.5
2018-8-24,30.82
2018-8-31,29.03
2018-9-7,27.55
2018-9-14,28.51
2018-9-21,26.89
2018-9-28,27.07
2018-10-12,28.67
2018-10-19,27.6
2018-10-26,27.44
2018-11-2,24.16
2018-11-9,24.04
2018-11-16,22.88
2018-11-23,21.25
2018-11-30,20.89
2018-12-7,19.44
2018-12-14,18.44
2018-12-21,18.91
2018-12-28,18.7
2019-1-4,19.99
2019-1-11,21.43
2019-1-18,23.42
2019-1-25,25.96
2019-2-1,29.3
2019-2-8,0
2019-2-15,47.04
2019-2-22,49.49
2019-3-1,51.92
2019-3-8,53.48
2019-3-15,60.62
2019-3-22,66.78
2019-3-29,65.84
2019-4-5,65.84
2019-4-12,62.01
2019-4-19,58.66
2019-4-26,58.58
2019-5-3,57.62
2019-5-10,57.32
2019-5-17,53.16
2019-5-24,52.59
2019-5-31,51.59
2019-6-6,51.59
2019-6-14,48.26
2019-6-21,48.33
2019-6-28,49.14
2019-7-5,50.34
2019-7-12,48.83
2019-7-19,47.26
2019-7-26,46.79
2019-8-2,46.41
2019-8-9,45.86
2019-8-16,45.68
2019-8-23,44.82
2019-8-30,43.66
2019-9-6,43.18
2019-9-13,43.18
2019-9-20,39.68
2019-9-27,40.7
2019-10-4,40.7
2019-10-11,42.71
2019-10-18,42.11
2019-10-25,41.66
2019-11-1,40.03
2019-11-8,38.38
2019-11-15,27.88
2019-11-22,25.23
2019-11-29,18.34
2019-12-6,17.73
2019-12-13,15.54
2019-12-20,15
2019-12-27,18.64
2020-1-3,26.86
2020-1-10,35.21
