date,RU
2015/1/5,5.47
2015/1/12,5.81
2015/1/19,6.26
2015/1/26,6.27
2015/2/2,5.95
2015/2/9,
2015/2/16,5.53
2015/2/23,5.5
2015/3/2,5.91
2015/3/9,5.88
2015/3/16,5.65
2015/3/23,5.59
2015/3/30,5.17
2015/4/6,4.92
2015/4/13,4.24
2015/4/20,3.87
2015/4/27,3.39
2015/5/4,3.08
2015/5/16,2.89
2015/5/21,2.85
2015/5/28,2.92
2015/6/4,2.76
2015/6/8,2.81
2015/6/15,3.26
2015/6/22,3.57
2015/6/29,3.78
2015/7/6,3.85
2015/7/13,3.8
2015/7/20,3.19
2015/7/27,2.61
2015/8/2,2.61
2015/8/6,2.58
2015/8/10,2.22
2015/8/17,1.45
2015/8/24,1.25
2015/8/31,0.97
2015/9/7,0.6
2015/9/21,0.41
2015/10/1,0.2
2015/10/8,
2015/10/15,0.13
2015/10/22,0.36
2015/10/29,0.48
2015/11/5,0.81
2015/11/12,0.96
2015/11/19,1.23
2015/11/26,1.58
2015/12/3,1.92
2015/12/17,3
2015/12/24,3.58
2015/12/31,3.78
2016/1/7,4.25
2016/1/14,4.6
2016/1/21,4.61
2016/1/28,5.13
2016/2/4,5.54
2016/2/11,
2016/2/18,
2016/2/25,6.09
2016/3/3,6.77
2016/3/10,7.73
2016/3/17,7.79
2016/3/24,7.57
2016/3/31,8.37
2016/4/8,8.34
2016/4/14,8.32
2016/4/21,8.38
2016/4/28,8.56
2016/5/5,8.26
2016/5/12,8.28
2016/5/19,8.76
2016/5/26,9.18
2016/6/2,8.94
2016/6/9,8.6
2016/6/16,8.48
2016/6/23,7.69
2016/6/30,7.27
2016/7/7,7.33
2016/7/14,7.22
2016/7/21,7.06
2016/7/28,6.28
2016/8/4,5.96
2016/8/11,5.66
2016/8/18,5.38
2016/8/25,4.86
2016/9/1,4.4
2016/9/8,4.24
2016/9/15,3.76
2016/9/22,3.5
2016/9/29,3.46
2016/10/10,3.1
2016/10/20,3.19
2016/10/27,3.44
2016/11/3,3.44
2016/11/10,3.51
2016/11/17,3.69
2016/11/24,3.81
2016/12/1,3.81
2016/12/8,3.86
2016/12/15,4.12
2016/12/22,4.02
2016/12/29,4.28
2017/1/6,4.28
2017/1/12,4.08
2017/1/19,4.6
2017/1/26,4.72
2017/2/2,
2017/2/9,4.77
2017/2/16,4.92
2017/2/23,5.23
2017/3/2,5.69
2017/3/9,6.17
2017/3/16,5.96
2017/3/23,5.78
2017/3/31,6.13
2017/4/8,6.56
2017/4/13,6.3
2017/4/20,6.79
2017/4/27,7.24
2017/5/5,7.86
2017/5/11,8.31
2017/5/18,8.51
2017/5/25,8.65
2017/6/3,8.68
2017/6/8,8.72
2017/6/15,8.75
2017/6/22,8.75
2017/6/29,8.87
2017/7/6,9.2
2017/7/13,9.13
2017/7/20,9.11
2017/7/27,9.34
2017/8/3,9.26
2017/8/10,8.92
2017/8/17,8.92
2017/8/24,9.14
2017/8/31,9.29
2017/9/7,9.3
2017/9/14,10.66
2017/9/21,10.9
2017/9/28,10.5
2017/10/12,10.59
2017/10/19,10.98
2017/10/26,11.6
2017/11/2,11.04
2017/11/9,11.27
2017/11/16,11.38
2017/11/23,11.78
2017/11/30,12.16
2017/12/7,12.53
2017/12/14,13.1
2017/12/21,13.9
2017/12/28,14.52
2018/1/5,14.7
2018/1/12,14.9
2018/1/19,15.3
2018/1/26,16.35
2018/2/2,17.33
2018/2/8,17.48
2018/2/15,
2018/2/22,
2018/3/1,19.28
2018/3/5,19.56
2018/3/12,19.36
2018/3/19,
2018/3/29,19.53
2018/4/5,19.11
2018/4/12,18.44
2018/4/19,17.98
2018/4/26,17.63
2018/5/6,17.17
2018/5/13,
2018/5/21,17.45
2018/5/28,17.8
2018/6/4,18.9
2018/6/11,18.99
2018/6/18,19.01
2018/6/25,19.16
2018/7/5,20.05
2018/7/19,20.6
2018/7/20,20.5
2018/8/3,20.7
2018/8/10,20.95
2018/8/17,21.2
2018/8/23,21.9
2018/8/30,22.6
2018/9/3,33.58
2018/9/10,32.7
2018/9/17,32.59
2018/9/24,32.65
2018/10/2,33.05
2018/10/11,33.53
2018/10/18,33.49
2018/10/22,33.32
2018/10/29,33.11
2018/11/5,33.15
2018/11/12,34.23
2018/11/19,34.73
2018/11/26,35.27
2018/12/3,36.25
2018/12/10,36.51
2018/12/17,37.06
2018/12/24,38.86
2018/12/31,39.58
2019/1/7,40.37
2019/1/14,40.98
2019/1/21,41.96
2019/1/28,42.94
2019/2/11,45.28
2019/2/18,45.4
2019/2/25,45.79
2019/3/4,46.41
2019/3/11,46.86
2019/3/18,47.59
2019/3/25,48.71
2019/4/1,49.12
2019/4/8,49.54
2019/4/15,49.78
2019/4/22,49.45
2019/4/29,49.04
2019/5/6,48.57
2019/5/13,47.57
2019/5/20,45.42
2019/5/27,42.77
2019/6/3,40.75
2019/6/10,39.29
2019/6/17,37.52
2019/6/24,36.35
2019/7/1,34.34
2019/7/8,33.31
2019/7/15,31.78
2019/7/22,30.4
2019/7/29,30.03
2019/8/5,29.87
2019/8/12,29.52
2019/8/19,29.16
2019/8/26,28.8
2019/9/2,28.54
2019/9/9,28.34
2019/9/16,27.76
2019/9/23,28.06
2019/9/30,28.22
2019/10/7,27.52
2019/10/14,26.59
2019/10/21,27.13
2019/10/28,28.21
2019/11/4,27.43
2019/11/11,28.26
2019/11/18,
