date,RU
2015/1/5,13.1
2015/1/12,#N/A
2015/1/19,14.24
2015/1/26,#N/A
2015/2/2,15.91
2015/2/9,#N/A
2015/2/16,18
2015/2/23,#N/A
2015/3/2,21.08
2015/3/9,#N/A
2015/3/16,21.42
2015/3/23,#N/A
2015/3/30,#N/A
2015/4/6,21.81
2015/4/13,#N/A
2015/4/20,21.95
2015/4/27,#N/A
2015/5/4,21.27
2015/5/16,#N/A
2015/5/21,19.48
2015/5/28,#N/A
2015/6/4,16.81
2015/6/8,#N/A
2015/6/15,13.91
2015/6/22,#N/A
2015/6/29,#N/A
2015/7/6,11.63
2015/7/13,#N/A
2015/7/20,10.67
2015/7/27,#N/A
2015/8/2,11.08
2015/8/6,#N/A
2015/8/10,#N/A
2015/8/17,13.01
2015/8/24,#N/A
2015/8/31,14.67
2015/9/7,#N/A
2015/9/21,16.63
2015/10/1,18.16
2015/10/8,#N/A
2015/10/15,#N/A
2015/10/22,19.86
2015/10/29,#N/A
2015/11/5,20.45
2015/11/12,#N/A
2015/11/19,21.36
2015/11/26,#N/A
2015/12/3,23.51
2015/12/17,24.38
2015/12/24,#N/A
2015/12/31,25.52
2016/1/7,#N/A
2016/1/14,#N/A
2016/1/21,26.05
2016/1/28,#N/A
2016/2/4,26.18
2016/2/11,#N/A
2016/2/18,27.81
2016/2/25,#N/A
2016/3/3,27.14
2016/3/10,#N/A
2016/3/17,26.58
2016/3/24,#N/A
2016/3/31,25.7
2016/4/8,#N/A
2016/4/14,#N/A
2016/4/21,24.83
2016/4/28,#N/A
2016/5/5,24.47
2016/5/12,#N/A
2016/5/19,23.02
2016/5/26,#N/A
2016/6/2,23.26
2016/6/9,#N/A
2016/6/16,21.88
2016/6/23,#N/A
2016/6/30,19.44
2016/7/7,#N/A
2016/7/14,#N/A
2016/7/21,17.73
2016/7/28,#N/A
2016/8/4,15.66
2016/8/11,#N/A
2016/8/18,14.06
2016/8/25,#N/A
2016/9/1,11.69
2016/9/8,#N/A
2016/9/15,10.35
2016/9/22,#N/A
2016/9/29,#N/A
2016/10/10,9.19
2016/10/20,8.33
2016/10/27,#N/A
2016/11/3,8.32
2016/11/10,#N/A
2016/11/17,9.09
2016/11/24,#N/A
2016/12/1,10.02
2016/12/8,#N/A
2016/12/15,10.56
2016/12/22,#N/A
2016/12/29,#N/A
2017/1/6,10.52
2017/1/12,#N/A
2017/1/19,12.18
2017/1/26,#N/A
2017/2/2,#N/A
2017/2/9,#N/A
2017/2/16,#N/A
2017/2/23,15.66
2017/3/2,16.62
2017/3/9,#N/A
2017/3/16,#N/A
2017/3/23,18.7
2017/3/31,19.79
2017/4/8,#N/A
2017/4/13,#N/A
2017/4/20,22.01
2017/4/27,#N/A
2017/5/5,24.98
2017/5/11,#N/A
2017/5/18,26.78
2017/5/25,#N/A
2017/6/3,27.6
2017/6/8,#N/A
2017/6/15,27.88
2017/6/22,#N/A
2017/6/29,#N/A
2017/7/6,#N/A
2017/7/13,27.08
2017/7/20,25.89
2017/7/27,#N/A
2017/8/3,23.36
2017/8/10,#N/A
2017/8/17,22.64
2017/8/24,#N/A
2017/8/31,#N/A
2017/9/7,20.33
2017/9/14,#N/A
2017/9/21,18.72
2017/9/28,#N/A
2017/10/12,18.93
2017/10/19,19.89
2017/10/26,#N/A
2017/11/2,19.9
2017/11/9,#N/A
2017/11/16,20.61
2017/11/23,#N/A
2017/11/30,#N/A
2017/12/7,21.28
2017/12/14,#N/A
2017/12/21,21.94
2017/12/28,#N/A
2018/1/5,23.56
2018/1/12,#N/A
2018/1/19,24.63
2018/1/26,#N/A
2018/2/2,#N/A
2018/2/8,#N/A
2018/2/15,#N/A
2018/2/22,#N/A
2018/3/1,#N/A
2018/3/5,25.42
2018/3/12,#N/A
2018/3/19,24.44
2018/3/29,#N/A
2018/4/5,22.65
2018/4/12,#N/A
2018/4/19,20.49
2018/4/26,#N/A
2018/5/6,18.34
2018/5/13,#N/A
2018/5/21,17.25
2018/5/28,#N/A
2018/6/4,#N/A
2018/6/11,17.52
2018/6/18,18.2
2018/6/25,#N/A
2018/7/5,18.85
2018/7/19,20.01
2018/7/20,#N/A
2018/8/3,20.62
2018/8/10,#N/A
2018/8/17,20.46
2018/8/23,#N/A
2018/8/30,#N/A
2018/9/3,21.79
2018/9/10,#N/A
2018/9/17,21.15
2018/9/24,#N/A
2018/10/2,16.26
2018/10/11,#N/A
2018/10/18,15.46
2018/10/22,#N/A
2018/10/29,#N/A
2018/11/5,14.69
2018/11/12,#N/A
2018/11/19,14.3
2018/11/26,#N/A
2018/12/3,17.01
2018/12/10,18.04
2018/12/17,18.44
2018/12/24,19.26
2018/12/31,19.25
2019/1/7,19.24
2019/1/14,18.54
2019/1/21,18.5
2019/1/28,18.45
2019/2/11,18.28
2019/2/18,17.64
2019/2/25,16.99
2019/3/4,17.1
2019/3/11,16.65
2019/3/18,16.75
2019/3/25,16.21
2019/4/1,15.9
2019/4/8,15.71
2019/4/15,16.05
2019/4/22,15.64
2019/4/29,14.7
2019/5/6,13.74
2019/5/13,13.53
2019/5/20,13.18
2019/5/27,13.31
2019/6/3,13.39
2019/6/10,13.62
2019/6/17,14.26
2019/6/24,14.51
2019/7/1,15.08
2019/7/8,16.07
2019/7/15,16.7
2019/7/22,17.76
2019/7/29,17.94
2019/8/5,18.12
2019/8/12,18.7
2019/8/19,19.2
2019/8/26,20.19
2019/9/2,20.45
2019/9/9,20.92
2019/9/16,20.73
2019/9/23,19.19
2019/9/30,18.52
2019/10/7,17.85
2019/10/14,17.83
2019/10/21,18.19
2019/10/28,18.46
2019/11/4,18
2019/11/11,#N/A
2019/11/18,
