date,BZ
2018/1/5,14
2018/1/12,13
2018/1/19,13
2018/1/26,13
2018/2/2,13
2018/2/9,14
2018/2/16,14
2018/2/23,17
2018/3/2,17
2018/3/9,17
2018/3/16,18
2018/3/23,18
2018/3/30,19
2018/4/6,19
2018/4/13,20
2018/4/20,20
2018/4/25,21
2018/5/2,21
2018/5/9,22
2018/5/16,22
2018/5/23,22
2018/5/30,22
2018/6/8,23
2018/6/13,23
2018/6/20,24
2018/6/28,23
2018/7/4,23
2018/7/13,23
2018/7/19,22
2018/7/29,21
2018/8/1,20
2018/8/8,18
2018/8/15,16
2018/8/23,16
2018/8/29,16
2018/9/6,16
2018/9/14,17
2018/9/19,16
2018/9/28,16
2018/10/8,16
2018/10/16,15
2018/10/28,15
2018/11/4,14
2018/11/11,14
2018/11/16,14
2018/11/23,14
2018/11/30,15
2018/12/7,15
2018/12/14,15
2018/12/21,17
2018/12/28,16
2019/1/4,19
2019/1/11,19
2019/1/18,21
2019/1/25,21
2019/2/1,20
2019/2/15,23
2019/2/22,25
2019/3/1,24
2019/3/8,25
2019/3/15,25
2019/3/22,25
2019/3/29,25
2019/4/5,25
2019/4/12,24
2019/4/18,24
2019/4/25,24
2019/5/10,24
2019/5/17,24
2019/5/23,24
2019/5/29,23
2019/6/5,23
2019/6/12,22
2019/6/19,22
2019/6/26,21
2019/7/4,20
2019/7/10,19
2019/7/19,18
2019/7/26,17
2019/8/2,16
2019/8/7,15
2019/8/14,15
2019/8/21,14
