date,time,datetime,symbol,exchange,lastPrice,lastVolume,volume,openInterest,openPrice,highPrice,lowPrice,preClosePrice,preSettlementPrice,upperLimit,lowerLimit,turnover,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askPrice1,askPrice2,askPrice3,askPrice4,askPrice5,bidVolume1,bidVolume2,bidVolume3,bidVolume4,bidVolume5,askVolume1,askVolume2,askVolume3,askVolume4,askVolume5
20191126,09:41:45.0,2019-11-26 09:41:45,cu2001,SHFE,47080.0,0,50168,214816.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,11815844900.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,59,0,0,0,0,132,0,0,0,0
20191126,10:57:55.0,2019-11-26 10:57:55,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,130,0,0,0,0,153,0,0,0,0
20191126,10:58:00.0,2019-11-26 10:58:00,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,125,0,0,0,0,153,0,0,0,0
20191126,10:58:00.500,2019-11-26 10:58:00.500000,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,125,0,0,0,0,154,0,0,0,0
20191126,10:58:02.0,2019-11-26 10:58:02,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,125,0,0,0,0,160,0,0,0,0
20191126,10:58:03.0,2019-11-26 10:58:03,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,125,0,0,0,0,163,0,0,0,0
20191126,10:58:03.500,2019-11-26 10:58:03.500000,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,125,0,0,0,0,163,0,0,0,0
20191126,10:58:04.0,2019-11-26 10:58:04,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,130,0,0,0,0,163,0,0,0,0
20191126,10:58:04.500,2019-11-26 10:58:04.500000,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,130,0,0,0,0,163,0,0,0,0
20191126,10:58:14.0,2019-11-26 10:58:14,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,130,0,0,0,0,163,0,0,0,0
20191126,10:58:24.500,2019-11-26 10:58:24.500000,cu2001,SHFE,47070.0,0,62378,215214.0,47180.0,47220.0,47010.0,47100.0,47070.0,49420.0,44710.0,14691316100.0,47070.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,47080.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,130,0,0,0,0,163,0,0,0,0
