,HOLDINGS
BU.SHF,6.0
V.DCE,6.0
JM.DCE,3.0
TA.CZC,0.0
L.DCE,0.0
MA.CZC,0.0
RB.SHF,0.0
J.DCE,0.0
HC.SHF,0.0
ZC.CZC,0.0
I.DCE,0.0
PP.DCE,0.0
RU.SHF,-2.0
EG.DCE,-4.0
