,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2013-01-04,0.0,1.0,0.0,0.0,0.0
2013-01-07,0.0,1.0,0.0,0.0,0.0
2013-01-08,0.0,1.0,0.0,0.0,0.0
2013-01-09,0.0,1.0,0.0,0.0,0.0
2013-01-10,0.0,1.0,0.0,0.0,0.0
2013-01-11,0.0,1.0,0.0,0.0,0.0
2013-01-14,0.0,1.0,0.0,0.0,0.0
2013-01-15,0.0,1.0,0.0,0.0,0.0
2013-01-16,0.0,1.0,0.0,0.0,0.0
2013-01-17,0.0,1.0,0.0,0.0,0.0
2013-01-18,0.0,1.0,0.0,0.0,0.0
2013-01-21,0.0,1.0,0.0,0.0,0.0
2013-01-22,0.0,1.0,0.0,0.0,0.0
2013-01-23,0.0,1.0,0.0,0.0,0.0
2013-01-24,0.0,1.0,0.0,0.0,0.0
2013-01-25,0.0,1.0,0.0,0.0,0.0
2013-01-28,0.0,1.0,0.0,0.0,0.0
2013-01-29,0.0,1.0,0.0,0.0,0.0
2013-01-30,0.0,1.0,0.0,0.0,0.0
2013-01-31,0.0,1.0,0.0,0.0,0.0
2013-02-01,0.0,1.0,0.0,0.0,0.0
2013-02-04,3080.0,1.00308,0.05250049846472864,1.05085,0.052580699999999994
2013-02-05,1050.0,1.00413,0.05967713343889735,1.03076,0.046108
2013-02-06,-35.0,1.004095,0.060421274879368984,1.08031,0.05395575
2013-02-07,5720.0,1.009815,0.06269653352346717,1.05159,0.05738
2013-02-08,1770.0,1.011585,0.0641112709263186,1.0438,0.0269212
2013-02-18,-13140.0,0.998445,0.06402055195829515,1.02926,0.0
2013-02-19,-1610.0,0.996835,0.05768457166933344,1.01881,0.0214749
2013-02-20,520.0,0.997355,0.05743230845586576,1.01453,0.0
2013-02-21,-12720.0,0.984635,0.06185225997450832,1.00877,0.024071
2013-02-22,-7830.0,0.976805,0.07392130466162644,1.03773,0.0333435
2013-02-25,3430.0,0.980235,0.06766010191433687,1.037,0.048591600000000006
2013-02-26,-3530.0,0.976705,0.06884217854930609,1.02192,0.025979099999999998
2013-02-27,-3930.0,0.972775,0.07242856775718948,1.03883,0.030544599999999998
2013-02-28,3130.0,0.975905,0.06698090490365353,1.02182,0.024934
2013-03-01,8770.0,0.984675,0.06420483916012898,1.02121,0.031836
2013-03-04,-9940.0,0.974735,0.0712061226897567,1.02335,0.026176
2013-03-05,-1300.0,0.973435,0.05961497172384392,0.9923,0.0616995
2013-03-06,1770.0,0.975205,0.06744735722232761,1.04058,0.055396
2013-03-07,1450.0,0.976655,0.06741049807762209,1.0381,0.047268300000000006
2013-03-08,2850.0,0.979505,0.07263525964645408,1.0357,0.019686600000000002
2013-03-11,3230.0,0.982735,0.07213979353538849,1.03263,0.0
2013-03-12,4435.0,0.98717,0.06560192266782823,1.039885,0.0276764
2013-03-13,8110.0,0.99528,0.05346937545213407,0.81302,0.01114875
2013-03-14,4470.0,0.99975,0.0692196049012253,1.01135,0.0165888
2013-03-15,-2630.0,0.99712,0.06990231867779204,1.01822,0.0
2013-03-18,4500.0,1.00162,0.058757412990954654,0.98706,0.030513
2013-03-19,-720.0,1.0009,0.06922389849135778,1.01454,0.030258
2013-03-20,-2440.0,0.99846,0.06985457604711255,1.0209,0.0
2013-03-21,-2160.0,0.9963,0.0701806684733514,1.02314,0.0
2013-03-22,-6040.0,0.99026,0.06768828388504029,1.01136,0.0299892
2013-03-25,-1890.0,0.98837,0.06791940265285268,1.01237,0.0
2013-03-26,2850.0,0.99122,0.06053903270716894,0.97557,0.0344745
2013-03-27,2070.0,0.99329,0.060190880810236685,0.97234,0.0
2013-03-28,9490.0,1.00278,0.06546251421049483,0.99283,0.03402
2013-03-29,-310.0,1.00247,0.07104651510768402,0.98114,0.027279599999999998
2013-04-01,3165.0,1.005635,0.0643740024959354,0.981535,0.0273681
2013-04-02,-4910.0,1.000725,0.06523695320892353,0.989325,0.0
2013-04-03,1930.0,1.002655,0.06485356378814248,0.985955,0.0
2013-04-08,-1645.0,1.00101,0.06632940729862838,0.98471,0.045332300000000006
2013-04-09,70.0,1.00108,0.06740190594158309,1.00682,0.020434
2013-04-10,-3130.0,0.99795,0.07232556741319705,1.02799,0.018174
2013-04-11,3570.0,1.00152,0.0715696141864366,1.02148,0.0
2013-04-12,-1080.0,1.00044,0.07476640278277558,0.97831,0.047261300000000006
2013-04-15,-3850.0,0.99659,0.05781695581934397,0.89172,0.0549096
2013-04-16,9570.0,1.00616,0.060817961358034515,0.94083,0.052119
2013-04-17,8150.0,1.01431,0.058084412063373135,0.9366,0.0248786
2013-04-18,6565.0,1.020875,0.05742059507775193,0.934325,0.021525
2013-04-19,-7920.0,1.012955,0.0590792285935703,0.91604,0.02242605
2013-04-22,6380.0,1.019335,0.05740404283184625,0.933345,0.022350449999999997
2013-04-23,4585.0,1.02392,0.056754238612391594,0.92605,0.0
2013-04-24,-10060.0,1.01386,0.057770994022843386,0.93217,0.0
2013-04-25,-895.0,1.012965,0.046932371799617956,0.747415,0.0112464
2013-04-26,-6160.0,1.006805,0.04730161252675543,0.7515,0.04957925
2013-05-02,-60.0,1.006745,0.060471519600296,0.93806,0.013608
2013-05-03,-5260.0,1.001485,0.06173562260043835,0.95167,0.0217125
2013-05-06,2870.0,1.004355,0.062072175674935656,0.9586,0.0
2013-05-07,4475.0,1.00883,0.06020573337430488,0.965405,0.0382098
