,HOLDINGS
RB.SHF,5.0
L.DCE,4.0
TA.CZC,0.0
JM.DCE,0.0
V.DCE,0.0
ZC.CZC,0.0
MA.CZC,0.0
RU.SHF,0.0
BU.SHF,0.0
FU.SHF,0.0
J.DCE,-1.0
I.DCE,-3.0
PP.DCE,-4.0
HC.SHF,-4.0
