date_time,open,high,low,close,volume,amount,position,date,time
2019-09-17 09:01:00,1396.0,1396.0,1393.0,1393.0,16.0,0.0,84.0,2019-09-17,09:01:00
2019-09-17 09:02:00,1393.0,1393.0,1391.0,1392.0,24.0,0.0,108.0,2019-09-17,09:02:00
2019-09-17 09:03:00,1388.0,1388.0,1384.0,1384.0,32.0,0.0,134.0,2019-09-17,09:03:00
2019-09-17 09:04:00,1384.0,1384.0,1384.0,1384.0,4.0,0.0,134.0,2019-09-17,09:04:00
2019-09-17 09:05:00,1385.0,1385.0,1385.0,1385.0,2.0,0.0,136.0,2019-09-17,09:05:00
2019-09-17 09:07:00,1384.0,1384.0,1383.0,1383.0,14.0,0.0,148.0,2019-09-17,09:07:00
2019-09-17 09:09:00,1382.0,1382.0,1382.0,1382.0,6.0,0.0,154.0,2019-09-17,09:09:00
2019-09-17 09:10:00,1381.0,1381.0,1381.0,1381.0,8.0,0.0,162.0,2019-09-17,09:10:00
2019-09-17 09:11:00,1380.0,1385.0,1379.0,1379.0,14.0,0.0,172.0,2019-09-17,09:11:00
2019-09-17 09:12:00,1384.0,1384.0,1384.0,1384.0,2.0,0.0,172.0,2019-09-17,09:12:00
2019-09-17 09:14:00,1380.0,1380.0,1378.0,1378.0,8.0,0.0,180.0,2019-09-17,09:14:00
2019-09-17 09:15:00,1380.0,1382.0,1380.0,1382.0,4.0,0.0,182.0,2019-09-17,09:15:00
2019-09-17 09:16:00,1379.0,1382.0,1379.0,1379.0,14.0,0.0,194.0,2019-09-17,09:16:00
2019-09-17 09:17:00,1379.0,1379.0,1378.0,1378.0,8.0,0.0,202.0,2019-09-17,09:17:00
2019-09-17 09:19:00,1382.0,1382.0,1382.0,1382.0,4.0,0.0,200.0,2019-09-17,09:19:00
2019-09-17 09:20:00,1382.0,1382.0,1382.0,1382.0,2.0,0.0,202.0,2019-09-17,09:20:00
2019-09-17 09:21:00,1378.0,1378.0,1378.0,1378.0,26.0,0.0,228.0,2019-09-17,09:21:00
2019-09-17 09:22:00,1378.0,1378.0,1378.0,1378.0,2.0,0.0,230.0,2019-09-17,09:22:00
2019-09-17 09:28:00,1380.0,1384.0,1379.0,1384.0,24.0,0.0,242.0,2019-09-17,09:28:00
2019-09-17 09:30:00,1385.0,1385.0,1385.0,1385.0,2.0,0.0,242.0,2019-09-17,09:30:00
2019-09-17 09:34:00,1379.0,1379.0,1377.0,1377.0,38.0,0.0,280.0,2019-09-17,09:34:00
2019-09-17 09:35:00,1377.0,1378.0,1377.0,1378.0,4.0,0.0,284.0,2019-09-17,09:35:00
2019-09-17 09:43:00,1381.0,1381.0,1381.0,1381.0,2.0,0.0,286.0,2019-09-17,09:43:00
2019-09-17 09:44:00,1378.0,1378.0,1377.0,1377.0,30.0,0.0,316.0,2019-09-17,09:44:00
2019-09-17 09:46:00,1378.0,1381.0,1378.0,1381.0,10.0,0.0,326.0,2019-09-17,09:46:00
2019-09-17 09:48:00,1377.0,1377.0,1377.0,1377.0,2.0,0.0,328.0,2019-09-17,09:48:00
2019-09-17 09:49:00,1376.0,1376.0,1376.0,1376.0,14.0,0.0,342.0,2019-09-17,09:49:00
2019-09-17 09:50:00,1376.0,1376.0,1375.0,1375.0,18.0,0.0,360.0,2019-09-17,09:50:00
2019-09-17 09:51:00,1374.0,1374.0,1371.0,1371.0,56.0,0.0,416.0,2019-09-17,09:51:00
2019-09-17 09:52:00,1370.0,1370.0,1370.0,1370.0,12.0,0.0,428.0,2019-09-17,09:52:00
2019-09-17 09:53:00,1370.0,1370.0,1370.0,1370.0,2.0,0.0,430.0,2019-09-17,09:53:00
2019-09-17 09:54:00,1372.0,1372.0,1369.0,1369.0,10.0,0.0,440.0,2019-09-17,09:54:00
2019-09-17 09:56:00,1372.0,1372.0,1372.0,1372.0,2.0,0.0,442.0,2019-09-17,09:56:00
2019-09-17 10:04:00,1376.0,1376.0,1376.0,1376.0,4.0,0.0,442.0,2019-09-17,10:04:00
2019-09-17 10:05:00,1376.0,1377.0,1376.0,1377.0,4.0,0.0,444.0,2019-09-17,10:05:00
2019-09-17 10:33:00,1375.0,1375.0,1375.0,1375.0,4.0,0.0,448.0,2019-09-17,10:33:00
2019-09-17 10:34:00,1375.0,1375.0,1375.0,1375.0,2.0,0.0,450.0,2019-09-17,10:34:00
2019-09-17 10:39:00,1373.0,1373.0,1373.0,1373.0,2.0,0.0,450.0,2019-09-17,10:39:00
2019-09-17 10:47:00,1373.0,1373.0,1373.0,1373.0,2.0,0.0,450.0,2019-09-17,10:47:00
2019-09-17 10:48:00,1375.0,1375.0,1375.0,1375.0,2.0,0.0,452.0,2019-09-17,10:48:00
2019-09-17 10:57:00,1374.0,1374.0,1374.0,1374.0,2.0,0.0,454.0,2019-09-17,10:57:00
2019-09-17 11:02:00,1373.0,1373.0,1373.0,1373.0,2.0,0.0,456.0,2019-09-17,11:02:00
2019-09-17 11:05:00,1373.0,1373.0,1373.0,1373.0,4.0,0.0,460.0,2019-09-17,11:05:00
2019-09-17 11:08:00,1373.0,1373.0,1373.0,1373.0,2.0,0.0,462.0,2019-09-17,11:08:00
2019-09-17 11:13:00,1375.0,1375.0,1375.0,1375.0,2.0,0.0,464.0,2019-09-17,11:13:00
2019-09-17 11:21:00,1373.0,1377.0,1373.0,1377.0,12.0,0.0,474.0,2019-09-17,11:21:00
2019-09-17 11:22:00,1377.0,1377.0,1377.0,1377.0,2.0,0.0,476.0,2019-09-17,11:22:00
2019-09-17 11:23:00,1377.0,1377.0,1377.0,1377.0,10.0,0.0,486.0,2019-09-17,11:23:00
2019-09-17 13:36:00,1378.0,1378.0,1378.0,1378.0,2.0,0.0,488.0,2019-09-17,13:36:00
2019-09-17 13:37:00,1379.0,1379.0,1379.0,1379.0,8.0,0.0,494.0,2019-09-17,13:37:00
2019-09-17 13:38:00,1379.0,1379.0,1379.0,1379.0,6.0,0.0,500.0,2019-09-17,13:38:00
2019-09-17 13:44:00,1378.0,1378.0,1378.0,1378.0,4.0,0.0,504.0,2019-09-17,13:44:00
2019-09-17 13:48:00,1379.0,1379.0,1379.0,1379.0,2.0,0.0,504.0,2019-09-17,13:48:00
2019-09-17 13:50:00,1380.0,1380.0,1380.0,1380.0,2.0,0.0,506.0,2019-09-17,13:50:00
2019-09-17 13:56:00,1377.0,1377.0,1377.0,1377.0,2.0,0.0,508.0,2019-09-17,13:56:00
2019-09-17 14:00:00,1377.0,1377.0,1376.0,1376.0,12.0,0.0,520.0,2019-09-17,14:00:00
2019-09-17 14:25:00,1377.0,1377.0,1377.0,1377.0,2.0,0.0,522.0,2019-09-17,14:25:00
2019-09-17 14:26:00,1377.0,1377.0,1377.0,1377.0,6.0,0.0,528.0,2019-09-17,14:26:00
2019-09-17 14:31:00,1376.0,1376.0,1376.0,1376.0,2.0,0.0,528.0,2019-09-17,14:31:00
2019-09-17 14:35:00,1376.0,1376.0,1376.0,1376.0,2.0,0.0,530.0,2019-09-17,14:35:00
2019-09-17 14:45:00,1376.0,1376.0,1376.0,1376.0,2.0,0.0,532.0,2019-09-17,14:45:00
2019-09-17 14:46:00,1376.0,1376.0,1376.0,1376.0,2.0,0.0,534.0,2019-09-17,14:46:00
2019-09-17 14:47:00,1376.0,1376.0,1376.0,1376.0,2.0,0.0,536.0,2019-09-17,14:47:00
2019-09-17 14:49:00,1376.0,1376.0,1375.0,1375.0,8.0,0.0,540.0,2019-09-17,14:49:00
2019-09-17 14:53:00,1378.0,1379.0,1378.0,1379.0,40.0,0.0,580.0,2019-09-17,14:53:00
2019-09-17 14:59:00,1379.0,1379.0,1379.0,1379.0,4.0,15990000.0,584.0,2019-09-17,14:59:00
2019-09-17 21:00:00,1380.0,1380.0,1376.0,1376.0,6.0,0.0,586.0,2019-09-17,21:00:00
2019-09-17 21:01:00,1380.0,1380.0,1380.0,1380.0,2.0,0.0,584.0,2019-09-17,21:01:00
