,HOLDINGS
V.DCE,5.0
I.DCE,3.0
JM.DCE,2.0
TA.CZC,0.0
MA.CZC,0.0
RB.SHF,0.0
J.DCE,0.0
HC.SHF,0.0
BU.SHF,0.0
PP.DCE,0.0
EG.DCE,0.0
RU.SHF,-1.0
ZC.CZC,-3.0
L.DCE,-4.0
