,WGTS
RB.SHF,10.0
HC.SHF,10.0
JM.DCE,2.0
TA.CZC,0.0
L.DCE,0.0
J.DCE,0.0
BU.SHF,0.0
ZC.CZC,0.0
I.DCE,0.0
PP.DCE,0.0
EG.DCE,0.0
MA.CZC,-12.0
V.DCE,-22.0
