dt,ru rmb
2013-1-4,22500.0
2013-1-7,22400.0
2013-1-8,22500.0
2013-1-9,22600.0
2013-1-10,22900.0
2013-1-11,22600.0
2013-1-14,22600.0
2013-1-15,22600.0
2013-1-16,22400.0
2013-1-17,22400.0
2013-1-18,22400.0
2013-1-21,22600.0
2013-1-22,22600.0
2013-1-23,22600.0
2013-1-24,22600.0
2013-1-25,22600.0
2013-1-28,22500.0
2013-1-29,22500.0
2013-1-30,22500.0
2013-1-31,22600.0
2013-2-1,22800.0
2013-2-4,23200.0
2013-2-5,23200.0
2013-2-6,23200.0
2013-2-7,23200.0
2013-2-8,23200.0
2013-2-18,23400.0
2013-2-19,23200.0
2013-2-20,22800.0
2013-2-21,22400.0
2013-2-22,22500.0
2013-2-25,22200.0
2013-2-26,21600.0
2013-2-27,21800.0
2013-2-28,22000.0
2013-3-1,21700.0
2013-3-4,21700.0
2013-3-5,21700.0
2013-3-6,21700.0
2013-3-7,21400.0
2013-3-8,21400.0
2013-3-11,21400.0
2013-3-12,21200.0
2013-3-13,20800.0
2013-3-14,20500.0
2013-3-15,20600.0
2013-3-18,20220.0
2013-3-19,20350.0
2013-3-20,20350.0
2013-3-21,20550.0
2013-3-22,20550.0
2013-3-25,20200.0
2013-3-26,20200.0
2013-3-27,19950.0
2013-3-28,19750.0
2013-3-29,19500.0
2013-4-1,19500.0
2013-4-2,19450.0
2013-4-3,19500.0
2013-4-8,19150.0
2013-4-9,19350.0
2013-4-10,19350.0
2013-4-11,19300.0
2013-4-12,19300.0
2013-4-15,18400.0
2013-4-16,18150.0
2013-4-17,18000.0
2013-4-18,17200.0
2013-4-19,17550.0
2013-4-22,17500.0
2013-4-23,17500.0
2013-4-24,17700.0
2013-4-25,18000.0
2013-4-26,18000.0
2013-5-2,17850.0
2013-5-3,18600.0
2013-5-6,18950.0
2013-5-7,18600.0
2013-5-8,19100.0
2013-5-9,18900.0
2013-5-10,19200.0
2013-5-13,19000.0
2013-5-14,18500.0
2013-5-15,18500.0
2013-5-16,18300.0
2013-5-17,18800.0
2013-5-20,18600.0
2013-5-21,18600.0
2013-5-22,18200.0
2013-5-23,17800.0
2013-5-24,17600.0
2013-5-27,17400.0
2013-5-28,17350.0
2013-5-29,17300.0
2013-5-30,17200.0
2013-5-31,17200.0
2013-6-3,17200.0
2013-6-4,17200.0
2013-6-5,17200.0
2013-6-6,17050.0
2013-6-7,17050.0
2013-6-13,16600.0
2013-6-14,16700.0
2013-6-17,16700.0
