dt,ld cfr
2013/1/4,1420.0
2013/1/7,1450.0
2013/1/8,1450.0
2013/1/9,1440.0
2013/1/10,1450.0
2013/1/11,1440.0
2013/1/14,1425.0
2013/1/15,1410.0
2013/1/16,1420.0
2013/1/17,1420.0
2013/1/18,1420.0
2013/1/21,1420.0
2013/1/22,1420.0
2013/1/23,1410.0
2013/1/24,1410.0
2013/1/25,1410.0
2013/1/28,1420.0
2013/1/29,1430.0
2013/1/30,1430.0
2013/1/31,1430.0
2013/2/1,1430.0
2013/2/4,1450.0
2013/2/5,1450.0
2013/2/6,1450.0
2013/2/7,1450.0
2013/2/8,1450.0
2013/2/18,1450.0
2013/2/19,1450.0
2013/2/20,1460.0
2013/2/21,1450.0
2013/2/22,1440.0
2013/2/25,1440.0
2013/2/26,1440.0
2013/2/27,1430.0
2013/2/28,1430.0
2013/3/1,1430.0
2013/3/4,1430.0
2013/3/5,1420.0
2013/3/6,1400.0
2013/3/7,1400.0
2013/3/8,1400.0
2013/3/11,1380.0
2013/3/12,1380.0
2013/3/13,1380.0
2013/3/14,1370.0
2013/3/15,1375.0
2013/3/18,1380.0
2013/3/19,1380.0
2013/3/20,1380.0
2013/3/21,1380.0
2013/3/22,1390.0
2013/3/25,1385.0
2013/3/26,1380.0
2013/3/27,1380.0
2013/3/28,1380.0
2013/3/29,1380.0
2013/4/1,1390.0
2013/4/2,1380.0
2013/4/3,1380.0
2013/4/8,1370.0
2013/4/9,1370.0
2013/4/10,1370.0
2013/4/11,1380.0
2013/4/12,1380.0
2013/4/15,1360.0
2013/4/16,1350.0
2013/4/17,1340.0
2013/4/18,1340.0
2013/4/19,1340.0
2013/4/22,1330.0
2013/4/23,1330.0
2013/4/24,1330.0
2013/4/25,1320.0
2013/4/26,1330.0
2013/5/2,1330.0
2013/5/3,1340.0
2013/5/6,1350.0
2013/5/7,1365.0
2013/5/8,1380.0
2013/5/9,1380.0
2013/5/10,1400.0
2013/5/13,1410.0
2013/5/14,1410.0
2013/5/15,1420.0
2013/5/16,1410.0
2013/5/17,1410.0
2013/5/20,1420.0
2013/5/21,1420.0
2013/5/22,1420.0
2013/5/23,1420.0
2013/5/24,1430.0
2013/5/27,1430.0
2013/5/28,1430.0
2013/5/29,1430.0
2013/5/30,1430.0
2013/5/31,1430.0
2013/6/3,1430.0
2013/6/4,1430.0
2013/6/5,1440.0
2013/6/6,1430.0
2013/6/7,1430.0
2013/6/13,1450.0
2013/6/14,1450.0
2013/6/17,1450.0
2013/6/18,1450.0
2013/6/19,1460.0
2013/6/20,1460.0
2013/6/21,1460.0
2013/6/24,1460.0
2013/6/25,1460.0
2013/6/26,1460.0
2013/6/27,1460.0
2013/6/28,1460.0
2013/7/1,1460.0
2013/7/2,1460.0
2013/7/3,1460.0
2013/7/4,1460.0
2013/7/5,1460.0
2013/7/8,1460.0
2013/7/9,1460.0
2013/7/10,1460.0
2013/7/11,1470.0
2013/7/12,1470.0
2013/7/15,1480.0
2013/7/16,1490.0
2013/7/17,1490.0
2013/7/18,1500.0
2013/7/19,1500.0
2013/7/22,1500.0
2013/7/23,1530.0
2013/7/24,1540.0
2013/7/25,1540.0
2013/7/26,1540.0
2013/7/29,1540.0
2013/7/30,1550.0
2013/7/31,1550.0
2013/8/1,1580.0
2013/8/2,1580.0
2013/8/5,1580.0
2013/8/6,1580.0
2013/8/7,1580.0
2013/8/8,1580.0
2013/8/9,1580.0
2013/8/12,1580.0
2013/8/13,1570.0
2013/8/14,1600.0
2013/8/15,1580.0
2013/8/16,1580.0
2013/8/19,1580.0
2013/8/20,1560.0
2013/8/21,1560.0
2013/8/22,1550.0
2013/8/23,1540.0
2013/8/26,1550.0
2013/8/27,1550.0
2013/8/28,1560.0
2013/8/29,1560.0
2013/8/30,1570.0
2013/9/2,1580.0
2013/9/3,1580.0
2013/9/4,1580.0
2013/9/5,1600.0
2013/9/6,1600.0
2013/9/9,1620.0
2013/9/10,1620.0
2013/9/11,1610.0
2013/9/12,1600.0
2013/9/13,1600.0
2013/9/16,1600.0
2013/9/17,1580.0
2013/9/18,1580.0
2013/9/23,1600.0
2013/9/24,1600.0
2013/9/25,1600.0
2013/9/26,1600.0
2013/9/27,1600.0
2013/10/8,1620.0
2013/10/9,1620.0
2013/10/10,1620.0
2013/10/11,1640.0
2013/10/14,1640.0
2013/10/15,1650.0
2013/10/16,1650.0
2013/10/17,1650.0
2013/10/18,1660.0
2013/10/21,1660.0
2013/10/22,1660.0
2013/10/23,1660.0
2013/10/24,1660.0
2013/10/25,1650.0
2013/10/28,1650.0
2013/10/29,1660.0
2013/10/30,1660.0
2013/10/31,1660.0
2013/11/1,1660.0
2013/11/4,1660.0
2013/11/5,1670.0
2013/11/6,1670.0
2013/11/7,1670.0
2013/11/8,1660.0
2013/11/11,1660.0
2013/11/12,1660.0
2013/11/13,1660.0
2013/11/14,1660.0
2013/11/15,1660.0
2013/11/18,1680.0
2013/11/19,1690.0
2013/11/20,1690.0
2013/11/21,1690.0
2013/11/22,1690.0
2013/11/25,1690.0
2013/11/26,1690.0
2013/11/27,1690.0
2013/11/28,1700.0
2013/11/29,1700.0
2013/12/2,1720.0
2013/12/3,1700.0
2013/12/4,1700.0
2013/12/5,1700.0
2013/12/6,1720.0
2013/12/9,1730.0
2013/12/10,1730.0
2013/12/11,1730.0
2013/12/12,1730.0
2013/12/13,1720.0
2013/12/16,1720.0
2013/12/17,1720.0
2013/12/18,1720.0
2013/12/19,1720.0
2013/12/20,1720.0
2013/12/23,1720.0
2013/12/24,1720.0
2013/12/25,1700.0
2013/12/26,1700.0
2013/12/27,1700.0
