dt,sm cfr
2013/11/26,1660.0
2013/11/27,1665.0
2013/11/28,1665.0
2013/11/29,1665.0
2013/12/2,1670.0
2013/12/3,1687.5
2013/12/4,1685.0
2013/12/5,1697.5
2013/12/6,1700.0
2013/12/9,1695.0
2013/12/10,1687.5
2013/12/11,1687.5
2013/12/12,1697.5
2013/12/13,1705.0
2013/12/16,1715.0
2013/12/17,1712.5
2013/12/18,1715.0
2013/12/19,1712.5
2013/12/20,1705.0
2013/12/23,1705.0
2013/12/24,1705.0
2013/12/25,1705.0
2013/12/26,1705.0
2013/12/27,1705.0
2013/12/30,1712.5
2013/12/31,1712.5
2014/1/1,1712.5
2014/1/2,1717.5
2014/1/3,1717.5
2014/1/6,1710.0
2014/1/7,1702.5
2014/1/8,1702.5
2014/1/9,1697.5
2014/1/10,1692.5
2014/1/13,1690.0
2014/1/14,1685.0
2014/1/15,1680.0
2014/1/16,1682.5
2014/1/17,1682.5
2014/1/20,1697.5
2014/1/21,1702.5
2014/1/22,1700.5
2014/1/23,1687.5
2014/1/24,1685.0
2014/1/27,1682.5
2014/1/28,1670.0
2014/1/29,1670.0
2014/1/30,1670.0
2014/1/31,1670.0
2014/2/3,1670.0
2014/2/4,1670.0
2014/2/5,1670.0
2014/2/6,1670.0
2014/2/7,1662.5
2014/2/10,1630.0
2014/2/11,1620.0
2014/2/12,1582.5
2014/2/13,1582.5
2014/2/14,1595.0
2014/2/17,1622.5
2014/2/18,1617.5
2014/2/19,1615.0
2014/2/20,1615.0
2014/2/21,1630.0
2014/2/24,1617.5
2014/2/25,1605.0
2014/2/26,1597.5
2014/2/27,1597.5
2014/2/28,1590.0
2014/3/3,1567.5
2014/3/4,1572.5
2014/3/5,1600.0
2014/3/6,1602.5
2014/3/7,1622.5
2014/3/10,1617.5
2014/3/11,1617.5
2014/3/12,1620.0
2014/3/13,1625.0
2014/3/14,1615.0
2014/3/17,1635.0
2014/3/18,1650.0
2014/3/19,1635.0
2014/3/20,1635.0
2014/3/21,1637.5
2014/3/24,1637.5
2014/3/25,1632.5
2014/3/26,1627.5
2014/3/27,1630.0
2014/3/28,1635.0
2014/3/31,1642.5
2014/4/1,1647.5
2014/4/2,1642.5
2014/4/3,1640.0
2014/4/4,1640.0
2014/4/7,1640.0
2014/4/8,1640.0
2014/4/9,1650.0
2014/4/10,1645.0
2014/4/11,1635.0
2014/4/14,1632.5
2014/4/15,1637.5
2014/4/16,1632.5
2014/4/17,1632.5
2014/4/18,1620.0
2014/4/21,1622.5
2014/4/22,1622.5
2014/4/23,1615.0
2014/4/24,1605.0
2014/4/25,1610.0
2014/4/28,1605.0
2014/4/29,1590.0
2014/4/30,1587.5
2014/5/1,1587.5
2014/5/2,1587.5
2014/5/5,1607.5
2014/5/6,1607.5
2014/5/7,1612.5
2014/5/8,1612.5
2014/5/9,1605.0
2014/5/12,1600.0
2014/5/13,1600.0
2014/5/14,1597.5
2014/5/15,1597.5
2014/5/16,1600.0
2014/5/19,1607.5
2014/5/20,1600.0
2014/5/21,1585.0
2014/5/22,1585.0
2014/5/23,1582.5
2014/5/26,1590.0
2014/5/27,1595.0
2014/5/28,1592.5
2014/5/29,1587.5
2014/5/30,1582.5
2014/6/2,1582.5
2014/6/3,1572.5
2014/6/4,1567.5
2014/6/5,1580.0
2014/6/6,1595.0
2014/6/9,1597.5
2014/6/10,1605.0
2014/6/11,1602.5
2014/6/12,1592.5
2014/6/13,1600.0
2014/6/16,1600.0
2014/6/17,1587.5
2014/6/18,1590.0
2014/6/19,1590.0
2014/6/20,1595.0
2014/6/23,1632.5
2014/6/24,1627.5
2014/6/25,1630.0
2014/6/26,1632.5
2014/6/27,1645.0
2014/6/30,1642.5
2014/7/1,1635.0
2014/7/2,1635.0
2014/7/3,1635.0
2014/7/4,1635.0
2014/7/7,1632.5
2014/7/8,1637.5
2014/7/9,1635.0
2014/7/10,1635.0
2014/7/11,1635.0
2014/7/14,1635.0
2014/7/15,1630.0
2014/7/16,1632.5
2014/7/17,1632.5
2014/7/18,1637.5
2014/7/21,1645.0
2014/7/22,1645.0
2014/7/23,1660.0
2014/7/24,1660.0
2014/7/25,1660.0
2014/7/28,1650.0
2014/7/29,1647.5
2014/7/30,1645.0
2014/7/31,1632.5
2014/8/1,1632.5
2014/8/4,1615.0
2014/8/5,1607.5
2014/8/6,1605.0
2014/8/7,1605.0
2014/8/8,1610.0
2014/8/11,1610.0
2014/8/12,1597.5
2014/8/13,1595.0
2014/8/14,1590.0
2014/8/15,1595.0
2014/8/18,1585.0
2014/8/19,1582.5
2014/8/20,1582.5
2014/8/21,1587.5
2014/8/22,1580.0
2014/8/25,1575.0
2014/8/26,1572.5
2014/8/27,1555.0
2014/8/28,1555.0
2014/8/29,1545.0
2014/9/1,1547.5
2014/9/2,1545.0
2014/9/3,1535.0
2014/9/4,1530.0
2014/9/5,1510.0
2014/9/8,1510.0
2014/9/9,1492.5
2014/9/10,1487.5
2014/9/11,1492.5
2014/9/12,1515.0
2014/9/15,1537.5
2014/9/16,1517.5
2014/9/17,1532.5
2014/9/18,1537.5
2014/9/19,1540.0
2014/9/22,1515.0
2014/9/23,1507.5
2014/9/24,1510.0
2014/9/25,1515.0
2014/9/26,1510.0
2014/9/29,1512.5
2014/9/30,1512.5
2014/10/1,1512.5
2014/10/2,1512.5
2014/10/3,1512.5
2014/10/6,1512.5
2014/10/7,1512.5
2014/10/8,1507.5
2014/10/9,1522.5
2014/10/10,1502.5
2014/10/13,1462.5
2014/10/14,1445.0
2014/10/15,1422.5
2014/10/16,1427.5
2014/10/17,1450.0
2014/10/20,1475.0
2014/10/21,1475.0
2014/10/22,1475.0
2014/10/23,1472.5
2014/10/24,1470.0
2014/10/27,1450.0
2014/10/28,1440.0
2014/10/29,1445.0
2014/10/30,1440.0
2014/10/31,1427.5
2014/11/3,1410.0
2014/11/4,1390.0
2014/11/5,1367.5
2014/11/6,1360.0
2014/11/7,1337.5
2014/11/10,1300.0
2014/11/11,1272.5
2014/11/12,1267.5
2014/11/13,1280.0
2014/11/14,1225.0
2014/11/17,1245.0
2014/11/18,1255.0
2014/11/19,1275.0
2014/11/20,1275.0
2014/11/21,1285.0
2014/11/24,1270.0
2014/11/25,1250.0
2014/11/26,1220.0
2014/11/27,1210.0
2014/11/28,1157.5
2014/12/1,1040.0
2014/12/2,1065.0
2014/12/3,1055.0
2014/12/4,1062.5
2014/12/5,1065.0
2014/12/8,1027.5
2014/12/9,967.5
2014/12/10,900.0
2014/12/11,870.0
2014/12/12,852.5
2014/12/15,885.0
2014/12/16,880.0
2014/12/17,870.0
2014/12/18,910.0
2014/12/19,910.0
2014/12/22,965.0
2014/12/23,965.0
2014/12/24,975.0
2014/12/25,975.0
2014/12/26,975.0
2014/12/29,975.0
2014/12/30,975.0
2014/12/31,975.0
2015/1/1,975.0
2015/1/2,975.0
2015/1/5,942.5
2015/1/6,905.0
2015/1/7,842.5
2015/1/8,862.5
2015/1/9,867.5
2015/1/12,867.5
2015/1/13,832.5
2015/1/14,842.5
2015/1/15,855.0
2015/1/16,855.0
2015/1/19,900.0
2015/1/20,900.0
