dt,pp cfr
2013/12/25,1520.0
2013/12/26,1520.0
2013/12/27,1520.0
2013/12/30,1520.0
2013/12/31,1520.0
2014/1/2,1520.0
2014/1/3,1525.0
2014/1/6,1525.0
2014/1/7,1525.0
2014/1/8,1525.0
2014/1/9,1525.0
2014/1/10,1510.0
2014/1/13,1510.0
2014/1/14,1510.0
2014/1/15,1510.0
2014/1/16,1510.0
2014/1/17,1510.0
2014/1/20,1510.0
2014/1/21,1510.0
2014/1/22,1510.0
2014/1/23,1510.0
2014/1/24,1495.0
2014/1/27,1495.0
2014/1/28,1495.0
2014/1/29,1495.0
2014/1/30,1495.0
2014/2/7,1495.0
2014/2/10,1495.0
2014/2/11,1495.0
2014/2/12,1495.0
2014/2/13,1495.0
2014/2/14,1480.0
2014/2/17,1480.0
2014/2/18,1480.0
2014/2/19,1480.0
2014/2/20,1480.0
2014/2/21,1465.0
2014/2/24,1465.0
2014/2/25,1465.0
2014/2/26,1465.0
2014/2/27,1465.0
2014/2/28,1477.5
2014/3/3,1477.5
2014/3/4,1477.5
2014/3/5,1477.5
2014/3/6,1477.5
2014/3/7,1470.0
2014/3/10,1470.0
2014/3/11,1470.0
2014/3/12,1470.0
2014/3/13,1470.0
2014/3/14,1460.0
2014/3/17,1460.0
2014/3/18,1460.0
2014/3/19,1460.0
2014/3/20,1460.0
2014/3/21,1450.0
2014/3/24,1450.0
2014/3/25,1450.0
2014/3/26,1450.0
2014/3/27,1450.0
2014/3/28,1467.5
2014/3/31,1467.5
2014/4/1,1467.5
2014/4/2,1467.5
2014/4/3,1467.5
2014/4/4,1472.5
2014/4/8,1472.5
2014/4/9,1472.5
2014/4/10,1472.5
2014/4/11,1487.5
2014/4/14,1487.5
2014/4/15,1487.5
2014/4/16,1487.5
2014/4/17,1487.5
2014/4/18,1492.5
2014/4/21,1492.5
2014/4/22,1492.5
2014/4/23,1492.5
2014/4/24,1492.5
2014/4/25,1500.0
2014/4/28,1500.0
2014/4/29,1500.0
2014/4/30,1500.0
2014/5/5,1500.0
2014/5/6,1500.0
2014/5/7,1500.0
2014/5/8,1500.0
2014/5/9,1500.0
2014/5/12,1500.0
2014/5/13,1500.0
2014/5/14,1500.0
2014/5/15,1500.0
2014/5/16,1500.0
2014/5/19,1500.0
2014/5/20,1500.0
2014/5/21,1500.0
2014/5/22,1500.0
2014/5/23,1490.0
2014/5/26,1490.0
2014/5/27,1490.0
2014/5/28,1490.0
2014/5/29,1490.0
2014/5/30,1495.0
2014/6/3,1495.0
2014/6/4,1495.0
2014/6/5,1495.0
2014/6/6,1497.5
2014/6/9,1497.5
2014/6/10,1497.5
2014/6/11,1497.5
2014/6/12,1497.5
2014/6/13,1500.0
2014/6/16,1500.0
2014/6/17,1500.0
2014/6/18,1500.0
2014/6/19,1500.0
2014/6/20,1510.0
2014/6/23,1510.0
2014/6/24,1510.0
2014/6/25,1510.0
2014/6/26,1510.0
2014/6/27,1520.0
2014/6/30,1520.0
2014/7/1,1520.0
2014/7/2,1520.0
2014/7/3,1520.0
2014/7/4,1520.0
2014/7/7,1520.0
2014/7/8,1520.0
2014/7/9,1520.0
2014/7/10,1520.0
2014/7/11,1520.0
2014/7/14,1520.0
2014/7/15,1520.0
2014/7/16,1520.0
2014/7/17,1520.0
2014/7/18,1520.0
2014/7/21,1520.0
2014/7/22,1530.0
2014/7/23,1530.0
2014/7/24,1530.0
2014/7/25,1530.0
2014/7/28,1530.0
2014/7/29,1530.0
2014/7/30,1530.0
2014/7/31,1530.0
2014/8/1,1530.0
2014/8/4,1530.0
2014/8/5,1530.0
2014/8/6,1530.0
2014/8/7,1530.0
2014/8/8,1520.0
2014/8/11,1520.0
2014/8/12,1520.0
2014/8/13,1520.0
2014/8/14,1520.0
2014/8/15,1520.0
2014/8/18,1520.0
2014/8/19,1520.0
2014/8/20,1520.0
2014/8/21,1520.0
2014/8/22,1520.0
2014/8/25,1520.0
2014/8/26,1520.0
2014/8/27,1520.0
2014/8/28,1520.0
2014/8/29,1510.0
2014/9/1,1510.0
2014/9/2,1510.0
2014/9/3,1510.0
2014/9/4,1510.0
2014/9/5,1510.0
2014/9/9,1500.0
2014/9/10,1500.0
2014/9/11,1500.0
2014/9/12,1500.0
2014/9/15,1500.0
2014/9/16,1500.0
2014/9/17,1500.0
2014/9/18,1500.0
2014/9/19,1500.0
2014/9/22,1500.0
2014/9/23,1500.0
2014/9/24,1500.0
2014/9/25,1500.0
2014/9/26,1500.0
2014/9/29,1500.0
2014/9/30,1500.0
2014/10/8,1500.0
2014/10/9,1500.0
2014/10/10,1500.0
2014/10/13,1500.0
2014/10/14,1500.0
2014/10/15,1500.0
2014/10/16,1480.0
2014/10/17,1480.0
2014/10/20,1480.0
2014/10/21,1480.0
2014/10/22,1480.0
2014/10/23,1450.0
2014/10/24,1450.0
2014/10/27,1440.0
2014/10/28,1440.0
2014/10/29,1440.0
2014/10/30,1440.0
2014/10/31,1440.0
2014/11/3,1420.0
2014/11/4,1420.0
2014/11/5,1420.0
2014/11/6,1400.0
2014/11/7,1400.0
2014/11/10,1400.0
2014/11/11,1400.0
2014/11/12,1370.0
2014/11/13,1370.0
2014/11/14,1370.0
2014/11/17,1370.0
2014/11/18,1370.0
2014/11/19,1370.0
2014/11/20,1370.0
2014/11/21,1370.0
2014/11/24,1370.0
2014/11/25,1370.0
2014/11/26,1350.0
2014/11/27,1350.0
2014/11/28,1280.0
2014/12/1,1280.0
2014/12/2,1280.0
2014/12/3,1280.0
2014/12/4,1280.0
2014/12/5,1250.0
2014/12/8,1200.0
2014/12/9,1200.0
2014/12/10,1150.0
2014/12/11,1130.0
2014/12/12,1130.0
2014/12/15,1130.0
2014/12/16,1130.0
2014/12/17,1110.0
2014/12/18,1110.0
2014/12/19,1110.0
2014/12/22,1110.0
2014/12/23,1110.0
2014/12/24,1110.0
2014/12/25,1110.0
2014/12/26,1110.0
2014/12/29,1110.0
2014/12/30,1110.0
2014/12/31,1100.0
2015/1/5,1100.0
2015/1/6,1100.0
2015/1/7,1100.0
2015/1/8,1100.0
2015/1/9,1100.0
2015/1/12,1100.0
2015/1/13,1100.0
2015/1/14,1100.0
2015/1/15,1100.0
2015/1/16,1100.0
2015/1/19,1050.0
2015/1/20,1050.0
2015/1/21,1000.0
2015/1/22,1000.0
2015/1/23,1000.0
2015/1/26,980.0
2015/1/27,980.0
2015/1/28,980.0
2015/1/29,970.0
2015/1/30,970.0
2015/2/2,980.0
2015/2/3,1000.0
2015/2/4,1010.0
2015/2/5,1010.0
2015/2/6,1010.0
2015/2/9,1010.0
2015/2/10,1010.0
2015/2/11,1010.0
2015/2/12,1030.0
2015/2/13,1030.0
2015/2/16,1040.0
2015/2/17,1040.0
2015/2/25,1040.0
2015/2/26,1080.0
2015/2/27,1080.0
2015/3/2,1120.0
2015/3/3,1120.0
2015/3/4,1120.0
2015/3/5,1130.0
2015/3/6,1130.0
2015/3/9,1150.0
2015/3/10,1160.0
2015/3/11,1180.0
2015/3/12,1180.0
2015/3/13,1200.0
2015/3/16,1200.0
2015/3/17,1200.0
2015/3/18,1230.0
2015/3/19,1230.0
2015/3/20,1230.0
2015/3/23,1200.0
2015/3/24,1200.0
2015/3/25,1190.0
2015/3/26,1190.0
2015/3/27,1190.0
2015/3/30,1190.0
2015/3/31,1190.0
2015/4/1,1190.0
2015/4/2,1190.0
2015/4/3,1200.0
2015/4/6,1230.0
2015/4/7,1230.0
2015/4/8,1230.0
2015/4/9,1230.0
2015/4/10,1230.0
2015/4/13,1230.0
2015/4/14,1230.0
2015/4/15,1240.0
2015/4/16,1240.0
2015/4/17,1250.0
2015/4/20,1270.0
2015/4/21,1270.0
2015/4/22,1270.0
2015/4/23,1270.0
2015/4/24,1275.0
2015/4/27,1280.0
2015/4/28,1280.0
2015/4/29,1290.0
2015/4/30,1295.0
2015/5/4,1300.0
2015/5/5,1300.0
2015/5/6,1300.0
2015/5/7,1320.0
2015/5/8,1320.0
2015/5/11,1320.0
2015/5/12,1320.0
2015/5/13,1320.0
2015/5/14,1320.0
2015/5/15,1330.0
2015/5/18,1330.0
2015/5/19,1300.0
2015/5/20,1300.0
2015/5/21,1280.0
2015/5/22,1280.0
2015/5/25,1290.0
2015/5/26,1290.0
2015/5/27,1260.0
2015/5/28,1260.0
2015/5/29,1260.0
2015/6/1,1260.0
2015/6/2,1260.0
2015/6/3,1260.0
2015/6/4,1260.0
2015/6/5,1260.0
2015/6/8,1240.0
2015/6/9,1240.0
2015/6/10,1240.0
2015/6/11,1240.0
2015/6/12,1240.0
2015/6/15,1230.0
2015/6/16,1220.0
2015/6/17,1200.0
2015/6/18,1200.0
2015/6/19,1200.0
2015/6/23,1200.0
2015/6/24,1200.0
2015/6/25,1200.0
2015/6/26,1200.0
2015/6/29,1200.0
2015/6/30,1200.0
2015/7/1,1190.0
2015/7/2,1190.0
2015/7/3,1190.0
2015/7/6,1190.0
2015/7/7,1180.0
2015/7/8,1165.0
2015/7/9,1150.0
2015/7/10,1160.0
2015/7/13,1150.0
2015/7/14,1150.0
2015/7/15,1150.0
2015/7/16,1150.0
2015/7/17,1150.0
2015/7/20,1140.0
2015/7/21,1140.0
2015/7/22,1120.0
2015/7/23,1120.0
2015/7/24,1120.0
2015/7/27,1120.0
2015/7/28,1120.0
2015/7/29,1095.0
2015/7/30,1080.0
2015/7/31,1080.0
2015/8/3,1080.0
2015/8/4,1080.0
2015/8/5,1070.0
2015/8/6,1070.0
2015/8/7,1070.0
2015/8/10,1070.0
2015/8/11,1070.0
2015/8/12,1060.0
2015/8/13,1060.0
2015/8/14,1060.0
2015/8/17,1060.0
2015/8/18,1060.0
2015/8/19,1040.0
2015/8/20,1040.0
2015/8/21,1040.0
2015/8/24,1010.0
2015/8/25,1010.0
2015/8/26,1000.0
2015/8/27,980.0
2015/8/28,980.0
2015/8/31,980.0
2015/9/1,980.0
2015/9/2,980.0
2015/9/7,980.0
2015/9/8,980.0
2015/9/9,1000.0
2015/9/10,1000.0
2015/9/11,1000.0
2015/9/14,990.0
2015/9/15,990.0
2015/9/16,990.0
2015/9/17,990.0
2015/9/18,990.0
2015/9/21,990.0
2015/9/22,990.0
2015/9/23,990.0
2015/9/24,990.0
2015/9/25,990.0
2015/9/28,990.0
2015/9/29,990.0
2015/9/30,990.0
2015/10/8,990.0
2015/10/9,990.0
2015/10/12,980.0
2015/10/13,980.0
2015/10/14,970.0
2015/10/15,970.0
2015/10/16,970.0
2015/10/19,970.0
2015/10/20,970.0
2015/10/21,970.0
2015/10/22,970.0
2015/10/23,970.0
2015/10/26,960.0
2015/10/27,960.0
2015/10/28,950.0
2015/10/29,950.0
2015/10/30,950.0
2015/11/2,950.0
2015/11/3,940.0
2015/11/4,940.0
2015/11/5,940.0
2015/11/6,930.0
2015/11/9,930.0
2015/11/10,930.0
2015/11/11,930.0
2015/11/12,930.0
2015/11/13,930.0
2015/11/16,900.0
2015/11/17,900.0
2015/11/18,875.0
2015/11/19,865.0
2015/11/20,865.0
2015/11/23,865.0
2015/11/24,865.0
2015/11/25,860.0
2015/11/26,860.0
2015/11/27,860.0
2015/11/30,860.0
2015/12/1,860.0
2015/12/2,860.0
2015/12/3,860.0
2015/12/4,860.0
2015/12/7,855.0
2015/12/8,855.0
2015/12/9,855.0
2015/12/10,855.0
2015/12/11,835.0
2015/12/14,825.0
2015/12/15,825.0
2015/12/16,815.0
2015/12/17,815.0
2015/12/18,815.0
2015/12/21,815.0
2015/12/22,815.0
2015/12/23,825.0
2015/12/24,825.0
2015/12/25,825.0
2015/12/28,815.0
2015/12/29,815.0
2015/12/30,815.0
2015/12/31,815.0
2016/1/4,830.0
2016/1/5,830.0
2016/1/6,830.0
2016/1/7,830.0
2016/1/8,830.0
2016/1/11,815.0
2016/1/12,815.0
2016/1/13,815.0
2016/1/14,815.0
2016/1/15,815.0
2016/1/18,805.0
2016/1/19,805.0
2016/1/20,805.0
2016/1/21,805.0
2016/1/22,805.0
2016/1/25,805.0
2016/1/26,805.0
2016/1/27,805.0
2016/1/28,815.0
2016/1/29,815.0
2016/2/1,815.0
2016/2/2,810.0
2016/2/3,810.0
2016/2/4,810.0
2016/2/5,810.0
2016/2/15,825.0
2016/2/16,825.0
2016/2/17,825.0
2016/2/18,835.0
2016/2/19,835.0
2016/2/22,830.0
2016/2/23,830.0
2016/2/24,840.0
2016/2/25,850.0
2016/2/26,855.0
2016/2/29,855.0
2016/3/1,855.0
2016/3/2,855.0
2016/3/3,885.0
2016/3/4,885.0
2016/3/7,885.0
2016/3/8,900.0
2016/3/9,920.0
2016/3/10,920.0
2016/3/11,930.0
2016/3/14,950.0
2016/3/15,950.0
2016/3/16,965.0
2016/3/17,965.0
2016/3/18,965.0
2016/3/21,950.0
2016/3/22,950.0
2016/3/23,950.0
2016/3/24,980.0
2016/3/25,990.0
2016/3/28,990.0
2016/3/29,990.0
2016/3/30,995.0
2016/3/31,1000.0
2016/4/1,1000.0
2016/4/5,1000.0
2016/4/6,1000.0
2016/4/7,1000.0
2016/4/8,1000.0
2016/4/11,1000.0
2016/4/12,980.0
2016/4/13,980.0
2016/4/14,980.0
2016/4/15,980.0
2016/4/18,980.0
2016/4/19,970.0
2016/4/20,970.0
2016/4/21,970.0
2016/4/22,970.0
2016/4/25,960.0
2016/4/26,960.0
2016/4/27,960.0
2016/4/28,960.0
2016/4/29,960.0
2016/5/3,960.0
2016/5/4,960.0
2016/5/5,960.0
2016/5/6,960.0
2016/5/9,930.0
2016/5/10,930.0
2016/5/11,930.0
2016/5/12,930.0
2016/5/13,920.0
2016/5/16,920.0
2016/5/17,920.0
2016/5/18,920.0
2016/5/19,920.0
2016/5/20,920.0
2016/5/23,910.0
2016/5/24,910.0
2016/5/25,910.0
2016/5/26,910.0
2016/5/27,910.0
2016/5/30,905.0
2016/5/31,905.0
2016/6/1,905.0
2016/6/2,905.0
2016/6/3,905.0
2016/6/6,905.0
2016/6/7,905.0
2016/6/8,905.0
2016/6/13,910.0
2016/6/14,910.0
2016/6/15,910.0
2016/6/16,910.0
2016/6/17,910.0
2016/6/20,920.0
2016/6/21,930.0
2016/6/22,930.0
2016/6/23,940.0
2016/6/24,940.0
2016/6/27,950.0
2016/6/28,980.0
2016/6/29,980.0
2016/6/30,980.0
2016/7/1,980.0
2016/7/4,1010.0
2016/7/5,1010.0
2016/7/6,1010.0
2016/7/7,1010.0
2016/7/8,1010.0
2016/7/11,1000.0
2016/7/12,1000.0
2016/7/13,1000.0
2016/7/14,1000.0
2016/7/15,1000.0
2016/7/18,1000.0
2016/7/19,1000.0
2016/7/20,1000.0
2016/7/21,1000.0
2016/7/22,1000.0
2016/7/25,1050.0
2016/7/26,1050.0
2016/7/27,1050.0
2016/7/28,1050.0
2016/7/29,1030.0
2016/8/1,1030.0
2016/8/2,1030.0
2016/8/3,1030.0
2016/8/4,1030.0
2016/8/5,1015.0
2016/8/8,1015.0
2016/8/9,1015.0
2016/8/10,1015.0
2016/8/11,1015.0
2016/8/12,1000.0
2016/8/15,1000.0
2016/8/16,1000.0
2016/8/17,1000.0
2016/8/18,1000.0
2016/8/19,980.0
2016/8/22,980.0
2016/8/23,980.0
2016/8/24,980.0
2016/8/25,980.0
2016/8/26,990.0
2016/8/29,990.0
2016/8/30,990.0
2016/8/31,990.0
2016/9/1,990.0
2016/9/2,990.0
2016/9/5,990.0
2016/9/6,990.0
2016/9/7,990.0
2016/9/8,990.0
2016/9/9,990.0
2016/9/12,990.0
2016/9/13,990.0
2016/9/14,990.0
2016/9/19,990.0
2016/9/20,990.0
2016/9/21,990.0
2016/9/22,990.0
2016/9/23,990.0
2016/9/26,990.0
2016/9/27,990.0
2016/9/28,990.0
2016/9/29,990.0
2016/9/30,990.0
2016/10/10,980.0
2016/10/11,980.0
2016/10/12,980.0
2016/10/13,980.0
2016/10/14,1000.0
2016/10/17,1000.0
2016/10/18,1000.0
2016/10/19,1000.0
2016/10/20,1000.0
2016/10/21,1000.0
2016/10/24,1000.0
2016/10/25,1000.0
2016/10/26,1000.0
2016/10/27,1000.0
2016/10/28,1020.0
2016/10/31,1020.0
2016/11/1,1020.0
2016/11/2,1020.0
2016/11/3,1020.0
2016/11/4,1030.0
2016/11/7,1030.0
2016/11/8,1030.0
2016/11/9,1030.0
2016/11/10,1030.0
2016/11/11,1035.0
2016/11/14,1035.0
2016/11/15,1035.0
2016/11/16,1035.0
2016/11/17,1035.0
2016/11/18,1030.0
