dt,zc cfr
2018/7/6,47.63
2018/7/9,47.63
2018/7/10,47.63
2018/7/11,47.63
2018/7/12,47.63
2018/7/13,47.64
2018/7/16,47.64
2018/7/17,47.64
2018/7/18,47.64
2018/7/19,47.64
2018/7/20,47.48
2018/7/23,47.48
2018/7/24,47.48
2018/7/25,47.48
2018/7/26,47.48
2018/7/27,45.06
2018/7/30,45.06
2018/7/31,45.06
2018/8/1,45.06
2018/8/2,45.06
2018/8/3,42.0
2018/8/6,42.0
2018/8/7,42.0
2018/8/8,42.0
2018/8/9,42.0
2018/8/10,40.48
2018/8/13,40.48
2018/8/14,40.48
2018/8/15,40.48
2018/8/16,40.48
2018/8/17,39.74
2018/8/20,39.74
2018/8/21,39.74
2018/8/22,39.74
2018/8/23,38.09
2018/8/24,38.09
2018/8/27,38.09
2018/8/28,38.09
2018/8/29,38.09
2018/8/30,38.09
2018/8/31,37.72
2018/9/3,37.72
2018/9/4,37.72
2018/9/5,37.72
2018/9/6,37.72
2018/9/7,38.01
2018/9/10,38.01
2018/9/11,38.01
2018/9/12,38.01
2018/9/13,38.01
2018/9/14,38.39
2018/9/17,38.39
2018/9/18,38.39
2018/9/19,38.39
2018/9/20,38.39
2018/9/21,38.72
2018/9/24,38.72
2018/9/25,38.72
2018/9/26,38.72
2018/9/27,38.72
2018/9/28,38.56
2018/10/1,38.56
2018/10/2,38.56
2018/10/3,38.56
2018/10/4,38.56
2018/10/5,38.88
2018/10/8,38.88
2018/10/9,38.88
2018/10/10,38.88
2018/10/11,38.88
2018/10/12,38.43
2018/10/15,38.43
2018/10/16,38.43
2018/10/17,38.43
2018/10/18,38.43
2018/10/19,38.13
2018/10/22,38.13
2018/10/23,38.13
2018/10/24,38.13
2018/10/25,38.13
2018/10/26,37.31
2018/10/29,37.31
2018/10/30,37.31
2018/10/31,37.31
2018/11/1,37.31
2018/11/2,36.07
2018/11/5,36.07
2018/11/6,36.07
2018/11/7,36.07
2018/11/8,36.07
2018/11/9,34.64
2018/11/12,34.64
2018/11/13,34.64
2018/11/14,34.64
2018/11/15,34.64
2018/11/16,32.29
2018/11/19,32.29
2018/11/20,32.29
2018/11/21,32.29
2018/11/22,32.29
2018/11/23,29.87
2018/11/26,29.87
2018/11/27,29.87
2018/11/28,29.87
2018/11/29,29.87
2018/11/30,28.85
2018/12/3,28.85
2018/12/4,28.85
2018/12/5,28.85
2018/12/6,28.85
2018/12/7,29.56
2018/12/10,29.56
2018/12/11,29.56
2018/12/12,29.56
2018/12/13,29.56
2018/12/14,30.43
2018/12/17,30.43
2018/12/18,30.43
2018/12/19,30.43
2018/12/20,30.43
2018/12/21,30.54
2018/12/24,30.54
2018/12/25,30.54
2018/12/26,30.54
2018/12/27,30.54
2018/12/28,30.29
2018/12/29,30.29
2019/1/2,30.29
2019/1/3,30.29
2019/1/4,30.26
2019/1/7,30.26
2019/1/8,30.26
2019/1/9,30.26
2019/1/10,30.26
2019/1/11,31.0
2019/1/14,31.0
2019/1/15,31.0
2019/1/16,31.0
2019/1/17,31.0
2019/1/18,32.3
2019/1/21,32.3
2019/1/22,32.3
2019/1/23,32.3
2019/1/24,32.3
2019/1/25,33.51
2019/1/28,33.51
2019/1/29,33.51
2019/1/30,33.51
2019/1/31,33.51
2019/2/1,34.37
2019/2/2,34.37
2019/2/3,34.37
2019/2/8,34.45
2019/2/11,34.45
2019/2/12,34.45
2019/2/13,34.45
2019/2/14,34.45
2019/2/15,35.4
2019/2/18,35.4
2019/2/19,35.4
2019/2/20,35.4
2019/2/21,35.4
2019/2/22,37.01
2019/2/25,37.01
2019/2/26,37.01
2019/2/27,37.01
2019/2/28,37.01
2019/3/1,38.48
2019/3/4,38.48
2019/3/5,38.48
2019/3/6,38.48
2019/3/7,38.48
2019/3/8,40.32
2019/3/11,40.32
2019/3/12,40.32
2019/3/13,40.32
2019/3/14,40.32
2019/3/15,39.76
2019/3/18,39.76
2019/3/19,39.76
2019/3/20,39.76
2019/3/21,39.76
2019/3/22,37.8
2019/3/25,37.8
2019/3/26,37.8
2019/3/27,37.8
2019/3/28,37.8
2019/3/29,36.75
2019/4/1,36.75
2019/4/2,36.75
2019/4/3,36.75
2019/4/4,36.75
2019/4/8,37.3
2019/4/9,37.3
2019/4/10,37.3
2019/4/11,37.3
2019/4/12,37.49
2019/4/15,37.49
2019/4/16,37.49
2019/4/17,37.49
2019/4/18,37.49
2019/4/19,38.23
2019/4/22,38.23
2019/4/23,38.23
2019/4/24,38.23
2019/4/25,38.23
2019/4/26,38.44
2019/4/29,38.44
2019/4/30,38.44
2019/5/1,38.44
2019/5/2,38.44
2019/5/3,39.0
2019/5/6,39.0
2019/5/7,39.0
2019/5/8,39.0
2019/5/9,39.0
2019/5/10,39.15
2019/5/13,39.15
2019/5/14,39.15
2019/5/15,39.15
2019/5/16,39.15
2019/5/17,38.78
