dt,sm rmb
2015-7-1,9425.0
2015-7-2,9205.0
2015-7-3,9475.0
2015-7-6,9175.0
2015-7-7,8975.0
2015-7-8,8275.0
2015-7-9,9050.0
2015-7-10,9050.0
2015-7-13,8875.0
2015-7-14,8925.0
2015-7-15,8975.0
2015-7-16,9075.0
2015-7-17,9225.0
2015-7-20,9225.0
2015-7-21,9100.0
2015-7-22,9100.0
2015-7-23,8825.0
2015-7-24,8625.0
2015-7-27,8575.0
2015-7-28,8575.0
2015-7-29,8725.0
2015-7-30,8675.0
2015-7-31,8625.0
2015-8-3,8475.0
2015-8-4,8425.0
2015-8-5,8475.0
2015-8-6,8150.0
2015-8-7,8175.0
2015-8-10,8225.0
2015-8-11,8375.0
2015-8-12,8475.0
2015-8-13,8425.0
2015-8-14,8325.0
2015-8-17,8150.0
2015-8-18,7950.0
2015-8-19,7925.0
2015-8-20,7550.0
2015-8-21,7150.0
2015-8-24,6700.0
2015-8-25,6950.0
2015-8-26,7050.0
2015-8-27,7350.0
2015-8-28,7450.0
2015-8-31,7300.0
2015-9-1,7300.0
2015-9-2,7200.0
2015-9-3,7200.0
2015-9-4,7200.0
2015-9-7,7300.0
2015-9-8,7300.0
2015-9-9,7325.0
2015-9-10,7180.0
2015-9-11,7050.0
2015-9-14,7030.0
2015-9-15,7075.0
2015-9-16,7075.0
2015-9-17,7125.0
2015-9-18,7175.0
2015-9-21,7300.0
2015-9-22,7225.0
2015-9-23,7175.0
2015-9-24,7160.0
2015-9-25,7180.0
2015-9-28,7070.0
2015-9-29,7000.0
2015-9-30,7050.0
2015-10-1,7050.0
2015-10-2,7050.0
2015-10-5,7050.0
2015-10-6,7050.0
2015-10-7,7050.0
2015-10-8,7025.0
2015-10-9,7180.0
2015-10-12,7270.0
2015-10-13,7220.0
2015-10-14,7150.0
2015-10-15,7120.0
2015-10-16,7190.0
2015-10-19,7280.0
2015-10-20,7200.0
2015-10-21,7220.0
2015-10-22,7200.0
2015-10-23,7220.0
2015-10-26,7220.0
2015-10-27,7070.0
2015-10-28,7020.0
2015-10-29,7100.0
2015-10-30,7070.0
2015-11-2,7020.0
2015-11-3,7080.0
2015-11-4,7020.0
2015-11-5,6970.0
2015-11-6,6970.0
2015-11-9,7020.0
2015-11-10,7020.0
2015-11-11,7070.0
2015-11-12,7020.0
2015-11-13,7020.0
2015-11-16,7020.0
2015-11-17,7100.0
2015-11-18,7070.0
2015-11-19,7050.0
2015-11-20,7030.0
2015-11-23,6750.0
2015-11-24,6750.0
2015-11-25,6720.0
2015-11-26,6800.0
2015-11-27,6750.0
2015-11-30,6690.0
2015-12-1,6700.0
2015-12-2,6800.0
2015-12-3,6850.0
2015-12-4,6950.0
2015-12-7,6970.0
2015-12-8,6950.0
2015-12-9,6950.0
2015-12-10,6875.0
2015-12-11,6850.0
2015-12-14,6770.0
2015-12-15,6810.0
2015-12-16,6850.0
2015-12-17,6830.0
2015-12-18,6800.0
2015-12-21,6870.0
2015-12-22,6940.0
2015-12-23,6950.0
2015-12-24,6990.0
2015-12-25,7200.0
2015-12-28,7125.0
2015-12-29,7170.0
2015-12-30,7220.0
2015-12-31,7220.0
2016-1-1,7220.0
2016-1-4,7280.0
2016-1-5,7490.0
2016-1-6,7470.0
2016-1-7,7400.0
2016-1-8,7480.0
2016-1-11,7380.0
2016-1-12,7270.0
2016-1-13,7260.0
2016-1-14,7300.0
2016-1-15,7300.0
2016-1-18,7180.0
2016-1-19,7190.0
2016-1-20,7150.0
2016-1-21,6980.0
2016-1-22,7090.0
2016-1-25,7220.0
2016-1-26,7180.0
2016-1-27,7230.0
2016-1-28,7350.0
2016-1-29,7380.0
2016-2-1,7470.0
2016-2-2,7480.0
2016-2-3,7440.0
2016-2-4,7440.0
2016-2-5,7440.0
2016-2-8,7440.0
2016-2-9,7440.0
2016-2-10,7440.0
2016-2-11,7440.0
2016-2-12,7440.0
2016-2-15,7480.0
2016-2-16,7510.0
2016-2-17,7625.0
2016-2-18,7800.0
2016-2-19,7800.0
2016-2-22,8050.0
2016-2-23,8025.0
2016-2-24,7900.0
2016-2-25,7925.0
2016-2-26,8050.0
2016-2-29,8280.0
2016-3-1,8400.0
2016-3-2,8500.0
2016-3-3,8700.0
