dt,YDF rmb
2014/3/21,655.0
2014/3/24,655.0
2014/3/25,655.0
2014/3/26,660.0
2014/3/27,665.0
2014/3/28,665.0
2014/3/31,665.0
2014/4/1,680.0
2014/4/2,700.0
2014/4/3,690.0
2014/4/4,685.0
2014/4/8,695.0
2014/4/9,715.0
2014/4/10,725.0
2014/4/11,725.0
2014/4/14,725.0
2014/4/15,720.0
2014/4/16,715.0
2014/4/17,705.0
2014/4/18,705.0
2014/4/21,695.0
2014/4/22,690.0
2014/4/23,680.0
2014/4/24,675.0
2014/4/25,675.0
2014/4/28,675.0
2014/4/29,665.0
2014/4/30,655.0
2014/5/5,655.0
2014/5/6,650.0
2014/5/7,645.0
2014/5/8,645.0
2014/5/9,640.0
2014/5/12,640.0
2014/5/13,630.0
2014/5/14,630.0
2014/5/15,630.0
2014/5/16,625.0
2014/5/19,625.0
2014/5/20,615.0
2014/5/21,610.0
2014/5/22,610.0
2014/5/23,610.0
2014/5/26,600.0
2014/5/27,595.0
2014/5/28,590.0
2014/5/29,590.0
2014/5/30,585.0
2014/6/3,575.0
2014/6/4,565.0
2014/6/5,565.0
2014/6/6,565.0
2014/6/9,565.0
2014/6/10,565.0
2014/6/11,565.0
2014/6/12,560.0
2014/6/13,550.0
2014/6/16,540.0
2014/6/17,540.0
2014/6/18,535.0
2014/6/19,535.0
2014/6/20,535.0
2014/6/23,535.0
2014/6/24,545.0
2014/6/25,545.0
2014/6/26,545.0
2014/6/27,555.0
2014/6/30,555.0
2014/7/1,550.0
2014/7/2,545.0
2014/7/3,545.0
2014/7/4,560.0
2014/7/7,560.0
2014/7/8,560.0
2014/7/9,560.0
2014/7/10,560.0
2014/7/11,560.0
2014/7/14,560.0
2014/7/15,565.0
2014/7/16,565.0
2014/7/17,570.0
2014/7/18,570.0
2014/7/21,565.0
2014/7/22,560.0
2014/7/23,555.0
2014/7/24,550.0
2014/7/25,545.0
2014/7/28,545.0
2014/7/29,550.0
2014/7/30,555.0
2014/7/31,555.0
2014/8/1,555.0
2014/8/4,555.0
2014/8/5,555.0
2014/8/6,560.0
2014/8/7,560.0
2014/8/8,560.0
2014/8/11,560.0
2014/8/12,560.0
2014/8/13,555.0
2014/8/14,545.0
2014/8/15,540.0
2014/8/18,540.0
2014/8/19,540.0
2014/8/20,540.0
2014/8/21,540.0
2014/8/22,535.0
2014/8/25,535.0
2014/8/26,530.0
2014/8/27,530.0
2014/8/28,530.0
2014/8/29,525.0
2014/9/1,525.0
2014/9/2,525.0
2014/9/3,525.0
2014/9/4,520.0
2014/9/5,520.0
2014/9/9,510.0
2014/9/10,510.0
2014/9/11,505.0
2014/9/12,500.0
2014/9/15,505.0
2014/9/16,515.0
2014/9/17,515.0
2014/9/18,515.0
2014/9/19,515.0
2014/9/22,510.0
2014/9/23,505.0
2014/9/24,500.0
2014/9/25,495.0
2014/9/26,490.0
2014/9/29,490.0
2014/9/30,490.0
2014/10/8,500.0
2014/10/9,495.0
2014/10/10,495.0
2014/10/13,500.0
2014/10/14,510.0
2014/10/15,510.0
2014/10/16,510.0
2014/10/17,505.0
2014/10/20,500.0
2014/10/21,500.0
2014/10/22,500.0
2014/10/23,500.0
2014/10/24,495.0
2014/10/27,495.0
2014/10/28,490.0
2014/10/29,490.0
2014/10/30,490.0
2014/10/31,485.0
2014/11/3,485.0
2014/11/4,485.0
2014/11/5,480.0
2014/11/6,480.0
2014/11/7,480.0
2014/11/10,480.0
2014/11/11,475.0
2014/11/12,475.0
2014/11/13,475.0
2014/11/14,475.0
2014/11/17,475.0
2014/11/18,475.0
2014/11/19,475.0
2014/11/20,470.0
2014/11/21,470.0
2014/11/24,465.0
2014/11/25,460.0
2014/11/26,455.0
2014/11/27,445.0
2014/11/28,450.0
2014/12/1,450.0
2014/12/2,450.0
2014/12/3,450.0
2014/12/4,445.0
2014/12/5,450.0
2014/12/8,450.0
2014/12/9,450.0
2014/12/10,445.0
2014/12/11,440.0
2014/12/12,440.0
2014/12/15,440.0
2014/12/16,440.0
2014/12/17,440.0
2014/12/18,435.0
2014/12/19,435.0
2014/12/22,435.0
2014/12/23,435.0
2014/12/24,430.0
2014/12/25,430.0
2014/12/26,430.0
2014/12/29,430.0
2014/12/30,435.0
2014/12/31,445.0
2015/1/5,445.0
2015/1/6,445.0
2015/1/7,450.0
2015/1/8,450.0
2015/1/9,450.0
2015/1/12,445.0
2015/1/13,440.0
2015/1/14,435.0
2015/1/15,430.0
2015/1/16,430.0
2015/1/19,430.0
2015/1/20,430.0
2015/1/21,430.0
2015/1/22,425.0
2015/1/23,420.0
2015/1/26,420.0
2015/1/27,415.0
2015/1/28,410.0
2015/1/29,410.0
2015/1/30,410.0
2015/2/2,410.0
2015/2/3,410.0
2015/2/4,410.0
2015/2/5,410.0
2015/2/6,410.0
2015/2/9,410.0
2015/2/10,410.0
2015/2/11,410.0
2015/2/12,410.0
2015/2/13,405.0
2015/2/16,405.0
2015/2/17,405.0
2015/2/25,405.0
2015/2/26,405.0
2015/2/27,405.0
2015/3/2,405.0
2015/3/3,405.0
2015/3/4,405.0
2015/3/5,405.0
2015/3/6,400.0
2015/3/9,395.0
2015/3/10,390.0
2015/3/11,380.0
2015/3/12,380.0
2015/3/13,380.0
2015/3/16,380.0
2015/3/17,370.0
2015/3/18,370.0
2015/3/19,370.0
2015/3/20,370.0
2015/3/23,370.0
2015/3/24,370.0
2015/3/25,370.0
2015/3/26,370.0
2015/3/27,370.0
2015/3/30,370.0
2015/3/31,360.0
2015/4/1,355.0
2015/4/2,345.0
2015/4/3,340.0
2015/4/7,330.0
2015/4/8,330.0
2015/4/9,330.0
2015/4/10,325.0
2015/4/13,325.0
2015/4/14,325.0
2015/4/15,335.0
2015/4/16,340.0
2015/4/17,340.0
2015/4/20,340.0
2015/4/21,340.0
2015/4/22,340.0
2015/4/23,345.0
2015/4/24,350.0
2015/4/27,360.0
2015/4/28,380.0
2015/4/29,380.0
2015/4/30,375.0
2015/5/4,370.0
2015/5/5,375.0
2015/5/6,385.0
2015/5/7,390.0
2015/5/8,395.0
2015/5/11,395.0
2015/5/12,405.0
2015/5/13,405.0
2015/5/14,405.0
2015/5/15,400.0
2015/5/18,400.0
2015/5/19,400.0
2015/5/20,400.0
2015/5/21,390.0
2015/5/22,395.0
2015/5/25,395.0
2015/5/26,400.0
2015/5/27,410.0
2015/5/28,410.0
2015/5/29,405.0
2015/6/1,405.0
2015/6/2,410.0
2015/6/3,415.0
2015/6/4,415.0
2015/6/5,415.0
2015/6/8,415.0
2015/6/9,415.0
2015/6/10,415.0
2015/6/11,425.0
2015/6/12,425.0
2015/6/15,425.0
2015/6/16,430.0
2015/6/17,435.0
2015/6/18,430.0
2015/6/19,425.0
2015/6/23,425.0
2015/6/24,425.0
2015/6/25,425.0
2015/6/26,425.0
2015/6/29,425.0
2015/6/30,425.0
2015/7/1,420.0
2015/7/2,415.0
2015/7/3,410.0
2015/7/6,405.0
2015/7/7,395.0
2015/7/8,380.0
2015/7/9,355.0
2015/7/10,370.0
2015/7/13,370.0
2015/7/14,370.0
2015/7/15,370.0
2015/7/16,370.0
2015/7/17,370.0
2015/7/20,365.0
2015/7/21,380.0
2015/7/22,380.0
2015/7/23,380.0
2015/7/24,380.0
2015/7/27,380.0
2015/7/28,380.0
2015/7/29,380.0
2015/7/30,390.0
2015/7/31,395.0
2015/8/3,395.0
2015/8/4,405.0
2015/8/5,405.0
2015/8/6,405.0
2015/8/7,405.0
2015/8/10,400.0
2015/8/11,400.0
2015/8/12,400.0
2015/8/13,400.0
2015/8/14,405.0
2015/8/17,405.0
2015/8/18,405.0
2015/8/19,405.0
2015/8/20,405.0
2015/8/21,400.0
2015/8/24,400.0
2015/8/25,395.0
2015/8/26,395.0
2015/8/27,395.0
2015/8/28,395.0
2015/8/31,395.0
2015/9/1,400.0
2015/9/2,405.0
2015/9/7,405.0
2015/9/8,405.0
2015/9/9,405.0
2015/9/10,415.0
2015/9/11,415.0
2015/9/14,415.0
2015/9/15,415.0
2015/9/16,410.0
2015/9/17,405.0
2015/9/18,405.0
2015/9/21,405.0
2015/9/22,405.0
2015/9/23,405.0
2015/9/24,395.0
2015/9/25,390.0
2015/9/28,390.0
2015/9/29,390.0
2015/9/30,390.0
2015/10/8,390.0
2015/10/9,390.0
2015/10/12,390.0
2015/10/13,395.0
2015/10/14,390.0
2015/10/15,390.0
2015/10/16,390.0
2015/10/19,385.0
2015/10/20,385.0
2015/10/21,385.0
2015/10/22,380.0
2015/10/23,375.0
2015/10/26,375.0
2015/10/27,375.0
2015/10/28,365.0
2015/10/29,365.0
2015/10/30,360.0
2015/11/2,360.0
2015/11/3,360.0
2015/11/4,350.0
2015/11/5,345.0
2015/11/6,345.0
2015/11/9,335.0
2015/11/10,330.0
2015/11/11,330.0
2015/11/12,330.0
2015/11/13,330.0
2015/11/16,330.0
2015/11/17,325.0
2015/11/18,325.0
2015/11/19,320.0
2015/11/20,315.0
2015/11/23,315.0
2015/11/24,310.0
2015/11/25,310.0
2015/11/26,305.0
2015/11/27,305.0
2015/11/30,305.0
2015/12/1,300.0
2015/12/2,295.0
2015/12/3,290.0
2015/12/4,290.0
2015/12/7,285.0
2015/12/8,285.0
2015/12/9,285.0
2015/12/10,280.0
2015/12/11,275.0
2015/12/14,275.0
2015/12/15,275.0
2015/12/16,280.0
2015/12/17,280.0
