dt,NHGF rmb
2014/3/17,730.0
2014/3/18,730.0
2014/3/19,730.0
2014/3/20,725.0
2014/3/21,720.0
2014/3/24,720.0
2014/3/25,725.0
2014/3/26,735.0
2014/3/27,740.0
2014/3/28,740.0
2014/3/31,740.0
2014/4/1,755.0
2014/4/2,775.0
2014/4/3,770.0
2014/4/4,765.0
2014/4/8,775.0
2014/4/9,795.0
2014/4/10,805.0
2014/4/11,805.0
2014/4/14,805.0
2014/4/15,800.0
2014/4/16,795.0
2014/4/17,785.0
2014/4/18,785.0
2014/4/21,775.0
2014/4/22,770.0
2014/4/23,760.0
2014/4/24,755.0
2014/4/25,755.0
2014/4/28,755.0
2014/4/29,745.0
2014/4/30,735.0
2014/5/5,730.0
2014/5/6,730.0
2014/5/7,725.0
2014/5/8,720.0
2014/5/9,715.0
2014/5/12,715.0
2014/5/13,705.0
2014/5/14,705.0
2014/5/15,705.0
2014/5/16,705.0
2014/5/19,705.0
2014/5/20,695.0
2014/5/21,690.0
2014/5/22,685.0
2014/5/23,685.0
2014/5/26,685.0
2014/5/27,685.0
2014/5/28,680.0
2014/5/29,675.0
2014/5/30,675.0
2014/6/3,665.0
2014/6/4,660.0
2014/6/5,655.0
2014/6/6,655.0
2014/6/9,655.0
2014/6/10,655.0
2014/6/11,650.0
2014/6/12,645.0
2014/6/13,635.0
2014/6/16,615.0
2014/6/17,615.0
2014/6/18,610.0
2014/6/19,610.0
2014/6/20,610.0
2014/6/23,610.0
2014/6/24,620.0
2014/6/25,625.0
2014/6/26,630.0
2014/6/27,640.0
2014/6/30,640.0
2014/7/1,635.0
2014/7/2,630.0
2014/7/3,635.0
2014/7/4,650.0
2014/7/7,655.0
2014/7/8,655.0
2014/7/9,655.0
2014/7/10,655.0
2014/7/11,655.0
2014/7/14,660.0
2014/7/15,665.0
2014/7/16,665.0
2014/7/17,670.0
2014/7/18,670.0
2014/7/21,665.0
2014/7/22,655.0
2014/7/23,650.0
2014/7/24,650.0
2014/7/25,645.0
2014/7/28,645.0
2014/7/29,645.0
2014/7/30,650.0
2014/7/31,650.0
2014/8/1,650.0
2014/8/4,650.0
2014/8/5,650.0
2014/8/6,655.0
2014/8/7,655.0
2014/8/8,655.0
2014/8/11,655.0
2014/8/12,650.0
2014/8/13,645.0
2014/8/14,640.0
2014/8/15,635.0
2014/8/18,635.0
2014/8/19,630.0
2014/8/20,625.0
2014/8/21,625.0
2014/8/22,620.0
2014/8/25,615.0
2014/8/26,610.0
2014/8/27,610.0
2014/8/28,610.0
2014/8/29,605.0
2014/9/1,605.0
2014/9/2,605.0
2014/9/3,605.0
2014/9/4,595.0
2014/9/5,590.0
2014/9/9,580.0
2014/9/10,580.0
2014/9/11,575.0
2014/9/12,570.0
2014/9/15,575.0
2014/9/16,595.0
2014/9/17,595.0
2014/9/18,590.0
2014/9/19,590.0
2014/9/22,585.0
2014/9/23,575.0
2014/9/24,575.0
2014/9/25,570.0
2014/9/26,570.0
2014/9/29,570.0
2014/9/30,570.0
2014/10/8,580.0
2014/10/9,575.0
2014/10/10,575.0
2014/10/13,580.0
2014/10/14,590.0
2014/10/15,590.0
2014/10/16,590.0
2014/10/17,585.0
2014/10/20,580.0
2014/10/21,580.0
2014/10/22,580.0
2014/10/23,575.0
2014/10/24,570.0
2014/10/27,570.0
2014/10/28,565.0
2014/10/29,560.0
2014/10/30,555.0
2014/10/31,550.0
2014/11/3,550.0
2014/11/4,545.0
2014/11/5,540.0
2014/11/6,535.0
2014/11/7,530.0
2014/11/10,530.0
2014/11/11,525.0
2014/11/12,525.0
2014/11/13,525.0
2014/11/14,525.0
2014/11/17,525.0
2014/11/18,525.0
2014/11/19,525.0
2014/11/20,515.0
2014/11/21,510.0
2014/11/24,510.0
2014/11/25,510.0
2014/11/26,505.0
2014/11/27,495.0
2014/11/28,505.0
2014/12/1,505.0
2014/12/2,505.0
2014/12/3,505.0
2014/12/4,500.0
2014/12/5,505.0
2014/12/8,505.0
2014/12/9,505.0
2014/12/10,500.0
2014/12/11,500.0
2014/12/12,500.0
2014/12/15,500.0
2014/12/16,500.0
2014/12/17,495.0
2014/12/18,490.0
2014/12/19,490.0
2014/12/22,490.0
2014/12/23,490.0
2014/12/24,480.0
2014/12/25,480.0
2014/12/26,480.0
2014/12/29,480.0
2014/12/30,490.0
2014/12/31,505.0
2015/1/5,505.0
2015/1/6,505.0
2015/1/7,515.0
2015/1/8,515.0
2015/1/9,515.0
2015/1/12,510.0
2015/1/13,505.0
2015/1/14,500.0
2015/1/15,495.0
2015/1/16,495.0
2015/1/19,495.0
2015/1/20,495.0
2015/1/21,490.0
2015/1/22,490.0
2015/1/23,480.0
2015/1/26,480.0
2015/1/27,480.0
2015/1/28,475.0
2015/1/29,470.0
2015/1/30,470.0
2015/2/2,470.0
2015/2/3,475.0
2015/2/4,475.0
2015/2/5,475.0
