dt,MACF rmb
2013/1/4,1020.0
2013/1/7,1065.0
2013/1/8,1065.0
2013/1/9,1075.0
2013/1/10,1075.0
2013/1/11,1065.0
2013/1/14,1055.0
2013/1/15,1045.0
2013/1/16,1035.0
2013/1/17,1020.0
2013/1/18,995.0
2013/1/21,995.0
2013/1/22,1005.0
2013/1/23,1010.0
2013/1/24,1015.0
2013/1/25,1020.0
2013/1/28,1020.0
2013/1/29,1020.0
2013/1/30,1020.0
2013/1/31,1020.0
2013/2/1,1020.0
2013/2/4,1020.0
2013/2/5,1035.0
2013/2/6,1035.0
2013/2/7,1035.0
2013/2/8,1035.0
2013/2/18,1055.0
2013/2/19,1065.0
2013/2/20,1075.0
2013/2/21,1075.0
2013/2/22,1065.0
2013/2/25,1055.0
2013/2/26,1045.0
2013/2/27,1040.0
2013/2/28,1040.0
2013/3/1,1035.0
2013/3/4,1035.0
2013/3/5,1030.0
2013/3/6,1020.0
2013/3/7,1020.0
2013/3/8,1020.0
2013/3/11,1020.0
2013/3/12,1015.0
2013/3/13,1005.0
2013/3/14,995.0
2013/3/15,955.0
2013/3/18,955.0
2013/3/19,935.0
2013/3/20,930.0
2013/3/21,930.0
2013/3/22,930.0
2013/3/25,935.0
2013/3/26,935.0
2013/3/27,945.0
2013/3/28,955.0
2013/3/29,950.0
2013/4/1,945.0
2013/4/2,940.0
2013/4/3,940.0
2013/4/8,945.0
2013/4/9,955.0
2013/4/10,965.0
2013/4/11,975.0
2013/4/12,975.0
2013/4/15,975.0
2013/4/16,975.0
2013/4/17,965.0
2013/4/18,965.0
2013/4/19,965.0
2013/4/22,955.0
2013/4/23,950.0
2013/4/24,945.0
2013/4/25,945.0
2013/4/26,940.0
2013/5/2,930.0
2013/5/3,925.0
2013/5/6,915.0
2013/5/7,915.0
2013/5/8,915.0
2013/5/9,915.0
2013/5/10,915.0
2013/5/13,915.0
2013/5/14,905.0
2013/5/15,900.0
2013/5/16,895.0
2013/5/17,885.0
2013/5/20,880.0
2013/5/21,870.0
2013/5/22,870.0
2013/5/23,865.0
2013/5/24,865.0
2013/5/27,865.0
2013/5/28,850.0
2013/5/29,835.0
2013/5/30,825.0
2013/5/31,785.0
2013/6/3,785.0
2013/6/4,795.0
2013/6/5,810.0
2013/6/6,815.0
2013/6/7,805.0
2013/6/13,785.0
2013/6/14,795.0
2013/6/17,805.0
2013/6/18,820.0
2013/6/19,830.0
2013/6/20,845.0
2013/6/21,845.0
2013/6/24,835.0
2013/6/25,825.0
2013/6/26,815.0
2013/6/27,810.0
2013/6/28,815.0
2013/7/1,825.0
2013/7/2,830.0
2013/7/3,835.0
2013/7/4,845.0
2013/7/5,845.0
2013/7/8,845.0
2013/7/9,845.0
2013/7/10,845.0
2013/7/11,845.0
2013/7/12,855.0
2013/7/15,860.0
2013/7/16,865.0
2013/7/17,865.0
2013/7/18,870.0
2013/7/19,880.0
2013/7/22,875.0
2013/7/23,875.0
2013/7/24,875.0
2013/7/25,885.0
2013/7/26,885.0
2013/7/29,885.0
2013/7/30,880.0
2013/7/31,880.0
2013/8/1,875.0
2013/8/2,875.0
2013/8/5,875.0
2013/8/6,880.0
2013/8/7,885.0
2013/8/8,895.0
2013/8/9,895.0
2013/8/12,900.0
2013/8/13,910.0
2013/8/14,930.0
2013/8/15,945.0
2013/8/16,940.0
2013/8/19,930.0
2013/8/20,930.0
2013/8/21,930.0
2013/8/22,925.0
2013/8/23,920.0
2013/8/26,920.0
2013/8/27,925.0
2013/8/28,925.0
2013/8/29,930.0
2013/8/30,930.0
2013/9/2,925.0
2013/9/3,935.0
2013/9/4,935.0
2013/9/5,935.0
2013/9/6,930.0
2013/9/9,930.0
2013/9/10,930.0
2013/9/11,930.0
2013/9/12,930.0
2013/9/13,925.0
2013/9/16,925.0
2013/9/17,920.0
2013/9/18,915.0
2013/9/23,915.0
2013/9/24,915.0
2013/9/25,915.0
2013/9/26,910.0
2013/9/27,905.0
2013/9/30,905.0
2013/10/8,905.0
2013/10/9,900.0
2013/10/10,900.0
2013/10/11,905.0
2013/10/14,910.0
2013/10/15,910.0
2013/10/16,910.0
2013/10/17,910.0
2013/10/18,910.0
2013/10/21,910.0
2013/10/22,910.0
2013/10/23,910.0
2013/10/24,910.0
2013/10/25,905.0
2013/10/28,900.0
2013/10/29,900.0
2013/10/30,895.0
2013/10/31,895.0
2013/11/1,895.0
2013/11/4,900.0
2013/11/5,910.0
2013/11/6,910.0
2013/11/7,915.0
2013/11/8,915.0
2013/11/11,915.0
2013/11/12,910.0
2013/11/13,910.0
2013/11/14,910.0
2013/11/15,910.0
2013/11/18,910.0
2013/11/19,905.0
2013/11/20,900.0
2013/11/21,900.0
2013/11/22,900.0
