dt,MACF rmb
2013/11/25,900.0
2013/11/26,900.0
2013/11/27,900.0
2013/11/28,900.0
2013/11/29,905.0
2013/12/2,905.0
2013/12/3,905.0
2013/12/4,905.0
2013/12/5,905.0
2013/12/6,905.0
2013/12/9,905.0
2013/12/10,905.0
2013/12/11,905.0
2013/12/12,900.0
2013/12/13,900.0
2013/12/16,900.0
2013/12/17,895.0
2013/12/18,895.0
2013/12/19,890.0
2013/12/20,885.0
2013/12/23,885.0
2013/12/24,880.0
2013/12/25,875.0
2013/12/26,875.0
2013/12/27,875.0
2013/12/30,875.0
2013/12/31,875.0
2014/1/2,880.0
2014/1/3,885.0
2014/1/6,890.0
2014/1/7,890.0
2014/1/8,890.0
2014/1/9,885.0
2014/1/10,885.0
2014/1/13,885.0
2014/1/14,885.0
2014/1/15,875.0
2014/1/16,870.0
2014/1/17,865.0
2014/1/20,860.0
2014/1/21,850.0
2014/1/22,845.0
2014/1/23,835.0
2014/1/24,835.0
2014/1/27,845.0
2014/1/28,845.0
2014/1/29,840.0
2014/1/30,840.0
2014/2/7,840.0
2014/2/10,830.0
2014/2/11,830.0
2014/2/12,820.0
2014/2/13,820.0
2014/2/14,825.0
2014/2/17,825.0
2014/2/18,825.0
2014/2/19,825.0
2014/2/20,825.0
2014/2/21,820.0
2014/2/24,815.0
2014/2/25,810.0
2014/2/26,795.0
2014/2/27,785.0
2014/2/28,785.0
2014/3/3,785.0
2014/3/4,780.0
2014/3/5,775.0
2014/3/6,755.0
2014/3/7,750.0
2014/3/10,740.0
2014/3/11,710.0
2014/3/12,695.0
2014/3/13,695.0
2014/3/14,705.0
2014/3/17,710.0
2014/3/18,710.0
2014/3/19,710.0
2014/3/20,705.0
2014/3/21,700.0
2014/3/24,700.0
2014/3/25,705.0
2014/3/26,715.0
2014/3/27,720.0
2014/3/28,720.0
2014/3/31,720.0
2014/4/1,735.0
2014/4/2,755.0
2014/4/3,750.0
2014/4/4,745.0
2014/4/8,755.0
2014/4/9,775.0
2014/4/10,785.0
2014/4/11,785.0
2014/4/14,785.0
2014/4/15,780.0
2014/4/16,775.0
2014/4/17,765.0
2014/4/18,765.0
2014/4/21,755.0
2014/4/22,750.0
2014/4/23,740.0
2014/4/24,735.0
2014/4/25,735.0
2014/4/28,735.0
2014/4/29,725.0
2014/4/30,715.0
2014/5/5,710.0
2014/5/6,710.0
2014/5/7,705.0
2014/5/8,700.0
2014/5/9,695.0
2014/5/12,695.0
2014/5/13,685.0
2014/5/14,685.0
2014/5/15,685.0
2014/5/16,685.0
2014/5/19,685.0
2014/5/20,675.0
2014/5/21,670.0
2014/5/22,665.0
2014/5/23,665.0
2014/5/26,665.0
2014/5/27,665.0
2014/5/28,660.0
2014/5/29,655.0
2014/5/30,655.0
2014/6/3,645.0
2014/6/4,640.0
2014/6/5,635.0
2014/6/6,635.0
2014/6/9,635.0
2014/6/10,635.0
2014/6/11,630.0
2014/6/12,625.0
2014/6/13,615.0
2014/6/16,595.0
2014/6/17,595.0
2014/6/18,590.0
2014/6/19,590.0
2014/6/20,590.0
2014/6/23,590.0
2014/6/24,600.0
2014/6/25,605.0
2014/6/26,610.0
2014/6/27,620.0
2014/6/30,620.0
2014/7/1,615.0
2014/7/2,610.0
2014/7/3,615.0
2014/7/4,630.0
2014/7/7,635.0
2014/7/8,635.0
2014/7/9,635.0
2014/7/10,635.0
2014/7/11,635.0
2014/7/14,640.0
2014/7/15,645.0
2014/7/16,645.0
2014/7/17,650.0
2014/7/18,650.0
2014/7/21,645.0
2014/7/22,635.0
2014/7/23,630.0
2014/7/24,630.0
2014/7/25,625.0
2014/7/28,625.0
2014/7/29,625.0
2014/7/30,630.0
2014/7/31,630.0
2014/8/1,630.0
2014/8/4,630.0
2014/8/5,630.0
2014/8/6,635.0
2014/8/7,635.0
2014/8/8,635.0
2014/8/11,635.0
2014/8/12,630.0
2014/8/13,625.0
2014/8/14,620.0
2014/8/15,615.0
2014/8/18,615.0
2014/8/19,610.0
2014/8/20,610.0
2014/8/21,610.0
2014/8/22,605.0
2014/8/25,600.0
2014/8/26,595.0
2014/8/27,595.0
2014/8/28,595.0
2014/8/29,590.0
2014/9/1,590.0
2014/9/2,590.0
2014/9/3,590.0
2014/9/4,580.0
2014/9/5,575.0
2014/9/9,565.0
2014/9/10,565.0
2014/9/11,560.0
2014/9/12,555.0
2014/9/15,560.0
2014/9/16,580.0
2014/9/17,580.0
2014/9/18,575.0
2014/9/19,575.0
2014/9/22,570.0
2014/9/23,560.0
2014/9/24,560.0
2014/9/25,555.0
2014/9/26,555.0
2014/9/29,555.0
2014/9/30,555.0
2014/10/8,565.0
2014/10/9,560.0
2014/10/10,560.0
2014/10/13,565.0
2014/10/14,575.0
2014/10/15,575.0
2014/10/16,575.0
2014/10/17,570.0
2014/10/20,565.0
2014/10/21,565.0
2014/10/22,565.0
2014/10/23,560.0
2014/10/24,555.0
2014/10/27,555.0
2014/10/28,550.0
2014/10/29,545.0
2014/10/30,540.0
2014/10/31,535.0
2014/11/3,535.0
2014/11/4,530.0
2014/11/5,525.0
2014/11/6,520.0
2014/11/7,515.0
2014/11/10,515.0
2014/11/11,510.0
2014/11/12,510.0
2014/11/13,510.0
2014/11/14,510.0
2014/11/17,510.0
2014/11/18,510.0
2014/11/19,510.0
2014/11/20,500.0
2014/11/21,495.0
2014/11/24,495.0
2014/11/25,495.0
2014/11/26,490.0
2014/11/27,480.0
2014/11/28,490.0
2014/12/1,490.0
2014/12/2,490.0
2014/12/3,490.0
2014/12/4,485.0
2014/12/5,490.0
2014/12/8,490.0
2014/12/9,490.0
2014/12/10,485.0
2014/12/11,485.0
2014/12/12,485.0
2014/12/15,485.0
2014/12/16,485.0
2014/12/17,480.0
2014/12/18,475.0
2014/12/19,475.0
2014/12/22,475.0
2014/12/23,475.0
2014/12/24,465.0
2014/12/25,460.0
2014/12/26,460.0
2014/12/29,460.0
2014/12/30,470.0
2014/12/31,485.0
2015/1/5,485.0
2015/1/6,485.0
2015/1/7,495.0
2015/1/8,495.0
2015/1/9,495.0
2015/1/12,490.0
2015/1/13,485.0
2015/1/14,480.0
2015/1/15,475.0
2015/1/16,475.0
2015/1/19,475.0
2015/1/20,475.0
2015/1/21,470.0
2015/1/22,470.0
2015/1/23,460.0
2015/1/26,460.0
2015/1/27,460.0
2015/1/28,455.0
2015/1/29,450.0
2015/1/30,450.0
2015/2/2,450.0
2015/2/3,455.0
2015/2/4,455.0
2015/2/5,455.0
2015/2/6,455.0
2015/2/9,455.0
2015/2/10,450.0
2015/2/11,450.0
2015/2/12,450.0
2015/2/13,450.0
2015/2/16,450.0
2015/2/17,450.0
2015/2/25,450.0
2015/2/26,450.0
2015/2/27,450.0
2015/3/2,450.0
2015/3/3,450.0
2015/3/4,450.0
2015/3/5,445.0
2015/3/6,440.0
2015/3/9,435.0
2015/3/10,430.0
2015/3/11,425.0
2015/3/12,425.0
2015/3/13,425.0
2015/3/16,425.0
2015/3/17,420.0
2015/3/18,420.0
2015/3/19,415.0
2015/3/20,410.0
2015/3/23,405.0
2015/3/24,400.0
2015/3/25,400.0
2015/3/26,400.0
2015/3/27,400.0
2015/3/30,400.0
2015/3/31,385.0
2015/4/1,380.0
2015/4/2,370.0
2015/4/3,360.0
2015/4/7,355.0
2015/4/8,355.0
2015/4/9,355.0
2015/4/10,355.0
2015/4/13,355.0
2015/4/14,355.0
2015/4/15,360.0
2015/4/16,365.0
2015/4/17,365.0
2015/4/20,365.0
2015/4/21,365.0
2015/4/22,365.0
2015/4/23,375.0
2015/4/24,380.0
2015/4/27,390.0
2015/4/28,410.0
2015/4/29,415.0
2015/4/30,405.0
2015/5/4,400.0
2015/5/5,405.0
2015/5/6,410.0
2015/5/7,415.0
2015/5/8,415.0
2015/5/11,415.0
2015/5/12,420.0
2015/5/13,425.0
2015/5/14,425.0
2015/5/15,415.0
2015/5/18,415.0
2015/5/19,415.0
2015/5/20,415.0
2015/5/21,415.0
2015/5/22,415.0
2015/5/25,415.0
2015/5/26,415.0
2015/5/27,425.0
2015/5/28,425.0
2015/5/29,420.0
2015/6/1,420.0
2015/6/2,430.0
2015/6/3,440.0
2015/6/4,440.0
2015/6/5,440.0
2015/6/8,440.0
2015/6/9,440.0
2015/6/10,440.0
2015/6/11,450.0
2015/6/12,455.0
2015/6/15,455.0
2015/6/16,455.0
2015/6/17,455.0
2015/6/18,450.0
2015/6/19,445.0
2015/6/23,440.0
2015/6/24,440.0
2015/6/25,445.0
2015/6/26,445.0
2015/6/29,445.0
2015/6/30,440.0
2015/7/1,435.0
2015/7/2,430.0
2015/7/3,425.0
2015/7/6,420.0
2015/7/7,410.0
2015/7/8,390.0
2015/7/9,365.0
2015/7/10,375.0
2015/7/13,375.0
2015/7/14,375.0
2015/7/15,375.0
2015/7/16,375.0
2015/7/17,375.0
2015/7/20,370.0
2015/7/21,385.0
2015/7/22,390.0
2015/7/23,380.0
2015/7/24,380.0
2015/7/27,380.0
2015/7/28,385.0
2015/7/29,390.0
2015/7/30,400.0
2015/7/31,405.0
2015/8/3,405.0
2015/8/4,415.0
2015/8/5,415.0
2015/8/6,415.0
2015/8/7,415.0
2015/8/10,415.0
2015/8/11,410.0
2015/8/12,410.0
2015/8/13,410.0
2015/8/14,415.0
2015/8/17,415.0
2015/8/18,415.0
2015/8/19,415.0
2015/8/20,415.0
2015/8/21,410.0
2015/8/24,410.0
2015/8/25,400.0
2015/8/26,395.0
2015/8/27,400.0
2015/8/28,405.0
2015/8/31,405.0
2015/9/1,415.0
2015/9/2,415.0
2015/9/7,415.0
2015/9/8,420.0
2015/9/9,425.0
2015/9/10,435.0
2015/9/11,440.0
2015/9/14,440.0
2015/9/15,440.0
2015/9/16,435.0
2015/9/17,435.0
2015/9/18,435.0
2015/9/21,435.0
2015/9/22,430.0
2015/9/23,430.0
2015/9/24,425.0
2015/9/25,420.0
2015/9/28,420.0
2015/9/29,420.0
2015/9/30,420.0
2015/10/8,420.0
2015/10/9,415.0
2015/10/12,415.0
2015/10/13,415.0
2015/10/14,415.0
2015/10/15,410.0
2015/10/16,410.0
2015/10/19,405.0
2015/10/20,405.0
2015/10/21,405.0
2015/10/22,400.0
2015/10/23,390.0
2015/10/26,390.0
2015/10/27,385.0
2015/10/28,375.0
2015/10/29,375.0
2015/10/30,370.0
2015/11/2,370.0
2015/11/3,370.0
2015/11/4,355.0
2015/11/5,350.0
2015/11/6,350.0
2015/11/9,345.0
2015/11/10,345.0
2015/11/11,345.0
2015/11/12,345.0
2015/11/13,345.0
2015/11/16,345.0
2015/11/17,345.0
2015/11/18,340.0
2015/11/19,335.0
2015/11/20,330.0
2015/11/23,330.0
2015/11/24,330.0
2015/11/25,325.0
2015/11/26,320.0
2015/11/27,320.0
2015/11/30,315.0
2015/12/1,310.0
2015/12/2,305.0
2015/12/3,300.0
2015/12/4,295.0
2015/12/7,290.0
2015/12/8,290.0
2015/12/9,285.0
2015/12/10,285.0
2015/12/11,285.0
2015/12/14,280.0
2015/12/15,280.0
2015/12/16,285.0
2015/12/17,285.0
2015/12/18,285.0
2015/12/21,295.0
2015/12/22,295.0
2015/12/23,295.0
2015/12/24,298.0
2015/12/25,300.0
2015/12/28,303.0
2015/12/29,308.0
2015/12/30,313.0
2015/12/31,315.0
2016/1/4,325.0
2016/1/5,322.0
2016/1/6,317.0
2016/1/7,317.0
2016/1/8,315.0
2016/1/11,315.0
2016/1/12,313.0
2016/1/13,310.0
2016/1/14,305.0
2016/1/15,305.0
2016/1/18,303.0
2016/1/19,310.0
2016/1/20,310.0
2016/1/21,310.0
2016/1/22,305.0
2016/1/25,305.0
2016/1/26,305.0
2016/1/27,305.0
2016/1/28,305.0
2016/1/29,308.0
2016/2/1,310.0
2016/2/2,310.0
2016/2/3,310.0
2016/2/4,320.0
2016/2/5,320.0
2016/2/15,325.0
2016/2/16,330.0
2016/2/17,335.0
2016/2/18,335.0
2016/2/19,338.0
2016/2/22,360.0
2016/2/23,365.0
2016/2/24,355.0
2016/2/25,353.0
2016/2/26,350.0
2016/2/29,345.0
2016/3/1,355.0
2016/3/2,365.0
2016/3/3,370.0
2016/3/4,370.0
2016/3/7,465.0
2016/3/8,475.0
2016/3/9,455.0
2016/3/10,435.0
2016/3/11,425.0
2016/3/14,420.0
2016/3/15,395.0
2016/3/16,390.0
2016/3/17,405.0
2016/3/18,410.0
2016/3/21,420.0
2016/3/22,415.0
2016/3/23,415.0
2016/3/24,405.0
2016/3/25,400.0
2016/3/28,400.0
2016/3/29,390.0
2016/3/30,390.0
2016/3/31,390.0
2016/4/1,395.0
2016/4/5,405.0
2016/4/6,400.0
2016/4/7,400.0
2016/4/8,400.0
2016/4/11,410.0
2016/4/12,415.0
2016/4/13,440.0
2016/4/14,435.0
2016/4/15,430.0
2016/4/18,440.0
2016/4/19,440.0
2016/4/20,470.0
2016/4/21,500.0
2016/4/22,500.0
2016/4/25,490.0
2016/4/26,480.0
2016/4/27,460.0
2016/4/28,480.0
2016/4/29,490.0
2016/5/3,485.0
2016/5/4,460.0
2016/5/5,450.0
2016/5/6,450.0
2016/5/9,430.0
2016/5/10,420.0
2016/5/11,415.0
2016/5/12,410.0
2016/5/13,400.0
2016/5/16,395.0
2016/5/17,405.0
2016/5/18,405.0
2016/5/19,395.0
2016/5/20,395.0
2016/5/23,375.0
2016/5/24,365.0
2016/5/25,365.0
2016/5/26,360.0
2016/5/27,360.0
2016/5/30,360.0
2016/5/31,350.0
2016/6/1,350.0
2016/6/2,350.0
2016/6/3,350.0
2016/6/6,360.0
2016/6/7,365.0
2016/6/8,365.0
2016/6/13,370.0
2016/6/14,365.0
2016/6/15,365.0
2016/6/16,365.0
2016/6/17,365.0
2016/6/20,365.0
2016/6/21,365.0
2016/6/22,370.0
2016/6/23,375.0
2016/6/24,375.0
2016/6/27,395.0
2016/6/28,395.0
2016/6/29,395.0
2016/6/30,400.0
2016/7/1,400.0
2016/7/4,410.0
2016/7/5,410.0
2016/7/6,410.0
2016/7/7,415.0
2016/7/8,415.0
2016/7/11,415.0
2016/7/12,425.0
2016/7/13,435.0
2016/7/14,430.0
2016/7/15,425.0
2016/7/18,415.0
2016/7/19,410.0
2016/7/20,400.0
2016/7/21,415.0
2016/7/22,415.0
2016/7/25,420.0
2016/7/26,425.0
2016/7/27,435.0
2016/7/28,440.0
2016/7/29,435.0
2016/8/1,440.0
2016/8/2,445.0
2016/8/3,445.0
2016/8/4,440.0
2016/8/5,445.0
2016/8/8,450.0
2016/8/9,450.0
2016/8/10,450.0
2016/8/11,440.0
2016/8/12,435.0
2016/8/15,435.0
2016/8/16,440.0
2016/8/17,440.0
2016/8/18,440.0
2016/8/19,440.0
2016/8/22,440.0
2016/8/23,440.0
2016/8/24,440.0
2016/8/25,435.0
2016/8/26,435.0
2016/8/29,435.0
2016/8/30,430.0
2016/8/31,430.0
2016/9/1,430.0
2016/9/2,435.0
2016/9/5,435.0
2016/9/6,435.0
2016/9/7,425.0
2016/9/8,425.0
2016/9/9,423.0
2016/9/12,420.0
2016/9/13,410.0
2016/9/14,410.0
2016/9/19,415.0
2016/9/20,420.0
2016/9/21,420.0
2016/9/22,425.0
2016/9/23,425.0
2016/9/26,425.0
2016/9/27,430.0
2016/9/28,430.0
2016/9/29,435.0
2016/9/30,430.0
2016/10/10,435.0
2016/10/11,440.0
2016/10/12,440.0
2016/10/13,440.0
2016/10/14,440.0
2016/10/17,450.0
2016/10/18,450.0
2016/10/19,455.0
2016/10/20,455.0
2016/10/21,455.0
2016/10/24,460.0
2016/10/25,465.0
2016/10/26,470.0
2016/10/27,470.0
2016/10/28,475.0
2016/10/31,475.0
2016/11/1,480.0
2016/11/2,480.0
2016/11/3,480.0
2016/11/4,480.0
2016/11/7,500.0
2016/11/8,510.0
2016/11/9,540.0
2016/11/10,570.0
2016/11/11,595.0
2016/11/14,605.0
2016/11/15,595.0
2016/11/16,585.0
2016/11/17,580.0
2016/11/18,575.0
2016/11/21,575.0
2016/11/22,595.0
2016/11/23,605.0
2016/11/24,615.0
2016/11/25,625.0
2016/11/28,640.0
2016/11/29,635.0
2016/11/30,620.0
2016/12/1,625.0
2016/12/2,625.0
2016/12/5,625.0
2016/12/6,625.0
2016/12/7,630.0
2016/12/8,630.0
2016/12/9,620.0
2016/12/12,645.0
2016/12/13,640.0
2016/12/14,630.0
2016/12/15,630.0
2016/12/16,630.0
2016/12/19,625.0
2016/12/20,620.0
2016/12/21,620.0
2016/12/22,615.0
2016/12/23,610.0
2016/12/26,605.0
2016/12/27,605.0
2016/12/28,610.0
2016/12/29,610.0
2016/12/30,605.0
2017/1/3,600.0
2017/1/4,600.0
2017/1/5,600.0
2017/1/6,600.0
2017/1/9,600.0
2017/1/10,605.0
2017/1/11,605.0
2017/1/12,610.0
2017/1/13,610.0
2017/1/16,630.0
2017/1/17,630.0
2017/1/18,625.0
2017/1/19,625.0
2017/1/20,620.0
2017/1/23,620.0
2017/1/24,630.0
2017/1/25,630.0
2017/1/26,630.0
2017/2/3,625.0
2017/2/6,610.0
2017/2/7,620.0
2017/2/8,625.0
2017/2/9,635.0
2017/2/10,645.0
2017/2/13,675.0
2017/2/14,680.0
2017/2/15,680.0
2017/2/16,680.0
2017/2/17,680.0
2017/2/20,685.0
2017/2/21,695.0
2017/2/22,690.0
2017/2/23,685.0
2017/2/24,675.0
2017/2/27,690.0
2017/2/28,680.0
2017/3/1,675.0
2017/3/2,675.0
2017/3/3,670.0
2017/3/6,660.0
2017/3/7,655.0
2017/3/8,655.0
2017/3/9,645.0
2017/3/10,645.0
2017/3/13,655.0
2017/3/14,655.0
2017/3/15,665.0
2017/3/16,665.0
2017/3/17,665.0
2017/3/20,670.0
2017/3/21,665.0
2017/3/22,645.0
2017/3/23,645.0
2017/3/24,645.0
2017/3/27,620.0
2017/3/28,610.0
2017/3/29,610.0
2017/3/30,610.0
2017/3/31,610.0
2017/4/5,600.0
2017/4/6,595.0
2017/4/7,580.0
2017/4/10,560.0
2017/4/11,550.0
2017/4/12,520.0
2017/4/13,495.0
2017/4/14,495.0
2017/4/17,475.0
2017/4/18,450.0
2017/4/19,450.0
2017/4/20,450.0
2017/4/21,475.0
2017/4/24,465.0
2017/4/25,465.0
2017/4/26,470.0
2017/4/27,475.0
2017/4/28,490.0
2017/5/2,500.0
2017/5/3,490.0
2017/5/4,460.0
2017/5/5,445.0
2017/5/8,445.0
2017/5/9,445.0
2017/5/10,450.0
2017/5/11,440.0
2017/5/12,430.0
2017/5/15,430.0
2017/5/16,430.0
2017/5/17,445.0
2017/5/18,440.0
2017/5/19,450.0
2017/5/22,460.0
2017/5/23,450.0
2017/5/24,435.0
2017/5/25,430.0
2017/5/26,430.0
2017/5/31,415.0
2017/6/1,410.0
2017/6/2,415.0
2017/6/5,415.0
2017/6/6,415.0
2017/6/7,415.0
2017/6/8,410.0
2017/6/9,410.0
2017/6/12,407.0
2017/6/13,400.0
2017/6/14,400.0
2017/6/15,400.0
2017/6/16,400.0
2017/6/19,400.0
2017/6/20,400.0
2017/6/21,400.0
2017/6/22,400.0
2017/6/23,405.0
2017/6/26,405.0
2017/6/27,418.0
2017/6/28,428.0
2017/6/29,448.0
2017/6/30,443.0
2017/7/3,450.0
2017/7/4,440.0
2017/7/5,440.0
2017/7/6,440.0
2017/7/7,447.0
2017/7/10,450.0
2017/7/11,460.0
2017/7/12,460.0
2017/7/13,460.0
2017/7/14,455.0
2017/7/17,467.0
2017/7/18,487.0
2017/7/19,498.0
2017/7/20,496.0
2017/7/21,496.0
2017/7/24,493.0
2017/7/25,493.0
2017/7/26,496.0
2017/7/27,501.0
2017/7/28,501.0
2017/7/31,501.0
2017/8/1,525.0
2017/8/2,525.0
2017/8/3,525.0
2017/8/4,535.0
2017/8/7,545.0
2017/8/8,555.0
2017/8/9,565.0
2017/8/10,568.0
2017/8/11,555.0
2017/8/14,555.0
2017/8/15,550.0
2017/8/16,550.0
2017/8/17,570.0
2017/8/18,575.0
2017/8/21,585.0
2017/8/22,585.0
2017/8/23,565.0
2017/8/24,572.0
2017/8/25,572.0
2017/8/28,567.0
2017/8/29,560.0
2017/8/30,555.0
2017/8/31,565.0
2017/9/1,573.0
2017/9/4,565.0
2017/9/5,567.0
2017/9/6,558.0
2017/9/7,555.0
2017/9/8,550.0
2017/9/11,552.0
2017/9/12,555.0
2017/9/13,555.0
2017/9/14,545.0
2017/9/15,540.0
2017/9/18,543.0
2017/9/19,540.0
2017/9/20,533.0
2017/9/21,518.0
2017/9/22,498.0
2017/9/25,493.0
2017/9/26,483.0
2017/9/27,483.0
2017/9/28,475.0
2017/9/29,475.0
2017/10/9,478.0
2017/10/10,468.0
2017/10/11,466.0
2017/10/12,461.0
2017/10/13,463.0
2017/10/16,463.0
2017/10/17,458.0
2017/10/18,458.0
2017/10/19,448.0
2017/10/20,458.0
2017/10/23,461.0
2017/10/24,461.0
2017/10/25,461.0
2017/10/26,458.0
2017/10/27,448.0
2017/10/30,438.0
2017/10/31,438.0
2017/11/1,438.0
2017/11/2,443.0
2017/11/3,443.0
2017/11/6,443.0
2017/11/7,450.0
2017/11/8,450.0
2017/11/9,442.0
2017/11/10,442.0
2017/11/13,442.0
2017/11/14,445.0
2017/11/15,437.0
2017/11/16,439.0
2017/11/17,439.0
2017/11/20,437.0
2017/11/21,437.0
2017/11/22,440.0
2017/11/23,457.0
2017/11/24,457.0
2017/11/27,460.0
2017/11/28,460.0
2017/11/29,465.0
2017/11/30,465.0
2017/12/1,470.0
2017/12/4,470.0
2017/12/5,495.0
2017/12/6,475.0
2017/12/7,455.0
2017/12/8,460.0
2017/12/11,460.0
2017/12/12,457.0
2017/12/13,467.0
2017/12/14,467.0
2017/12/15,467.0
2017/12/18,472.0
2017/12/19,482.0
2017/12/20,480.0
2017/12/21,480.0
2017/12/22,485.0
2017/12/25,485.0
2017/12/26,473.0
2017/12/27,471.0
2017/12/28,473.0
2017/12/29,483.0
2018/1/2,491.0
2018/1/3,488.0
2018/1/4,490.0
2018/1/5,495.0
2018/1/8,504.0
2018/1/9,511.0
2018/1/10,511.0
2018/1/11,511.0
2018/1/12,504.0
2018/1/15,499.0
2018/1/16,495.0
2018/1/17,495.0
2018/1/18,500.0
2018/1/19,500.0
2018/1/22,505.0
2018/1/23,495.0
2018/1/24,495.0
2018/1/25,500.0
2018/1/26,494.0
2018/1/29,497.0
2018/1/30,497.0
2018/1/31,497.0
2018/2/1,496.0
2018/2/2,499.0
2018/2/5,505.0
2018/2/6,503.0
2018/2/7,503.0
2018/2/8,503.0
2018/2/9,508.0
2018/2/12,508.0
2018/2/13,508.0
2018/2/14,508.0
2018/2/22,511.0
2018/2/23,518.0
2018/2/26,528.0
2018/2/27,526.0
2018/2/28,523.0
2018/3/1,525.0
2018/3/2,518.0
2018/3/5,508.0
2018/3/6,505.0
2018/3/7,505.0
2018/3/8,495.0
2018/3/9,475.0
2018/3/12,467.0
2018/3/13,467.0
2018/3/14,475.0
2018/3/15,475.0
2018/3/16,472.0
2018/3/19,452.0
2018/3/20,447.0
2018/3/21,447.0
