dt,ll rmb
2013/1/4,11375.0
2013/1/7,11450.0
2013/1/8,11375.0
2013/1/9,11300.0
2013/1/10,11275.0
2013/1/11,11225.0
2013/1/14,11225.0
2013/1/15,11200.0
2013/1/16,11200.0
2013/1/17,11175.0
2013/1/18,11175.0
2013/1/21,11175.0
2013/1/22,11125.0
2013/1/23,11125.0
2013/1/24,11125.0
2013/1/25,11125.0
2013/1/28,11125.0
2013/1/29,11225.0
2013/1/30,11225.0
2013/1/31,11225.0
2013/2/1,11225.0
2013/2/4,11225.0
2013/2/5,11225.0
2013/2/6,11225.0
2013/2/7,11225.0
2013/2/8,11225.0
2013/2/18,11175.0
2013/2/19,11175.0
2013/2/20,11200.0
2013/2/21,11125.0
2013/2/22,11100.0
2013/2/25,11150.0
2013/2/26,11100.0
2013/2/27,11100.0
2013/2/28,11100.0
2013/3/1,11050.0
2013/3/4,11050.0
2013/3/5,10925.0
2013/3/6,10925.0
2013/3/7,10850.0
2013/3/8,10800.0
2013/3/11,10800.0
2013/3/12,10600.0
2013/3/13,10600.0
2013/3/14,10600.0
2013/3/15,10600.0
2013/3/18,10650.0
2013/3/19,10750.0
2013/3/20,10850.0
2013/3/21,10850.0
2013/3/22,10875.0
2013/3/25,10850.0
2013/3/26,10850.0
2013/3/27,10850.0
2013/3/28,10800.0
2013/3/29,10800.0
2013/4/1,10750.0
2013/4/2,10700.0
2013/4/3,10700.0
2013/4/8,10650.0
2013/4/9,10650.0
2013/4/10,10650.0
2013/4/11,10650.0
2013/4/12,10650.0
2013/4/15,10450.0
2013/4/16,10200.0
2013/4/17,10200.0
2013/4/18,10200.0
2013/4/19,10200.0
2013/4/22,10200.0
2013/4/23,10250.0
2013/4/24,10250.0
2013/4/25,10300.0
2013/4/26,10300.0
2013/5/2,10350.0
2013/5/3,10400.0
2013/5/6,10500.0
2013/5/7,10550.0
2013/5/8,10550.0
2013/5/9,10600.0
2013/5/10,10600.0
2013/5/13,10650.0
2013/5/14,10600.0
2013/5/15,10600.0
2013/5/16,10550.0
2013/5/17,10550.0
2013/5/20,10550.0
2013/5/21,10600.0
2013/5/22,10600.0
2013/5/23,10550.0
2013/5/24,10550.0
2013/5/27,10550.0
2013/5/28,10550.0
2013/5/29,10550.0
2013/5/30,10550.0
2013/5/31,10550.0
2013/6/3,10550.0
2013/6/4,10600.0
2013/6/5,10650.0
2013/6/6,10700.0
2013/6/7,10700.0
2013/6/13,10775.0
2013/6/14,10775.0
2013/6/17,10850.0
2013/6/18,10800.0
2013/6/19,10800.0
2013/6/20,10750.0
2013/6/21,10700.0
2013/6/24,10650.0
2013/6/25,10600.0
2013/6/26,10600.0
2013/6/27,10550.0
2013/6/28,10550.0
2013/7/1,10550.0
2013/7/2,10600.0
2013/7/3,10650.0
2013/7/4,10700.0
2013/7/5,10700.0
2013/7/8,10750.0
2013/7/9,10800.0
2013/7/10,10800.0
2013/7/11,10850.0
2013/7/12,10900.0
