dt,bz cfr
2015/1/1,657.5
2015/1/2,657.5
2015/1/5,657.5
2015/1/6,657.5
2015/1/7,657.5
2015/1/8,657.5
2015/1/9,657.5
2015/1/12,638.0
2015/1/13,638.0
2015/1/14,638.0
2015/1/15,638.0
2015/1/16,638.0
2015/1/19,575.0
2015/1/20,575.0
2015/1/21,575.0
2015/1/22,575.0
2015/1/23,575.0
2015/1/26,689.0
2015/1/27,689.0
2015/1/28,689.0
2015/1/29,689.0
2015/1/30,689.0
2015/2/2,602.0
2015/2/3,602.0
2015/2/4,602.0
2015/2/5,602.0
2015/2/6,602.0
2015/2/9,663.0
2015/2/10,663.0
2015/2/11,663.0
2015/2/12,663.0
2015/2/13,663.0
2015/2/16,664.0
2015/2/17,664.0
2015/2/18,664.0
2015/2/19,664.0
2015/2/20,664.0
2015/2/23,664.0
2015/2/24,664.0
2015/2/25,664.0
2015/2/26,664.0
2015/2/27,696.0
2015/3/2,696.0
2015/3/3,696.0
2015/3/4,696.0
2015/3/5,790.5
2015/3/6,790.5
2015/3/9,790.5
2015/3/10,790.5
2015/3/11,790.5
2015/3/12,772.0
2015/3/13,772.0
2015/3/16,772.0
2015/3/17,772.0
2015/3/18,772.0
2015/3/19,725.0
2015/3/20,725.0
2015/3/23,725.0
2015/3/24,725.0
2015/3/25,725.0
2015/3/26,780.0
2015/3/27,780.0
2015/3/30,780.0
2015/3/31,780.0
2015/4/1,780.0
2015/4/2,780.0
2015/4/3,780.0
2015/4/6,780.0
2015/4/7,780.0
2015/4/8,804.0
2015/4/9,804.0
2015/4/10,804.0
2015/4/13,804.0
2015/4/14,804.0
2015/4/15,867.0
2015/4/16,867.0
2015/4/17,867.0
2015/4/20,867.0
2015/4/21,867.0
2015/4/22,882.5
2015/4/23,882.5
2015/4/24,882.5
2015/4/27,882.5
2015/4/28,882.5
2015/4/29,839.0
2015/4/30,839.0
2015/5/1,839.0
2015/5/4,839.0
2015/5/5,839.0
2015/5/6,852.0
2015/5/7,852.0
2015/5/8,852.0
2015/5/11,852.0
2015/5/12,852.0
2015/5/13,762.5
2015/5/14,762.5
2015/5/15,762.5
2015/5/18,762.5
2015/5/19,762.5
2015/5/20,744.5
2015/5/21,744.5
2015/5/22,744.5
2015/5/25,744.5
2015/5/26,744.5
2015/5/27,784.0
2015/5/28,784.0
2015/5/29,784.0
2015/6/1,784.0
2015/6/2,784.0
2015/6/3,775.0
2015/6/4,775.0
2015/6/5,775.0
2015/6/8,775.0
2015/6/9,775.0
2015/6/10,840.0
2015/6/11,840.0
2015/6/12,840.0
2015/6/15,840.0
2015/6/16,840.0
2015/6/17,825.0
2015/6/18,825.0
2015/6/19,825.0
2015/6/22,825.0
2015/6/23,825.0
2015/6/24,840.0
2015/6/25,840.0
2015/6/26,840.0
2015/6/29,840.0
2015/6/30,840.0
2015/7/1,805.0
2015/7/2,805.0
2015/7/3,805.0
2015/7/6,805.0
2015/7/7,805.0
2015/7/8,782.0
2015/7/9,782.0
2015/7/10,782.0
2015/7/13,782.0
2015/7/14,782.0
2015/7/15,782.0
2015/7/16,782.0
2015/7/17,782.0
2015/7/20,782.0
2015/7/21,782.0
2015/7/22,780.0
2015/7/23,780.0
2015/7/24,780.0
2015/7/27,780.0
2015/7/28,780.0
2015/7/29,755.0
2015/7/30,755.0
2015/7/31,755.0
2015/8/3,755.0
2015/8/4,755.0
2015/8/5,704.0
2015/8/6,704.0
2015/8/7,704.0
2015/8/10,704.0
2015/8/11,704.0
2015/8/12,639.5
2015/8/13,639.5
2015/8/14,639.5
2015/8/17,639.5
2015/8/18,639.5
2015/8/19,596.0
2015/8/20,596.0
2015/8/21,596.0
2015/8/24,596.0
2015/8/25,596.0
2015/8/26,576.0
2015/8/27,576.0
2015/8/28,576.0
2015/8/31,576.0
2015/9/1,576.0
2015/9/2,582.05
2015/9/3,582.05
2015/9/4,582.05
2015/9/7,582.0
2015/9/8,582.0
2015/9/9,582.0
2015/9/10,582.0
2015/9/11,582.0
2015/9/14,582.0
2015/9/15,575.0
2015/9/16,575.0
2015/9/17,575.0
2015/9/18,575.0
2015/9/21,575.0
2015/9/22,590.0
2015/9/23,590.0
2015/9/24,590.0
2015/9/25,590.0
2015/9/28,590.0
2015/9/29,576.0
2015/9/30,576.0
2015/10/1,576.0
2015/10/2,576.0
2015/10/5,576.0
2015/10/6,576.0
2015/10/7,576.0
2015/10/8,576.0
2015/10/9,611.0
2015/10/12,611.0
2015/10/13,611.0
2015/10/14,611.0
2015/10/15,611.0
2015/10/16,611.0
2015/10/19,611.0
2015/10/20,611.0
2015/10/21,611.0
2015/10/22,611.0
2015/10/23,608.0
2015/10/26,608.0
2015/10/27,608.0
2015/10/28,608.0
2015/10/29,608.0
2015/10/30,605.5
2015/11/2,605.5
2015/11/3,605.5
2015/11/4,605.5
2015/11/5,605.5
2015/11/6,629.0
2015/11/9,629.0
2015/11/10,629.0
2015/11/11,629.0
2015/11/12,629.0
2015/11/13,626.0
2015/11/16,626.0
2015/11/17,626.0
2015/11/18,626.0
2015/11/19,626.0
2015/11/20,643.0
2015/11/23,643.0
2015/11/24,643.0
2015/11/25,643.0
2015/11/26,643.0
2015/11/27,615.0
2015/11/30,627.5
2015/12/1,630.0
2015/12/2,631.0
2015/12/3,625.0
2015/12/4,632.0
2015/12/7,621.0
2015/12/8,605.0
2015/12/9,607.0
2015/12/10,605.0
2015/12/11,607.0
2015/12/14,595.0
2015/12/15,580.0
2015/12/16,585.0
2015/12/17,585.0
2015/12/18,575.0
2015/12/21,575.0
2015/12/22,575.0
2015/12/23,585.0
2015/12/24,585.0
2015/12/25,585.0
2015/12/28,585.0
2015/12/29,585.0
2015/12/30,585.0
2015/12/31,590.0
2016/1/1,590.0
2016/1/4,585.0
2016/1/5,590.0
2016/1/6,595.0
2016/1/7,590.0
2016/1/8,590.0
2016/1/11,575.0
2016/1/12,570.0
2016/1/13,565.0
2016/1/14,565.0
2016/1/15,575.0
2016/1/18,557.5
2016/1/19,557.5
2016/1/20,552.5
2016/1/21,549.5
2016/1/22,549.5
2016/1/25,549.5
2016/1/26,555.0
