dt,ld rmb
2013/1/4,11050.0
2013/1/7,11375.0
2013/1/8,11275.0
2013/1/9,11225.0
2013/1/10,11200.0
2013/1/11,11150.0
2013/1/14,11125.0
2013/1/15,11125.0
2013/1/16,11050.0
2013/1/17,11000.0
2013/1/18,11000.0
2013/1/21,10975.0
2013/1/22,10950.0
2013/1/23,10950.0
2013/1/24,10950.0
2013/1/25,10950.0
2013/1/28,10950.0
2013/1/29,10950.0
2013/1/30,10950.0
2013/1/31,10950.0
2013/2/1,10950.0
2013/2/4,10950.0
2013/2/5,10950.0
2013/2/6,10950.0
2013/2/7,10950.0
2013/2/8,10950.0
2013/2/18,11175.0
2013/2/19,11175.0
2013/2/20,11175.0
2013/2/21,11100.0
2013/2/22,11075.0
2013/2/25,11075.0
2013/2/26,11025.0
2013/2/27,11025.0
2013/2/28,11025.0
2013/3/1,11025.0
2013/3/4,11025.0
2013/3/5,10975.0
2013/3/6,10975.0
2013/3/7,10900.0
2013/3/8,10900.0
2013/3/11,10800.0
2013/3/12,10800.0
2013/3/13,10675.0
2013/3/14,10675.0
2013/3/15,10700.0
2013/3/18,10725.0
2013/3/19,10825.0
2013/3/20,10850.0
2013/3/21,10850.0
2013/3/22,10825.0
2013/3/25,10825.0
2013/3/26,10825.0
2013/3/27,10825.0
2013/3/28,10825.0
2013/3/29,10800.0
2013/4/1,10750.0
2013/4/2,10750.0
2013/4/3,10725.0
2013/4/8,10700.0
2013/4/9,10700.0
2013/4/10,10700.0
2013/4/11,10700.0
2013/4/12,10700.0
2013/4/15,10500.0
2013/4/16,10400.0
2013/4/17,10400.0
2013/4/18,10300.0
2013/4/19,10300.0
2013/4/22,10300.0
2013/4/23,10400.0
2013/4/24,10400.0
2013/4/25,10500.0
2013/4/26,10500.0
2013/5/2,10500.0
2013/5/3,10600.0
2013/5/6,10675.0
2013/5/7,10775.0
2013/5/8,10875.0
2013/5/9,10875.0
2013/5/10,11000.0
2013/5/13,11100.0
2013/5/14,11100.0
2013/5/15,11100.0
2013/5/16,11050.0
2013/5/17,11050.0
2013/5/20,11075.0
2013/5/21,11125.0
2013/5/22,11225.0
2013/5/23,11200.0
2013/5/24,11200.0
2013/5/27,11200.0
2013/5/28,11175.0
2013/5/29,11175.0
2013/5/30,11175.0
2013/5/31,11175.0
2013/6/3,11175.0
2013/6/4,11150.0
2013/6/5,11200.0
2013/6/6,11250.0
2013/6/7,11250.0
2013/6/13,11450.0
2013/6/14,11450.0
2013/6/17,11400.0
2013/6/18,11350.0
2013/6/19,11375.0
2013/6/20,11250.0
2013/6/21,11250.0
2013/6/24,11300.0
2013/6/25,11300.0
2013/6/26,11300.0
2013/6/27,11300.0
2013/6/28,11300.0
2013/7/1,11250.0
2013/7/2,11275.0
2013/7/3,11300.0
2013/7/4,11300.0
2013/7/5,11325.0
2013/7/8,11300.0
2013/7/9,11300.0
2013/7/10,11300.0
2013/7/11,11400.0
2013/7/12,11500.0
2013/7/15,11550.0
2013/7/16,11550.0
2013/7/17,11550.0
2013/7/18,11550.0
2013/7/19,11550.0
2013/7/22,11550.0
2013/7/23,11650.0
2013/7/24,11750.0
2013/7/25,11875.0
2013/7/26,11900.0
2013/7/29,11850.0
2013/7/30,11900.0
2013/7/31,11900.0
2013/8/1,12000.0
2013/8/2,12000.0
2013/8/5,12150.0
2013/8/6,12250.0
2013/8/7,12250.0
2013/8/8,12300.0
2013/8/9,12200.0
2013/8/12,12000.0
2013/8/13,11975.0
