dt,bu cfr
2014/1/21,570.0
2014/1/22,570.0
2014/1/23,570.0
2014/1/24,570.0
2014/1/27,570.0
2014/1/28,570.0
2014/1/29,570.0
2014/1/30,570.0
2014/2/7,570.0
2014/2/10,570.0
2014/2/11,570.0
2014/2/12,570.0
2014/2/13,570.0
2014/2/14,570.0
2014/2/17,570.0
2014/2/18,570.0
2014/2/19,570.0
2014/2/20,570.0
2014/2/21,570.0
2014/2/24,570.0
2014/2/25,570.0
2014/2/26,570.0
2014/2/27,570.0
2014/2/28,570.0
2014/3/3,570.0
2014/3/4,570.0
2014/3/5,570.0
2014/3/6,570.0
2014/3/7,570.0
2014/3/10,570.0
2014/3/11,570.0
2014/3/12,570.0
2014/3/13,570.0
2014/3/14,570.0
2014/3/17,570.0
2014/3/18,570.0
2014/3/19,570.0
2014/3/20,570.0
2014/3/21,570.0
2014/3/24,570.0
2014/3/25,570.0
2014/3/26,570.0
2014/3/27,570.0
2014/3/28,570.0
2014/3/31,570.0
2014/4/1,570.0
2014/4/2,570.0
2014/4/3,570.0
2014/4/4,570.0
2014/4/8,570.0
2014/4/9,570.0
2014/4/10,570.0
2014/4/11,570.0
2014/4/14,570.0
2014/4/15,570.0
2014/4/16,570.0
2014/4/17,570.0
2014/4/18,570.0
2014/4/21,570.0
2014/4/22,560.0
2014/4/23,560.0
2014/4/24,560.0
2014/4/25,560.0
2014/4/28,555.0
2014/4/29,555.0
2014/4/30,555.0
2014/5/5,555.0
2014/5/6,555.0
2014/5/7,555.0
2014/5/8,555.0
2014/5/9,555.0
2014/5/12,555.0
2014/5/13,555.0
2014/5/14,555.0
2014/5/15,555.0
2014/5/16,555.0
2014/5/19,555.0
2014/5/20,555.0
2014/5/21,555.0
2014/5/22,555.0
2014/5/23,555.0
2014/5/26,555.0
2014/5/27,555.0
2014/5/28,555.0
2014/5/29,555.0
2014/5/30,555.0
2014/6/3,555.0
2014/6/4,555.0
2014/6/5,555.0
2014/6/6,555.0
2014/6/9,555.0
2014/6/10,555.0
2014/6/11,555.0
2014/6/12,555.0
2014/6/13,555.0
2014/6/16,555.0
2014/6/17,555.0
2014/6/18,555.0
2014/6/19,555.0
2014/6/20,555.0
2014/6/23,555.0
2014/6/24,555.0
2014/6/25,555.0
2014/6/26,555.0
2014/6/27,555.0
2014/6/30,555.0
2014/7/1,555.0
2014/7/2,555.0
2014/7/3,555.0
2014/7/4,555.0
2014/7/7,555.0
2014/7/8,555.0
2014/7/9,555.0
2014/7/10,555.0
2014/7/11,555.0
2014/7/14,555.0
2014/7/15,555.0
2014/7/16,555.0
2014/7/17,555.0
2014/7/18,555.0
2014/7/21,555.0
2014/7/22,555.0
2014/7/23,555.0
2014/7/24,555.0
2014/7/25,555.0
2014/7/28,555.0
2014/7/29,555.0
2014/7/30,555.0
2014/7/31,555.0
2014/8/1,555.0
2014/8/4,555.0
2014/8/5,562.5
2014/8/6,562.5
2014/8/7,562.5
2014/8/8,562.5
2014/8/11,562.5
2014/8/12,562.5
2014/8/13,562.5
2014/8/14,562.5
2014/8/15,562.5
2014/8/18,562.5
2014/8/19,562.5
2014/8/20,562.5
2014/8/21,562.5
2014/8/22,562.5
2014/8/25,562.5
2014/8/26,562.5
2014/8/27,562.5
2014/8/28,562.5
2014/8/29,562.5
2014/9/1,562.5
2014/9/2,562.5
2014/9/3,562.5
2014/9/4,562.5
2014/9/5,562.5
2014/9/9,562.5
2014/9/10,562.5
2014/9/11,562.5
2014/9/12,562.5
2014/9/15,562.5
2014/9/16,565.0
2014/9/17,565.0
2014/9/18,565.0
2014/9/19,565.0
2014/9/22,565.0
2014/9/23,565.0
2014/9/24,565.0
2014/9/25,565.0
2014/9/26,565.0
2014/9/29,565.0
2014/9/30,565.0
2014/10/8,565.0
2014/10/9,565.0
2014/10/10,565.0
2014/10/13,565.0
2014/10/14,565.0
2014/10/15,565.0
