dt,NHGF cfr
2018/5/31,64.3
2018/6/1,64.7
2018/6/4,63.85
2018/6/5,64.75
2018/6/6,65.2
2018/6/7,65.15
2018/6/8,65.1
2018/6/11,65.7
2018/6/12,65.95
2018/6/13,65.8
2018/6/14,66.0
2018/6/19,64.25
2018/6/20,64.25
2018/6/21,63.85
2018/6/22,63.9
2018/6/25,64.6
2018/6/26,64.65
2018/6/27,63.8
2018/6/28,63.95
2018/6/29,64.45
2018/7/2,63.8
2018/7/3,63.75
2018/7/4,63.35
2018/7/5,62.5
2018/7/6,62.65
2018/7/9,63.25
2018/7/10,63.2
2018/7/11,62.7
2018/7/12,63.5
2018/7/13,63.5
2018/7/16,63.0
2018/7/17,63.7
2018/7/18,63.75
2018/7/19,64.7
2018/7/20,64.8
2018/7/23,65.2
2018/7/24,65.35
2018/7/25,65.8
2018/7/26,65.45
2018/7/27,67.35
2018/7/30,66.95
2018/7/31,67.55
2018/8/1,66.45
2018/8/2,66.45
2018/8/3,67.45
2018/8/6,68.95
2018/8/7,69.5
2018/8/8,69.4
2018/8/10,68.75
2018/8/13,68.75
2018/8/14,67.5
2018/8/15,67.05
2018/8/16,66.9
2018/8/17,67.5
2018/8/20,67.95
2018/8/21,66.6
2018/8/23,65.65
2018/8/24,66.4
2018/8/27,65.85
2018/8/28,65.85
2018/8/29,65.55
2018/8/30,65.75
2018/8/31,66.15
2018/9/3,66.2
2018/9/4,66.7
2018/9/5,67.05
2018/9/6,68.85
2018/9/7,68.85
2018/9/10,68.55
2018/9/11,68.35
2018/9/12,68.1
2018/9/13,69.25
2018/9/14,69.6
2018/9/17,69.5
2018/9/18,69.5
2018/9/19,69.8
2018/9/20,69.75
2018/9/21,69.2
2018/9/25,68.8
2018/9/26,69.0
2018/9/27,69.2
2018/9/28,69.5
2018/10/8,69.4
2018/10/9,70.55
2018/10/10,71.7
2018/10/11,71.05
2018/10/12,71.5
2018/10/15,71.25
2018/10/16,71.75
2018/10/17,74.25
2018/10/18,74.3
2018/10/19,73.45
2018/10/22,75.0
2018/10/23,74.8
2018/10/24,76.4
2018/10/25,76.5
2018/10/26,77.0
2018/10/29,76.8
2018/10/30,75.55
2018/10/31,75.55
2018/11/1,74.55
2018/11/2,74.1
2018/11/5,75.8
2018/11/7,74.5
2018/11/8,76.25
2018/11/9,77.25
2018/11/12,76.75
2018/11/13,75.2
2018/11/14,74.55
2018/11/15,74.15
2018/11/16,75.1
2018/11/19,75.45
2018/11/20,73.5
2018/11/21,73.4
2018/11/22,72.05
2018/11/23,68.9
2018/11/26,64.7
2018/11/27,64.75
2018/11/28,65.8
2018/11/29,65.65
2018/11/30,65.45
2018/12/3,66.15
2018/12/4,67.6
2018/12/5,67.55
2018/12/6,66.1
2018/12/7,66.95
2018/12/10,66.8
2018/12/11,66.95
2018/12/12,67.15
2018/12/13,68.2
2018/12/14,69.9
2018/12/17,70.55
2018/12/18,69.9
2018/12/19,70.4
2018/12/20,72.15
2018/12/21,72.3
2018/12/26,71.85
2018/12/27,72.4
2018/12/28,72.7
2019/1/2,72.35
2019/1/3,72.75
2019/1/4,73.45
2019/1/7,74.95
2019/1/8,74.95
2019/1/9,74.5
2019/1/10,74.65
2019/1/11,74.7
2019/1/14,74.8
2019/1/15,74.6
2019/1/16,75.2
2019/1/17,74.75
2019/1/18,75.95
2019/1/21,75.95
2019/1/22,74.6
2019/1/23,74.6
2019/1/24,75.4
2019/1/25,75.4
2019/1/28,78.7
2019/1/29,79.95
2019/1/30,85.05
2019/1/31,85.4
2019/2/1,87.0
2019/2/11,90.2
2019/2/12,87.45
2019/2/13,86.45
2019/2/14,87.8
2019/2/15,87.35
2019/2/18,88.8
2019/2/19,88.7
2019/2/20,87.3
2019/2/21,86.7
2019/2/22,86.7
2019/2/25,84.55
2019/2/26,83.55
2019/2/27,83.3
2019/2/28,84.8
2019/3/1,87.3
2019/3/4,86.8
2019/3/5,88.0
2019/3/6,85.6
2019/3/7,87.05
2019/3/8,84.85
2019/3/11,83.0
2019/3/12,85.05
2019/3/13,84.1
2019/3/14,87.1
2019/3/15,86.2
2019/3/18,87.8
2019/3/19,86.95
2019/3/20,84.05
2019/3/21,84.1
2019/3/22,86.8
2019/3/25,84.95
2019/3/26,84.8
2019/3/27,84.4
2019/3/28,83.85
2019/3/29,87.05
2019/4/1,87.9
2019/4/2,89.65
2019/4/3,93.1
2019/4/4,92.9
2019/4/8,95.05
2019/4/9,93.4
2019/4/10,94.3
2019/4/11,95.0
2019/4/12,95.8
2019/4/15,95.8
2019/4/16,94.3
2019/4/17,92.5
2019/4/18,91.8
2019/4/22,93.6
2019/4/23,94.2
2019/4/24,92.55
2019/4/25,92.6
2019/4/26,92.8
2019/4/29,93.35
2019/4/30,94.55
2019/5/2,96.55
2019/5/3,96.6
2019/5/6,95.05
2019/5/7,98.1
2019/5/8,96.3
2019/5/9,97.6
2019/5/10,97.8
2019/5/13,96.75
2019/5/14,95.85
2019/5/15,97.35
2019/5/16,100.35
2019/5/17,102.75
2019/5/21,103.8
2019/5/22,105.6
2019/5/23,104.55
2019/5/24,106.05
2019/5/27,110.35
2019/5/28,108.45
2019/5/29,105.65
2019/5/30,103.85
2019/5/31,102.1
2019/6/3,100.4
2019/6/4,102.65
2019/6/6,100.95
2019/6/7,100.95
2019/6/10,103.15
2019/6/11,108.65
2019/6/12,109.25
2019/6/13,113.45
2019/6/14,112.6
2019/6/17,112.2
2019/6/18,116.55
2019/6/19,119.05
2019/6/20,122.35
2019/6/21,122.05
2019/6/24,121.1
2019/6/25,118.25
2019/6/26,119.35
2019/6/27,121.4
2019/6/28,123.15
2019/7/1,125.85
2019/7/2,131.65
2019/7/3,131.5
2019/7/4,127.45
2019/7/5,119.35
2019/7/8,123.05
2019/7/9,128.1
2019/7/10,126.8
2019/7/11,124.85
2019/7/12,123.95
2019/7/15,126.8
2019/7/16,127.85
2019/7/17,126.25
2019/7/18,124.85
2019/7/19,127.2
2019/7/22,123.3
2019/7/23,123.2
2019/7/24,119.05
2019/7/25,120.35
2019/7/26,122.7
2019/7/29,122.4
2019/7/30,125.1
2019/7/31,122.3
2019/8/1,117.65
2019/8/2,112.6
2019/8/5,102.35
2019/8/6,96.0
2019/8/7,95.9
2019/8/8,97.65
2019/8/9,97.3
2019/8/12,97.3
2019/8/13,90.8
2019/8/14,92.15
2019/8/15,90.8
2019/8/16,91.4
2019/8/19,90.55
2019/8/20,90.5
2019/8/21,85.05
