dt,NHGF cfr
2018/1/2,75.2
2018/1/3,75.2
2018/1/4,76.35
2018/1/5,77.1
2018/1/8,78.0
2018/1/9,78.8
2018/1/10,78.5
2018/1/11,79.35
2018/1/12,78.3
2018/1/15,76.5
2018/1/16,75.6
2018/1/17,74.35
2018/1/18,74.85
2018/1/19,76.85
2018/1/22,75.9
2018/1/23,73.7
2018/1/24,74.25
2018/1/25,75.05
2018/1/26,74.6
2018/1/29,73.75
2018/1/30,73.5
2018/1/31,73.1
2018/2/1,72.7
2018/2/2,73.8
2018/2/5,75.95
2018/2/6,76.0
2018/2/7,77.5
2018/2/8,77.85
2018/2/9,76.55
2018/2/12,76.55
2018/2/13,77.85
2018/2/14,78.25
2018/2/22,78.05
2018/2/23,79.2
2018/2/26,79.95
2018/2/27,79.55
2018/2/28,78.9
2018/3/1,79.6
2018/3/2,77.65
2018/3/5,75.65
2018/3/6,75.0
2018/3/7,75.2
2018/3/8,72.0
2018/3/9,70.25
2018/3/12,69.0
2018/3/13,69.95
2018/3/14,71.75
2018/3/15,71.5
2018/3/16,69.6
2018/3/19,67.35
2018/3/20,66.8
2018/3/21,67.9
2018/3/22,67.7
2018/3/23,64.05
2018/3/26,63.05
2018/3/27,63.45
2018/3/28,63.05
2018/3/29,63.1
2018/4/2,65.4
2018/4/3,63.8
2018/4/4,63.0
2018/4/9,64.05
2018/4/10,65.85
2018/4/11,64.2
2018/4/12,64.75
2018/4/13,65.25
2018/4/16,64.05
2018/4/17,64.45
2018/4/18,66.45
2018/4/19,68.3
2018/4/20,66.85
2018/4/23,67.55
2018/4/24,67.25
2018/4/25,66.25
2018/4/26,66.9
2018/4/27,64.95
2018/5/2,66.8
2018/5/3,66.8
2018/5/4,66.1
2018/5/7,66.95
2018/5/8,67.25
2018/5/9,66.25
2018/5/10,66.5
2018/5/11,67.8
2018/5/14,68.25
2018/5/15,67.4
2018/5/16,67.65
2018/5/17,67.25
2018/5/18,66.7
2018/5/21,64.9
2018/5/22,64.5
2018/5/23,63.4
2018/5/24,65.15
2018/5/25,63.75
2018/5/28,63.25
2018/5/30,64.0
