dt,meg cfr
2013/12/6,1052.0
2013/12/9,1065.0
2013/12/10,1064.0
2013/12/11,1059.0
2013/12/12,1063.0
2013/12/13,1051.0
2013/12/16,1045.0
2013/12/17,1041.0
2013/12/18,1030.0
2013/12/19,1030.0
2013/12/20,1026.0
2013/12/23,1033.0
2013/12/24,1028.0
2013/12/25,1036.0
2013/12/26,1032.0
2013/12/27,1029.0
2013/12/30,1027.0
2013/12/31,1027.0
2014/1/2,1028.0
2014/1/3,1026.0
2014/1/6,1024.0
2014/1/7,1008.0
2014/1/8,988.0
2014/1/9,995.0
2014/1/10,988.0
2014/1/13,998.0
2014/1/14,993.0
2014/1/15,1001.0
2014/1/16,1012.0
2014/1/17,1008.0
2014/1/20,1016.0
2014/1/21,1011.0
2014/1/22,1005.0
2014/1/23,1003.0
2014/1/24,999.0
2014/1/27,999.0
2014/1/28,999.0
2014/1/29,999.0
2014/1/30,999.0
2014/1/31,999.0
2014/2/3,999.0
2014/2/4,999.0
2014/2/5,999.0
2014/2/6,999.0
2014/2/7,990.0
2014/2/10,997.0
2014/2/11,1001.0
2014/2/12,983.0
2014/2/13,972.0
2014/2/14,955.0
2014/2/17,943.0
2014/2/18,947.0
2014/2/19,945.0
2014/2/20,934.0
2014/2/21,929.0
2014/2/24,924.0
2014/2/25,921.0
2014/2/26,901.0
2014/2/27,884.0
2014/2/28,887.0
2014/3/3,901.0
2014/3/4,907.0
2014/3/5,935.0
2014/3/6,946.0
2014/3/7,936.0
2014/3/10,915.0
2014/3/11,913.0
2014/3/12,915.0
2014/3/13,922.0
2014/3/14,914.0
2014/3/17,908.0
2014/3/18,911.0
2014/3/19,914.0
2014/3/20,925.0
2014/3/21,925.0
2014/3/24,931.0
2014/3/25,948.0
2014/3/26,937.0
2014/3/27,945.0
2014/3/28,949.0
2014/3/31,947.0
2014/4/1,943.0
2014/4/2,940.0
2014/4/3,932.0
2014/4/4,941.0
2014/4/7,941.0
2014/4/8,935.0
2014/4/9,929.0
2014/4/10,924.0
2014/4/11,922.0
2014/4/14,922.0
2014/4/15,925.0
2014/4/16,927.0
2014/4/17,933.0
2014/4/18,927.0
2014/4/21,916.0
2014/4/22,916.0
2014/4/23,915.0
2014/4/24,913.0
2014/4/25,912.0
2014/4/28,899.0
2014/4/29,895.0
2014/4/30,898.0
2014/5/1,898.0
2014/5/2,898.0
2014/5/5,893.0
2014/5/6,887.0
2014/5/7,888.0
2014/5/8,884.0
2014/5/9,884.0
2014/5/12,893.0
2014/5/13,897.0
2014/5/14,893.0
2014/5/15,898.0
2014/5/16,898.0
2014/5/19,912.0
2014/5/20,917.0
2014/5/21,914.0
2014/5/22,910.0
2014/5/23,905.0
2014/5/26,915.0
2014/5/27,919.0
2014/5/28,923.0
2014/5/29,942.0
2014/5/30,952.0
2014/6/2,952.0
2014/6/3,962.0
2014/6/4,970.0
2014/6/5,985.0
2014/6/6,967.0
2014/6/9,972.0
2014/6/10,987.0
2014/6/11,979.0
