dt,hd rmb
2014/2/18,10700.0
2014/2/19,10700.0
2014/2/20,10700.0
2014/2/21,10800.0
2014/2/24,10750.0
2014/2/25,10800.0
2014/2/26,10800.0
2014/2/27,10800.0
2014/2/28,10800.0
2014/3/3,10850.0
2014/3/4,10850.0
2014/3/5,10850.0
2014/3/6,10800.0
2014/3/7,10800.0
2014/3/10,10850.0
2014/3/11,10850.0
2014/3/12,10900.0
2014/3/13,10900.0
2014/3/14,10900.0
2014/3/17,11050.0
2014/3/18,11175.0
2014/3/19,11175.0
2014/3/20,11175.0
2014/3/21,11175.0
2014/3/24,11225.0
2014/3/25,11225.0
2014/3/26,11225.0
2014/3/27,11225.0
2014/3/28,11350.0
2014/3/31,11350.0
2014/4/1,11400.0
2014/4/2,11450.0
2014/4/3,11450.0
2014/4/4,11600.0
2014/4/8,11700.0
2014/4/9,11700.0
2014/4/10,11900.0
2014/4/11,11900.0
2014/4/14,11900.0
2014/4/15,11900.0
2014/4/16,11900.0
2014/4/17,11900.0
2014/4/18,12000.0
2014/4/21,12000.0
2014/4/22,12050.0
2014/4/23,12000.0
2014/4/24,12000.0
2014/4/25,12000.0
2014/4/28,11900.0
2014/4/29,11900.0
2014/4/30,11900.0
2014/5/5,11900.0
2014/5/6,11900.0
2014/5/7,11900.0
2014/5/8,11900.0
2014/5/9,11900.0
2014/5/12,11900.0
2014/5/13,11850.0
2014/5/14,11800.0
2014/5/15,11725.0
2014/5/16,11675.0
2014/5/19,11650.0
2014/5/20,11650.0
2014/5/21,11550.0
2014/5/22,11500.0
2014/5/23,11500.0
2014/5/26,11550.0
2014/5/27,11550.0
2014/5/28,11550.0
2014/5/29,11550.0
2014/5/30,11575.0
2014/6/3,11550.0
2014/6/4,11550.0
2014/6/5,11550.0
2014/6/6,11575.0
2014/6/9,11600.0
2014/6/10,11650.0
2014/6/11,11650.0
2014/6/12,11650.0
2014/6/13,11650.0
2014/6/16,11650.0
2014/6/17,11650.0
2014/6/18,11650.0
2014/6/19,11600.0
2014/6/20,11650.0
2014/6/23,11550.0
2014/6/24,11475.0
2014/6/25,11425.0
2014/6/26,11400.0
2014/6/27,11450.0
2014/6/30,11500.0
2014/7/1,11500.0
2014/7/2,11475.0
2014/7/3,11500.0
2014/7/4,11500.0
2014/7/7,11550.0
2014/7/8,11550.0
2014/7/9,11525.0
2014/7/10,11475.0
2014/7/11,11475.0
2014/7/14,11475.0
2014/7/15,11475.0
2014/7/16,11500.0
2014/7/17,11450.0
