dt,hd cfr
2013/1/4,1400.0
2013/1/7,1420.0
2013/1/8,1420.0
2013/1/9,1420.0
2013/1/10,1400.0
2013/1/11,1400.0
2013/1/14,1400.0
2013/1/15,1400.0
2013/1/16,1400.0
2013/1/17,1400.0
2013/1/18,1400.0
2013/1/21,1400.0
2013/1/22,1380.0
2013/1/23,1380.0
2013/1/24,1380.0
2013/1/25,1380.0
2013/1/28,1380.0
2013/1/29,1400.0
2013/1/30,1400.0
2013/1/31,1400.0
2013/2/1,1400.0
2013/2/4,1420.0
2013/2/5,1400.0
2013/2/6,1400.0
2013/2/7,1400.0
2013/2/8,1400.0
2013/2/18,1400.0
2013/2/19,1410.0
2013/2/20,1420.0
2013/2/21,1420.0
2013/2/22,1400.0
2013/2/25,1400.0
2013/2/26,1400.0
2013/2/27,1400.0
2013/2/28,1400.0
2013/3/1,1400.0
2013/3/4,1400.0
2013/3/5,1380.0
2013/3/6,1380.0
2013/3/7,1380.0
2013/3/8,1380.0
2013/3/11,1380.0
2013/3/12,1350.0
2013/3/13,1350.0
2013/3/14,1350.0
2013/3/15,1350.0
2013/3/18,1350.0
2013/3/19,1350.0
2013/3/20,1350.0
2013/3/21,1350.0
2013/3/22,1360.0
2013/3/25,1360.0
2013/3/26,1360.0
2013/3/27,1360.0
2013/3/28,1360.0
2013/3/29,1360.0
2013/4/1,1360.0
2013/4/2,1360.0
2013/4/3,1360.0
2013/4/8,1360.0
2013/4/9,1360.0
2013/4/10,1380.0
2013/4/11,1380.0
2013/4/12,1380.0
2013/4/15,1360.0
2013/4/16,1350.0
2013/4/17,1350.0
2013/4/18,1350.0
2013/4/19,1350.0
2013/4/22,1350.0
2013/4/23,1350.0
2013/4/24,1350.0
2013/4/25,1350.0
2013/4/26,1360.0
2013/5/2,1360.0
2013/5/3,1370.0
2013/5/6,1380.0
2013/5/7,1380.0
2013/5/8,1380.0
2013/5/9,1400.0
2013/5/10,1380.0
2013/5/13,1400.0
2013/5/14,1400.0
2013/5/15,1410.0
2013/5/16,1410.0
2013/5/17,1410.0
2013/5/20,1410.0
2013/5/21,1410.0
2013/5/22,1410.0
2013/5/23,1410.0
2013/5/24,1410.0
2013/5/27,1420.0
2013/5/28,1420.0
2013/5/29,1420.0
2013/5/30,1420.0
2013/5/31,1420.0
2013/6/3,1420.0
2013/6/4,1420.0
2013/6/5,1420.0
2013/6/6,1420.0
2013/6/7,1420.0
2013/6/13,1420.0
2013/6/14,1420.0
2013/6/17,1420.0
2013/6/18,1420.0
2013/6/19,1420.0
2013/6/20,1420.0
2013/6/21,1420.0
2013/6/24,1420.0
2013/6/25,1420.0
2013/6/26,1420.0
2013/6/27,1410.0
2013/6/28,1410.0
2013/7/1,1410.0
2013/7/2,1410.0
2013/7/3,1410.0
2013/7/4,1410.0
2013/7/5,1410.0
2013/7/8,1410.0
2013/7/9,1410.0
2013/7/10,1410.0
2013/7/11,1410.0
2013/7/12,1420.0
2013/7/15,1420.0
2013/7/16,1420.0
2013/7/17,1420.0
2013/7/18,1420.0
2013/7/19,1420.0
2013/7/22,1420.0
2013/7/23,1440.0
2013/7/24,1440.0
2013/7/25,1440.0
2013/7/26,1440.0
2013/7/29,1440.0
2013/7/30,1430.0
2013/7/31,1430.0
2013/8/1,1430.0
2013/8/2,1440.0
2013/8/5,1440.0
2013/8/6,1430.0
2013/8/7,1430.0
2013/8/8,1430.0
2013/8/9,1430.0
2013/8/12,1430.0
2013/8/13,1440.0
2013/8/14,1440.0
2013/8/15,1440.0
2013/8/16,1430.0
2013/8/19,1430.0
2013/8/20,1430.0
2013/8/21,1430.0
2013/8/22,1430.0
2013/8/23,1420.0
2013/8/26,1420.0
