dt,px rmb
2017/1/3,7200.0
2017/1/4,7200.0
2017/1/5,7200.0
2017/1/6,7200.0
2017/1/9,7200.0
2017/1/10,7200.0
2017/1/11,7200.0
2017/1/12,7200.0
2017/1/13,7200.0
2017/1/16,7200.0
2017/1/17,7200.0
2017/1/18,7200.0
2017/1/19,7200.0
2017/1/20,7200.0
2017/1/23,7200.0
2017/1/24,7200.0
2017/1/25,7200.0
2017/1/26,7200.0
2017/1/27,7200.0
2017/1/30,7200.0
2017/1/31,7200.0
2017/2/1,7200.0
2017/2/2,7200.0
2017/2/3,7200.0
2017/2/6,7200.0
2017/2/7,7600.0
2017/2/8,7600.0
2017/2/9,7600.0
2017/2/10,7600.0
2017/2/13,7600.0
2017/2/14,7600.0
2017/2/15,7600.0
2017/2/16,7600.0
2017/2/17,7600.0
2017/2/20,7600.0
2017/2/21,7600.0
2017/2/22,7600.0
2017/2/23,7600.0
2017/2/24,7600.0
2017/2/27,7600.0
2017/2/28,7600.0
2017/3/1,7600.0
2017/3/2,7600.0
2017/3/3,7600.0
2017/3/6,7600.0
2017/3/7,7600.0
2017/3/8,7600.0
2017/3/9,7600.0
2017/3/10,7600.0
2017/3/13,7600.0
2017/3/14,7600.0
2017/3/15,7600.0
2017/3/16,7600.0
2017/3/17,7600.0
2017/3/20,7600.0
2017/3/21,7600.0
2017/3/22,7600.0
2017/3/23,7600.0
2017/3/24,7600.0
2017/3/27,7600.0
2017/3/28,7600.0
2017/3/29,7600.0
2017/3/30,7600.0
2017/3/31,7600.0
2017/4/3,7000.0
2017/4/4,7000.0
2017/4/5,7000.0
2017/4/6,7000.0
2017/4/7,7000.0
2017/4/10,7000.0
2017/4/11,7000.0
2017/4/12,7000.0
2017/4/13,7000.0
2017/4/14,7000.0
2017/4/17,7000.0
2017/4/18,7000.0
2017/4/19,7000.0
2017/4/20,7000.0
2017/4/21,7000.0
2017/4/24,7000.0
2017/4/25,7000.0
2017/4/26,7000.0
2017/4/27,7000.0
2017/4/28,7000.0
2017/5/1,7000.0
2017/5/2,6900.0
2017/5/3,6900.0
2017/5/4,6900.0
2017/5/5,6900.0
2017/5/8,6900.0
2017/5/9,6900.0
2017/5/10,6900.0
2017/5/11,6900.0
2017/5/12,6900.0
2017/5/15,6900.0
2017/5/16,6900.0
2017/5/17,6900.0
2017/5/18,6900.0
2017/5/19,6900.0
2017/5/22,6900.0
2017/5/23,6900.0
2017/5/24,6900.0
2017/5/25,6900.0
2017/5/26,6900.0
2017/5/29,6850.0
2017/5/30,6850.0
2017/5/31,6850.0
2017/6/1,6850.0
2017/6/2,6850.0
2017/6/5,6850.0
2017/6/6,6850.0
2017/6/7,6850.0
2017/6/8,6850.0
2017/6/9,6850.0
2017/6/12,6850.0
2017/6/13,6850.0
2017/6/14,6850.0
2017/6/15,6850.0
2017/6/16,6850.0
2017/6/19,6850.0
2017/6/20,6850.0
2017/6/21,6850.0
2017/6/22,6850.0
2017/6/23,6850.0
2017/6/26,6850.0
2017/6/27,6850.0
2017/6/28,6850.0
2017/6/29,6500.0
2017/6/30,6500.0
2017/7/3,6500.0
2017/7/4,6500.0
2017/7/5,6500.0
2017/7/6,6500.0
2017/7/7,6500.0
2017/7/10,6500.0
2017/7/11,6500.0
2017/7/12,6500.0
2017/7/13,6500.0
2017/7/14,6500.0
2017/7/17,6500.0
2017/7/18,6500.0
2017/7/19,6500.0
2017/7/20,6500.0
2017/7/21,6500.0
