dt,JMBF rmb
2015/5/27,410.0
2015/5/28,410.0
2015/5/29,405.0
2015/6/1,405.0
2015/6/2,415.0
2015/6/3,425.0
2015/6/4,425.0
2015/6/5,430.0
2015/6/8,430.0
2015/6/9,430.0
2015/6/10,430.0
2015/6/11,440.0
2015/6/12,445.0
2015/6/15,445.0
2015/6/16,445.0
2015/6/17,445.0
2015/6/18,440.0
2015/6/19,435.0
2015/6/23,430.0
2015/6/24,430.0
2015/6/25,435.0
2015/6/26,435.0
2015/6/29,435.0
2015/6/30,430.0
2015/7/1,425.0
2015/7/2,420.0
2015/7/3,415.0
2015/7/6,410.0
2015/7/7,400.0
2015/7/8,385.0
2015/7/9,360.0
2015/7/10,370.0
2015/7/13,370.0
2015/7/14,370.0
2015/7/15,370.0
2015/7/16,370.0
2015/7/17,370.0
2015/7/20,365.0
2015/7/21,380.0
2015/7/22,380.0
2015/7/23,380.0
2015/7/24,380.0
2015/7/27,380.0
2015/7/28,380.0
2015/7/29,380.0
2015/7/30,390.0
2015/7/31,395.0
2015/8/3,395.0
2015/8/4,410.0
2015/8/5,410.0
2015/8/6,410.0
2015/8/7,410.0
2015/8/10,410.0
2015/8/11,410.0
2015/8/12,410.0
2015/8/13,410.0
2015/8/14,415.0
2015/8/17,415.0
2015/8/18,415.0
2015/8/19,415.0
2015/8/20,415.0
2015/8/21,410.0
2015/8/24,410.0
2015/8/25,400.0
2015/8/26,395.0
2015/8/27,400.0
2015/8/28,405.0
2015/8/31,405.0
2015/9/1,415.0
2015/9/2,415.0
2015/9/7,415.0
2015/9/8,420.0
2015/9/9,425.0
2015/9/10,435.0
2015/9/11,440.0
2015/9/14,440.0
2015/9/15,440.0
2015/9/16,435.0
2015/9/17,435.0
2015/9/18,435.0
2015/9/21,435.0
2015/9/22,435.0
2015/9/23,435.0
2015/9/24,425.0
2015/9/25,420.0
2015/9/28,420.0
2015/9/29,420.0
2015/9/30,420.0
2015/10/8,420.0
2015/10/9,415.0
2015/10/12,415.0
2015/10/13,415.0
2015/10/14,415.0
2015/10/15,410.0
2015/10/16,410.0
2015/10/19,405.0
2015/10/20,405.0
2015/10/21,405.0
2015/10/22,400.0
2015/10/23,390.0
2015/10/26,390.0
2015/10/27,385.0
2015/10/28,375.0
2015/10/29,375.0
2015/10/30,370.0
2015/11/2,370.0
2015/11/3,370.0
2015/11/4,355.0
2015/11/5,350.0
2015/11/6,350.0
2015/11/9,345.0
2015/11/10,345.0
2015/11/11,345.0
2015/11/12,345.0
2015/11/13,345.0
2015/11/16,345.0
2015/11/17,345.0
2015/11/18,340.0
2015/11/19,335.0
2015/11/20,330.0
2015/11/23,330.0
2015/11/24,330.0
2015/11/25,325.0
2015/11/26,320.0
2015/11/27,320.0
2015/11/30,315.0
2015/12/1,310.0
2015/12/2,305.0
2015/12/3,300.0
2015/12/4,295.0
2015/12/7,290.0
2015/12/8,290.0
2015/12/9,285.0
2015/12/10,285.0
2015/12/11,285.0
2015/12/14,280.0
2015/12/15,280.0
2015/12/16,285.0
2015/12/17,285.0
2015/12/18,285.0
2015/12/21,295.0
2015/12/22,295.0
2015/12/23,295.0
2015/12/24,298.0
2015/12/25,300.0
2015/12/28,303.0
2015/12/29,308.0
2015/12/30,313.0
2015/12/31,315.0
2016/1/4,325.0
2016/1/5,322.0
2016/1/6,317.0
2016/1/7,317.0
2016/1/8,315.0
2016/1/11,315.0
2016/1/12,313.0
2016/1/13,310.0
2016/1/14,305.0
2016/1/15,305.0
2016/1/18,303.0
2016/1/19,310.0
2016/1/20,310.0
2016/1/21,310.0
2016/1/22,305.0
2016/1/25,305.0
2016/1/26,305.0
2016/1/27,305.0
2016/1/28,305.0
2016/1/29,308.0
2016/2/1,310.0
2016/2/2,310.0
2016/2/3,310.0
2016/2/4,320.0
2016/2/5,320.0
2016/2/15,325.0
2016/2/16,330.0
2016/2/17,330.0
2016/2/18,330.0
2016/2/19,338.0
2016/2/22,360.0
2016/2/23,365.0
2016/2/24,355.0
2016/2/25,353.0
2016/2/26,350.0
2016/2/29,345.0
2016/3/1,355.0
2016/3/2,365.0
2016/3/3,370.0
2016/3/4,370.0
2016/3/7,465.0
2016/3/8,475.0
2016/3/9,455.0
2016/3/10,435.0
2016/3/11,425.0
2016/3/14,420.0
2016/3/15,395.0
2016/3/16,390.0
2016/3/17,405.0
2016/3/18,410.0
2016/3/21,420.0
2016/3/22,415.0
2016/3/23,415.0
2016/3/24,405.0
2016/3/25,400.0
2016/3/28,400.0
2016/3/29,390.0
2016/3/30,390.0
2016/3/31,390.0
2016/4/1,395.0
2016/4/5,405.0
2016/4/6,400.0
2016/4/7,400.0
2016/4/8,400.0
2016/4/11,410.0
2016/4/12,415.0
2016/4/13,440.0
2016/4/14,435.0
2016/4/15,430.0
2016/4/18,440.0
2016/4/19,440.0
2016/4/20,470.0
2016/4/21,500.0
2016/4/22,500.0
2016/4/25,490.0
2016/4/26,480.0
2016/4/27,460.0
2016/4/28,480.0
2016/4/29,490.0
2016/5/3,485.0
2016/5/4,460.0
2016/5/5,450.0
2016/5/6,450.0
2016/5/9,430.0
2016/5/10,420.0
2016/5/11,415.0
2016/5/12,410.0
2016/5/13,400.0
2016/5/16,395.0
2016/5/17,405.0
2016/5/18,405.0
2016/5/19,395.0
2016/5/20,395.0
2016/5/23,375.0
2016/5/24,365.0
2016/5/25,365.0
2016/5/26,360.0
2016/5/27,360.0
2016/5/30,360.0
2016/5/31,350.0
2016/6/1,350.0
2016/6/2,350.0
2016/6/3,350.0
2016/6/6,360.0
2016/6/7,365.0
2016/6/8,365.0
2016/6/13,370.0
2016/6/14,365.0
2016/6/15,365.0
2016/6/16,365.0
2016/6/17,365.0
2016/6/20,365.0
2016/6/21,365.0
2016/6/22,370.0
2016/6/23,375.0
2016/6/24,375.0
2016/6/27,395.0
2016/6/28,395.0
2016/6/29,395.0
2016/6/30,400.0
2016/7/1,395.0
2016/7/4,405.0
2016/7/5,405.0
2016/7/6,405.0
2016/7/7,410.0
2016/7/8,410.0
2016/7/11,410.0
2016/7/12,420.0
2016/7/13,430.0
2016/7/14,425.0
2016/7/15,425.0
2016/7/18,415.0
2016/7/19,410.0
2016/7/20,400.0
2016/7/21,415.0
2016/7/22,415.0
2016/7/25,415.0
2016/7/26,425.0
2016/7/27,435.0
2016/7/28,435.0
2016/7/29,435.0
2016/8/1,440.0
2016/8/2,445.0
2016/8/3,445.0
2016/8/4,435.0
2016/8/5,440.0
2016/8/8,445.0
2016/8/9,445.0
2016/8/10,445.0
2016/8/11,435.0
2016/8/12,430.0
2016/8/15,430.0
2016/8/16,435.0
2016/8/17,435.0
2016/8/18,435.0
2016/8/19,435.0
2016/8/22,435.0
2016/8/23,435.0
2016/8/24,435.0
2016/8/25,430.0
2016/8/26,430.0
2016/8/29,430.0
2016/8/30,430.0
2016/8/31,430.0
2016/9/1,430.0
2016/9/2,435.0
2016/9/5,435.0
2016/9/6,430.0
2016/9/7,425.0
2016/9/8,425.0
2016/9/9,420.0
2016/9/12,420.0
2016/9/13,410.0
2016/9/14,410.0
2016/9/19,415.0
2016/9/20,420.0
2016/9/21,420.0
2016/9/22,420.0
2016/9/23,420.0
2016/9/26,420.0
2016/9/27,420.0
2016/9/28,420.0
2016/9/29,425.0
2016/9/30,420.0
2016/10/10,425.0
2016/10/11,435.0
2016/10/12,435.0
2016/10/13,435.0
2016/10/14,435.0
2016/10/17,445.0
2016/10/18,445.0
2016/10/19,450.0
2016/10/20,450.0
2016/10/21,450.0
2016/10/24,455.0
2016/10/25,460.0
2016/10/26,465.0
2016/10/27,465.0
2016/10/28,475.0
2016/10/31,475.0
2016/11/1,480.0
2016/11/2,480.0
2016/11/3,480.0
2016/11/4,480.0
2016/11/7,495.0
2016/11/8,505.0
2016/11/9,535.0
2016/11/10,565.0
2016/11/11,590.0
2016/11/14,595.0
2016/11/15,590.0
2016/11/16,580.0
2016/11/17,575.0
2016/11/18,570.0
2016/11/21,570.0
2016/11/22,590.0
2016/11/23,600.0
2016/11/24,610.0
2016/11/25,620.0
2016/11/28,635.0
2016/11/29,630.0
2016/11/30,610.0
2016/12/1,615.0
2016/12/2,615.0
2016/12/5,620.0
2016/12/6,620.0
2016/12/7,625.0
2016/12/8,625.0
2016/12/9,615.0
2016/12/12,640.0
2016/12/13,635.0
2016/12/14,625.0
2016/12/15,625.0
2016/12/16,625.0
2016/12/19,620.0
2016/12/20,615.0
2016/12/21,615.0
2016/12/22,610.0
2016/12/23,605.0
2016/12/26,600.0
2016/12/27,600.0
2016/12/28,605.0
2016/12/29,605.0
2016/12/30,600.0
2017/1/3,600.0
2017/1/4,600.0
2017/1/5,600.0
2017/1/6,600.0
2017/1/9,600.0
2017/1/10,605.0
2017/1/11,605.0
2017/1/12,605.0
2017/1/13,605.0
2017/1/16,625.0
2017/1/17,625.0
2017/1/18,620.0
2017/1/19,620.0
2017/1/20,615.0
2017/1/23,615.0
2017/1/24,625.0
2017/1/25,625.0
2017/1/26,625.0
2017/2/3,620.0
2017/2/6,610.0
2017/2/7,615.0
2017/2/8,620.0
2017/2/9,630.0
2017/2/10,640.0
2017/2/13,670.0
2017/2/14,675.0
2017/2/15,675.0
2017/2/16,675.0
2017/2/17,675.0
2017/2/20,680.0
2017/2/21,690.0
2017/2/22,685.0
2017/2/23,680.0
2017/2/24,670.0
2017/2/27,685.0
2017/2/28,675.0
2017/3/1,670.0
2017/3/2,670.0
2017/3/3,665.0
2017/3/6,655.0
2017/3/7,650.0
2017/3/8,650.0
2017/3/9,640.0
2017/3/10,640.0
2017/3/13,650.0
2017/3/14,650.0
2017/3/15,660.0
2017/3/16,660.0
2017/3/17,660.0
2017/3/20,665.0
2017/3/21,660.0
2017/3/22,640.0
2017/3/23,640.0
2017/3/24,640.0
2017/3/27,615.0
2017/3/28,605.0
2017/3/29,605.0
2017/3/30,605.0
2017/3/31,605.0
2017/4/5,595.0
2017/4/6,590.0
2017/4/7,575.0
2017/4/10,555.0
2017/4/11,545.0
2017/4/12,515.0
2017/4/13,490.0
2017/4/14,490.0
2017/4/17,470.0
2017/4/18,445.0
2017/4/19,445.0
2017/4/20,445.0
2017/4/21,470.0
2017/4/24,460.0
2017/4/25,460.0
2017/4/26,465.0
2017/4/27,470.0
2017/4/28,485.0
2017/5/2,495.0
2017/5/3,485.0
2017/5/4,455.0
2017/5/5,440.0
2017/5/8,440.0
2017/5/9,440.0
2017/5/10,445.0
2017/5/11,435.0
2017/5/12,425.0
2017/5/15,425.0
2017/5/16,425.0
2017/5/17,440.0
2017/5/18,435.0
2017/5/19,445.0
2017/5/22,455.0
2017/5/23,445.0
2017/5/24,430.0
2017/5/25,425.0
2017/5/26,425.0
2017/5/31,410.0
2017/6/1,405.0
2017/6/2,410.0
2017/6/5,410.0
2017/6/6,410.0
2017/6/7,410.0
2017/6/8,405.0
2017/6/9,405.0
2017/6/12,402.0
2017/6/13,397.0
2017/6/14,397.0
2017/6/15,397.0
2017/6/16,397.0
2017/6/19,397.0
2017/6/20,397.0
2017/6/21,397.0
2017/6/22,397.0
2017/6/23,397.0
2017/6/26,397.0
2017/6/27,410.0
2017/6/28,420.0
2017/6/29,440.0
2017/6/30,435.0
2017/7/3,435.0
2017/7/4,430.0
2017/7/5,430.0
2017/7/6,430.0
2017/7/7,437.0
2017/7/10,437.0
2017/7/11,437.0
2017/7/12,447.0
2017/7/13,447.0
2017/7/14,442.0
2017/7/17,454.0
2017/7/18,475.0
2017/7/19,475.0
2017/7/20,478.0
2017/7/21,475.0
2017/7/24,475.0
2017/7/25,485.0
2017/7/26,478.0
2017/7/27,483.0
2017/7/28,483.0
2017/7/31,510.0
2017/8/1,510.0
2017/8/2,510.0
2017/8/3,515.0
2017/8/4,520.0
2017/8/7,545.0
2017/8/8,540.0
2017/8/9,545.0
2017/8/10,548.0
2017/8/11,535.0
2017/8/14,535.0
2017/8/15,530.0
2017/8/16,525.0
2017/8/17,545.0
2017/8/18,550.0
2017/8/21,560.0
2017/8/22,560.0
2017/8/23,535.0
2017/8/24,542.0
2017/8/25,542.0
2017/8/28,537.0
2017/8/29,530.0
2017/8/30,530.0
2017/8/31,540.0
2017/9/1,548.0
2017/9/4,540.0
2017/9/5,540.0
2017/9/6,531.0
2017/9/7,528.0
2017/9/8,523.0
2017/9/11,525.0
2017/9/12,528.0
2017/9/13,533.0
2017/9/14,523.0
2017/9/15,518.0
2017/9/18,518.0
2017/9/19,515.0
2017/9/20,505.0
2017/9/21,490.0
2017/9/22,470.0
2017/9/25,465.0
2017/9/26,455.0
2017/9/27,455.0
2017/9/28,447.0
2017/9/29,447.0
2017/10/9,453.0
2017/10/10,443.0
2017/10/11,440.0
2017/10/12,435.0
2017/10/13,437.0
2017/10/16,442.0
2017/10/17,437.0
2017/10/18,437.0
2017/10/19,427.0
2017/10/20,437.0
2017/10/23,437.0
2017/10/24,437.0
2017/10/25,437.0
2017/10/26,434.0
2017/10/27,424.0
