date,ave_corr
2014/5/26,-0.120797177
2014/5/27,-0.116898809
2014/5/28,-0.119370837
2014/5/29,-0.11425083
2014/5/30,-0.105606696
2014/6/3,-0.095389856
2014/6/4,-0.080066268
2014/6/5,-0.077785235
2014/6/6,-0.04834955
2014/6/9,-0.043883671
2014/6/10,-0.037305234
2014/6/11,-0.019777007
2014/6/12,-0.010709896
2014/6/13,-0.009717175
2014/6/16,-0.009540308
2014/6/17,0.001054139
2014/6/18,0.013321575
2014/6/19,0.020180312
2014/6/20,0.022902327
2014/6/23,0.022732233
2014/6/24,0.023202131
2014/6/25,0.022373755
2014/6/26,0.023885242
2014/6/27,0.024393729
2014/6/30,0.023462746
2014/7/1,0.02037458
2014/7/2,0.024835294
2014/7/3,0.030204223
2014/7/4,0.032235328
2014/7/7,0.039096177
2014/7/8,0.048271073
2014/7/9,0.061726226
2014/7/10,0.074328876
2014/7/11,0.076442661
2014/7/14,0.074200045
2014/7/15,0.065562937
2014/7/16,0.060392199
2014/7/17,0.058055135
2014/7/18,0.056009002
2014/7/21,0.051628585
2014/7/22,0.04506341
2014/7/23,0.040836848
2014/7/24,0.03628275
2014/7/25,0.034863548
2014/7/28,0.035527506
2014/7/29,0.039846149
2014/7/30,0.043810908
2014/7/31,0.045843443
2014/8/1,0.066232927
2014/8/4,0.079423181
2014/8/5,0.089571339
2014/8/6,0.094134908
2014/8/7,0.097063759
2014/8/8,0.098059834
2014/8/11,0.096124623
2014/8/12,0.091888862
2014/8/13,0.083387579
2014/8/14,0.077987556
2014/8/15,0.071444485
2014/8/18,0.060817883
2014/8/19,0.050293065
2014/8/20,0.045714661
2014/8/21,0.035884642
2014/8/22,0.029648818
2014/8/25,0.027313801
2014/8/26,0.02635093
2014/8/27,0.027551738
2014/8/28,0.026703762
2014/8/29,0.027998043
2014/9/1,0.030240529
2014/9/2,0.035974435
2014/9/3,0.037055144
2014/9/4,0.038677628
2014/9/5,0.037864996
2014/9/9,0.035572971
2014/9/10,0.03643148
2014/9/11,0.035618471
2014/9/12,0.030085294
2014/9/15,0.030133345
2014/9/16,0.027205732
2014/9/17,0.025172793
2014/9/18,0.022019139
2014/9/19,0.020999227
2014/9/22,0.022059533
2014/9/23,0.017623317
2014/9/24,0.017247753
2014/9/25,0.015028718
2014/9/26,0.015679027
2014/9/29,0.019114867
2014/9/30,0.022093952
2014/10/8,0.021843044
2014/10/9,0.019297652
2014/10/10,0.008936192
2014/10/13,-0.001403484
2014/10/14,-0.012327289
2014/10/15,-0.017076634
2014/10/16,-0.022378951
2014/10/17,-0.023818769
2014/10/20,-0.017250894
2014/10/21,-0.019380796
2014/10/22,-0.018921045
2014/10/23,-0.014747122
2014/10/24,-0.017313227
2014/10/27,-0.01801535
2014/10/28,-0.028602163
2014/10/29,-0.0426507
2014/10/30,-0.064123504
2014/10/31,-0.089771821
2014/11/3,-0.095762554
2014/11/4,-0.092434151
2014/11/5,-0.089077805
2014/11/6,-0.083031222
2014/11/7,-0.080793618
2014/11/10,-0.079574234
2014/11/11,-0.072943018
2014/11/12,-0.062555397
2014/11/13,-0.051032124
2014/11/14,-0.028293201
2014/11/17,0.003993842
2014/11/18,0.037113189
2014/11/19,0.094893352
2014/11/20,0.201565516
2014/11/21,0.303910108
2014/11/24,0.363746204
2014/11/25,0.425826844
2014/11/26,0.485494051
2014/11/27,0.534845671
2014/11/28,0.574864877
2014/12/1,0.577805932
2014/12/2,0.584541285
2014/12/3,0.590462431
2014/12/4,0.592737656
2014/12/5,0.593798127
2014/12/8,0.597701974
2014/12/9,0.600433798
2014/12/10,0.600966735
2014/12/11,0.598341769
2014/12/12,0.596237256
2014/12/15,0.599328785
2014/12/16,0.602511425
2014/12/17,0.607830879
2014/12/18,0.618238656
2014/12/19,0.630673979
2014/12/22,0.641707376
2014/12/23,0.650371632
2014/12/24,0.657621748
2014/12/25,0.665478285
2014/12/26,0.673811805
2014/12/29,0.681477813
2014/12/30,0.687373353
2014/12/31,0.694153572
2015/1/5,0.699798934
2015/1/6,0.70567562
2015/1/7,0.712195438
2015/1/8,0.719337515
2015/1/9,0.727449846
2015/1/12,0.734933182
2015/1/13,0.736325571
2015/1/14,0.739357889
2015/1/15,0.745028565
2015/1/16,0.748212786
2015/1/19,0.751282386
2015/1/20,0.750632021
2015/1/21,0.747926933
2015/1/22,0.748198551
2015/1/23,0.750663405
2015/1/26,0.752563365
2015/1/27,0.754710549
2015/1/28,0.757796427
2015/1/29,0.760051168
2015/1/30,0.760570411
2015/2/2,0.762516163
2015/2/3,0.765786774
2015/2/4,0.769112551
2015/2/5,0.772905144
2015/2/6,0.775429269
2015/2/9,0.777518471
2015/2/10,0.778149153
2015/2/11,0.777078673
2015/2/12,0.773861207
2015/2/13,0.766587234
2015/2/16,0.750241272
2015/2/17,0.724938444
2015/2/25,0.704360285
2015/2/26,0.666324325
2015/2/27,0.608309342
2015/3/2,0.513732102
2015/3/3,0.290930572
2015/3/4,0.25160466
2015/3/5,0.21915605
2015/3/6,0.196258155
2015/3/9,0.154158494
2015/3/10,0.11145942
2015/3/11,0.089126197
2015/3/12,0.091400963
2015/3/13,0.099748972
2015/3/16,0.11644858
2015/3/17,0.132313646
2015/3/18,0.140922322
2015/3/19,0.136478068
2015/3/20,0.125541667
2015/3/23,0.118683644
2015/3/24,0.11868624
2015/3/25,0.12094743
2015/3/26,0.122929984
2015/3/27,0.123400741
2015/3/30,0.125905238
2015/3/31,0.123487563
2015/4/1,0.130442313
2015/4/2,0.120610203
2015/4/3,0.119772907
2015/4/6,0.117235292
2015/4/7,0.128963279
2015/4/8,0.172779074
2015/4/9,0.224552533
2015/4/10,0.245961006
2015/4/13,0.261483796
2015/4/14,0.274687549
2015/4/15,0.287157972
2015/4/16,0.298857641
2015/4/17,0.310791524
2015/4/20,0.322658136
2015/4/21,0.325890117
2015/4/22,0.331867653
2015/4/23,0.33702744
2015/4/24,0.345090137
2015/4/27,0.350737219
2015/4/28,0.350226847
2015/4/29,0.345900303
2015/4/30,0.341049395
2015/5/4,0.340789726
2015/5/5,0.331642945
2015/5/6,0.321231309
2015/5/7,0.301158318
2015/5/8,0.271267989
2015/5/11,0.242928925
2015/5/12,0.201164389
2015/5/13,0.162044499
2015/5/14,0.116105263
2015/5/15,0.078153617
2015/5/18,0.050924856
2015/5/19,0.037784577
2015/5/20,0.011300151
2015/5/21,-0.02408845
2015/5/22,-0.038407485
2015/5/25,-0.035904915
2015/5/26,-0.039499836
2015/5/27,-0.040233572
2015/5/28,-0.032342534
2015/5/29,-0.027411725
2015/6/1,-0.024214699
2015/6/2,-0.015116913
2015/6/3,-0.002658767
2015/6/4,-0.005485237
2015/6/5,-0.011350341
2015/6/8,-0.00674804
2015/6/9,-0.003503936
2015/6/10,-0.00443981
2015/6/11,-0.015469422
2015/6/12,-0.008170618
2015/6/15,-0.005030042
2015/6/16,-0.009538654
2015/6/17,-0.006872979
2015/6/18,-0.014033253
2015/6/19,-0.016039126
2015/6/23,-0.014228172
2015/6/24,-0.003017749
2015/6/25,0.04779445
2015/6/26,0.036818334
2015/6/29,0.034635648
2015/6/30,0.036338202
2015/7/1,0.037354163
2015/7/2,0.036638776
2015/7/3,0.045595461
2015/7/6,0.049247281
2015/7/7,0.052872205
2015/7/8,0.058525484
2015/7/9,0.054486819
2015/7/10,0.055006568
2015/7/13,0.065410733
2015/7/14,0.089837536
2015/7/15,0.10519384
2015/7/16,0.123518943
2015/7/17,0.133207464
2015/7/20,0.149588796
2015/7/21,0.147494699
2015/7/22,0.146029266
2015/7/23,0.128037049
2015/7/24,0.147506785
2015/7/27,0.216273266
2015/7/28,0.235647898
2015/7/29,0.270693149
2015/7/30,0.279990257
2015/7/31,0.297041668
2015/8/3,0.256485684
2015/8/4,0.238195051
2015/8/5,0.221534764
2015/8/6,0.204486155
2015/8/7,0.192176987
2015/8/10,0.181298438
2015/8/11,0.174013722
2015/8/12,0.17202001
2015/8/13,0.171822503
2015/8/14,0.171428358
2015/8/17,0.170180586
2015/8/18,0.1671356
2015/8/19,0.159720025
2015/8/20,0.155039271
2015/8/21,0.147025514
2015/8/24,0.142223509
2015/8/25,0.136957344
2015/8/26,0.133791457
2015/8/27,0.123077771
2015/8/28,0.109278125
2015/8/31,0.094287438
2015/9/1,0.088228262
2015/9/2,0.078778479
2015/9/7,0.066956199
2015/9/8,0.044493374
2015/9/9,0.03113931
2015/9/10,0.021432404
2015/9/11,0.020557478
2015/9/14,0.024955594
2015/9/15,0.032402095
2015/9/16,0.035338985
2015/9/17,0.036759587
2015/9/18,0.035984661
2015/9/21,0.033362274
2015/9/22,0.026550748
2015/9/23,0.02938347
2015/9/24,0.0288742
2015/9/25,0.029786906
2015/9/28,0.030436697
2015/9/29,0.033925544
2015/9/30,0.03525363
2015/10/8,0.04474777
2015/10/9,0.048903103
2015/10/12,0.055942335
2015/10/13,0.060189998
2015/10/14,0.064738427
2015/10/15,0.064384645
2015/10/16,0.070685865
2015/10/19,0.076029823
2015/10/20,0.080299528
2015/10/21,0.083684118
2015/10/22,0.090620821
2015/10/23,0.090065748
2015/10/26,0.095581482
2015/10/27,0.083436047
2015/10/28,0.042115792
2015/10/29,0.033395797
2015/10/30,-0.006436667
2015/11/2,-0.010675917
2015/11/3,-0.043203378
2015/11/4,-0.027307728
2015/11/5,-0.000699942
2015/11/6,0.055974812
2015/11/9,0.103187725
2015/11/10,0.133273181
2015/11/11,0.17400446
2015/11/12,0.212798459
2015/11/13,0.271935267
2015/11/16,0.356277262
2015/11/17,0.400458434
2015/11/18,0.463444757
2015/11/19,0.529936728
2015/11/20,0.592770896
2015/11/23,0.638528343
2015/11/24,0.647296292
2015/11/25,0.652417687
2015/11/26,0.643930622
2015/11/27,0.653972532
2015/11/30,0.649926793
2015/12/1,0.64826009
2015/12/2,0.646901273
2015/12/3,0.64488678
2015/12/4,0.643514216
2015/12/7,0.640724617
2015/12/8,0.636959411
2015/12/9,0.63199219
2015/12/10,0.623840748
2015/12/11,0.614050315
2015/12/14,0.59940406
2015/12/15,0.579596433
2015/12/16,0.562625874
2015/12/17,0.543035142
2015/12/18,0.527255318
2015/12/21,0.512526228
2015/12/22,0.497032645
2015/12/23,0.494293905
2015/12/24,0.489338588
2015/12/25,0.487663231
2015/12/28,0.487549174
2015/12/29,0.478943623
2015/12/30,0.475839466
2015/12/31,0.475687017
2016/1/4,0.480625997
2016/1/5,0.477931548
2016/1/6,0.47217926
2016/1/7,0.467033131
2016/1/8,0.465559427
2016/1/11,0.464646315
2016/1/12,0.461273824
2016/1/13,0.459144244
2016/1/14,0.458726536
2016/1/15,0.459918688
2016/1/18,0.47132126
2016/1/19,0.474021078
2016/1/20,0.469653757
2016/1/21,0.462339423
2016/1/22,0.45306924
2016/1/25,0.454793308
2016/1/26,0.466544439
2016/1/27,0.4719645
2016/1/28,0.477088342
2016/1/29,0.475711408
2016/2/1,0.474560435
2016/2/2,0.4785714
2016/2/3,0.485822794
2016/2/4,0.499173099
2016/2/5,0.510691765
2016/2/15,0.518389675
2016/2/16,0.512119444
2016/2/17,0.515619265
