date,L_PP
2015/6/24,-275
2015/6/25,-175
2015/6/26,-75
2015/6/29,-75
2015/6/30,-75
2015/7/1,-175
2015/7/2,-150
2015/7/3,-150
2015/7/6,-50
2015/7/7,-200
2015/7/8,25
2015/7/9,-150
2015/7/10,-100
2015/7/13,-100
2015/7/14,-100
2015/7/15,-50
2015/7/16,-50
2015/7/17,-25
2015/7/20,-25
2015/7/21,25
2015/7/22,5
2015/7/23,25
2015/7/24,25
2015/7/27,100
2015/7/28,175
2015/7/29,-25
2015/7/30,-25
2015/7/31,-50
2015/8/3,55
2015/8/4,175
2015/8/5,225
2015/8/6,275
2015/8/7,300
2015/8/10,425
2015/8/11,475
2015/8/12,325
2015/8/13,275
2015/8/14,25
2015/8/17,-100
2015/8/18,-275
2015/8/19,0
2015/8/20,0
2015/8/21,-25
2015/8/24,-175
2015/8/25,-150
2015/8/26,-100
2015/8/27,-175
2015/8/28,-125
2015/8/31,-50
2015/9/1,-25
2015/9/2,-75
2015/9/7,-425
2015/9/8,-575
2015/9/9,-450
2015/9/10,-375
2015/9/11,-300
2015/9/14,-550
2015/9/15,-600
2015/9/16,-450
2015/9/17,-450
2015/9/18,-500
2015/9/21,-450
2015/9/22,-400
2015/9/23,-350
2015/9/24,-350
2015/9/25,-400
2015/9/28,-450
2015/9/29,-650
2015/9/30,-600
2015/10/8,-600
2015/10/9,-550
2015/10/12,-700
2015/10/13,-800
2015/10/14,-900
2015/10/15,-1000
2015/10/16,-1050
2015/10/19,-1150
2015/10/20,-1100
2015/10/21,-1050
2015/10/22,-1350
2015/10/23,-1250
2015/10/26,-1050
2015/10/27,-1000
2015/10/28,-1100
2015/10/29,-1050
2015/10/30,-1150
2015/11/2,-1250
2015/11/3,-1350
2015/11/4,-1300
2015/11/5,-1350
2015/11/6,-1200
2015/11/9,-1450
2015/11/10,-1300
2015/11/11,-1450
2015/11/12,-1550
2015/11/13,-1650
2015/11/16,-1800
2015/11/17,-1880
2015/11/18,-1700
2015/11/19,-1550
2015/11/20,-1700
2015/11/23,-2000
2015/11/24,-1950
2015/11/25,-2200
2015/11/26,-2000
2015/11/27,-1850
2015/11/30,-1850
2015/12/1,-2050
2015/12/2,-2250
2015/12/3,-2300
2015/12/4,-2330
2015/12/7,-2150
2015/12/8,-2000
2015/12/9,-1950
2015/12/10,-1950
2015/12/11,-2050
2015/12/14,-2050
2015/12/15,-1900
2015/12/16,-1800
2015/12/17,-1750
2015/12/18,-1675
2015/12/21,-1900
2015/12/22,-1800
2015/12/23,-1700
2015/12/24,-1750
2015/12/25,-1700
2015/12/28,-1800
2015/12/29,-1950
2015/12/30,-1950
2015/12/31,-2000
2016/1/4,-2450
2016/1/5,-2510
2016/1/6,-2600
2016/1/7,-2050
2016/1/8,-2100
2016/1/11,-2000
2016/1/12,-1880
2016/1/13,-1830
2016/1/14,-1700
2016/1/15,-1580
2016/1/18,-1680
2016/1/19,-1700
2016/1/20,-1550
2016/1/21,-1400
2016/1/22,-1400
2016/1/25,-1350
2016/1/26,-1100
2016/1/27,-1350
2016/1/28,-1400
2016/1/29,-1350
2016/2/1,-1380
2016/2/2,-1380
2016/2/3,-1400
2016/2/4,-1400
2016/2/5,-1350
2016/2/15,-1280
2016/2/16,-1230
2016/2/17,-1250
2016/2/18,-930
2016/2/19,-980
2016/2/22,-1110
2016/2/23,-1090
2016/2/24,-1040
2016/2/25,-1080
2016/2/26,-980
2016/2/29,-900
2016/3/1,-940
2016/3/2,-970
2016/3/3,-1070
2016/3/4,-850
2016/3/7,-695
