date,L_PP
2016/3/8,-675
2016/3/9,-600
2016/3/10,-650
2016/3/11,-700
2016/3/14,-700
2016/3/15,-750
2016/3/16,-800
2016/3/17,-650
2016/3/18,-700
2016/3/21,-600
2016/3/22,-800
2016/3/23,-710
2016/3/24,-630
2016/3/25,-700
2016/3/28,-880
2016/3/29,-800
2016/3/30,-750
2016/3/31,-780
2016/4/1,-900
2016/4/5,-750
2016/4/6,-1100
2016/4/7,-1000
2016/4/8,-1130
2016/4/11,-1050
2016/4/12,-1100
2016/4/13,-1090
2016/4/14,-1020
2016/4/15,-1100
2016/4/18,-970
2016/4/19,-940
2016/4/20,-1010
2016/4/21,-1120
2016/4/22,-1110
2016/4/25,-950
2016/4/26,-850
2016/4/27,-730
2016/4/28,-950
2016/4/29,-900
2016/5/3,-970
2016/5/4,-1060
2016/5/5,-930
2016/5/6,-930
2016/5/9,-890
2016/5/10,-1010
2016/5/11,-780
2016/5/12,-720
2016/5/13,-800
2016/5/16,-730
2016/5/17,-770
2016/5/18,-760
2016/5/19,-840
2016/5/20,-850
2016/5/23,-940
2016/5/24,-850
2016/5/25,-840
2016/5/26,-660
2016/5/27,-760
2016/5/30,-730
2016/5/31,-600
2016/6/1,-705
2016/6/2,-660
2016/6/3,-590
2016/6/6,-720
2016/6/7,-680
2016/6/8,-800
2016/6/13,-700
2016/6/14,-750
2016/6/15,-710
2016/6/16,-740
2016/6/17,-710
2016/6/20,-720
2016/6/21,-600
2016/6/22,-570
2016/6/23,-510
2016/6/24,-400
2016/6/27,-320
2016/6/28,-270
2016/6/29,-380
2016/6/30,-400
2016/7/1,-500
2016/7/4,-150
2016/7/5,-250
2016/7/6,-200
2016/7/7,-150
2016/7/8,-200
2016/7/11,-70
2016/7/12,-30
2016/7/13,-70
2016/7/14,0
2016/7/15,-50
2016/7/18,-170
2016/7/19,-180
2016/7/20,70
2016/7/21,120
2016/7/22,100
2016/7/25,70
2016/7/26,180
2016/7/27,120
2016/7/28,190
2016/7/29,160
2016/8/1,70
2016/8/2,70
2016/8/3,70
2016/8/4,180
2016/8/5,150
2016/8/8,150
2016/8/9,100
2016/8/10,-50
2016/8/11,-70
2016/8/12,-50
2016/8/15,-150
2016/8/16,-150
2016/8/17,-170
2016/8/18,-200
2016/8/19,-370
2016/8/22,-450
2016/8/23,-450
2016/8/24,-400
2016/8/25,-500
2016/8/26,-550
2016/8/29,-520
2016/8/30,-550
2016/8/31,-580
2016/9/1,-550
2016/9/2,-550
2016/9/5,-430
2016/9/6,-350
2016/9/7,-300
2016/9/8,-370
2016/9/9,-400
2016/9/12,-430
2016/9/13,-550
2016/9/14,-500
2016/9/18,-550
2016/9/19,-500
2016/9/20,-580
2016/9/21,-500
2016/9/22,-350
2016/9/23,-500
2016/9/26,-480
2016/9/27,-430
2016/9/28,-430
2016/9/29,-680
2016/9/30,-610
2016/10/8,-670
2016/10/9,-670
2016/10/10,-890
2016/10/11,-800
2016/10/12,-850
2016/10/13,-1020
2016/10/14,-1180
2016/10/17,-1100
2016/10/18,-1120
2016/10/19,-910
2016/10/20,-880
2016/10/21,-950
2016/10/24,-950
2016/10/25,-850
2016/10/26,-1130
2016/10/27,-1250
2016/10/28,-1200
2016/10/31,-1020
2016/11/1,-1350
2016/11/2,-1570
2016/11/3,-1550
2016/11/4,-1680
2016/11/7,-1560
2016/11/8,-1450
2016/11/9,-1300
2016/11/10,-1270
2016/11/11,-1120
2016/11/14,-1410
2016/11/15,-1560
2016/11/16,-1350
2016/11/17,-1350
2016/11/18,-1500
2016/11/21,-1190
2016/11/22,-1070
2016/11/23,-1200
2016/11/24,-1100
2016/11/25,-1100
2016/11/28,-1100
2016/11/29,-1130
2016/11/30,-1210
2016/12/1,-1080
2016/12/2,-990
2016/12/5,-980
2016/12/6,-980
2016/12/7,-900
2016/12/8,-1120
2016/12/9,-1050
2016/12/12,-950
2016/12/13,-1000
2016/12/14,-850
2016/12/15,-950
2016/12/16,-950
2016/12/19,-1020
2016/12/20,-1170
2016/12/21,-920
2016/12/22,-1120
2016/12/23,-1280
2016/12/26,-1150
2016/12/27,-1100
2016/12/28,-960
2016/12/29,-1060
2016/12/30,-1250
2017/1/3,-1330
2017/1/4,-1200
2017/1/5,-1330
2017/1/6,-1350
2017/1/9,-1250
2017/1/10,-1270
2017/1/11,-1190
2017/1/12,-1070
2017/1/13,-1000
2017/1/16,-880
2017/1/17,-925
2017/1/18,-900
2017/1/19,-870
2017/1/20,-770
2017/1/23,-750
2017/1/24,-650
2017/1/25,-600
2017/1/26,-550
2017/2/3,-550
2017/2/6,-400
2017/2/7,-350
2017/2/8,-630
2017/2/9,-500
2017/2/10,-470
2017/2/13,-490
2017/2/14,-570
2017/2/15,-400
2017/2/16,-350
2017/2/17,-320
2017/2/20,-350
2017/2/21,-320
2017/2/22,-250
2017/2/23,0
2017/2/24,-20
2017/2/27,-10
2017/2/28,-230
2017/3/1,-230
2017/3/2,-100
2017/3/3,-50
2017/3/6,0
2017/3/7,-50
2017/3/8,250
2017/3/9,100
2017/3/10,280
2017/3/13,450
2017/3/14,350
2017/3/15,350
2017/3/16,350
2017/3/17,400
2017/3/20,230
2017/3/21,220
2017/3/22,300
2017/3/23,350
2017/3/24,410
2017/3/27,300
2017/3/28,400
2017/3/29,470
2017/3/30,460
2017/3/31,370
2017/4/5,410
2017/4/6,350
2017/4/7,300
2017/4/10,10
2017/4/11,50
2017/4/12,150
2017/4/13,130
2017/4/14,250
2017/4/17,180
2017/4/18,150
2017/4/19,250
2017/4/20,200
2017/4/21,300
2017/4/24,300
2017/4/25,400
2017/4/26,350
2017/4/27,370
2017/4/28,350
2017/5/2,270
2017/5/3,300
2017/5/4,200
2017/5/5,200
2017/5/8,270
2017/5/9,320
2017/5/10,200
2017/5/11,150
2017/5/12,70
2017/5/15,150
2017/5/16,-30
2017/5/17,-100
2017/5/18,-80
2017/5/19,-250
2017/5/22,-230
2017/5/23,-230
2017/5/24,-300
2017/5/25,-280
2017/5/26,-220
2017/5/31,-300
2017/6/1,-300
2017/6/2,-270
2017/6/5,-300
2017/6/6,-250
2017/6/7,-250
2017/6/8,-350
2017/6/9,-370
2017/6/12,-450
2017/6/13,-600
2017/6/14,-550
2017/6/15,-490
2017/6/16,-650
2017/6/19,-600
2017/6/20,-540
2017/6/21,-620
2017/6/22,-610
2017/6/23,-730
2017/6/26,-600
2017/6/27,-650
2017/6/28,-720
2017/6/29,-650
2017/6/30,-600
2017/7/3,-600
2017/7/4,-580
2017/7/5,-560
2017/7/6,-600
2017/7/7,-590
2017/7/10,-490
2017/7/11,-580
2017/7/12,-500
2017/7/13,-500
2017/7/14,-500
2017/7/17,-450
2017/7/18,-420
2017/7/19,-450
2017/7/20,-400
2017/7/21,-300
2017/7/24,-500
2017/7/25,-600
2017/7/26,-410
2017/7/27,-500
2017/7/28,-490
2017/7/31,-470
2017/8/1,-500
2017/8/2,-500
2017/8/3,-480
2017/8/4,-550
2017/8/7,-700
2017/8/8,-550
2017/8/9,-550
2017/8/10,-520
2017/8/11,-370
2017/8/14,-480
2017/8/15,-394.35
2017/8/16,-410
2017/8/17,-450
2017/8/18,-470
2017/8/21,-420
2017/8/22,-390
2017/8/23,-350
2017/8/24,-350
2017/8/25,-300
2017/8/28,-300
2017/8/29,-350
2017/8/30,-350
2017/8/31,-350
2017/9/1,-250
2017/9/4,-500
2017/9/5,-550
2017/9/6,-480
2017/9/7,-310
2017/9/8,-450
2017/9/11,-400
2017/9/12,-400
2017/9/13,-430
2017/9/14,-100
2017/9/15,-130
2017/9/18,-350
2017/9/19,-270
2017/9/20,-270
2017/9/21,-100
2017/9/22,-200
2017/9/25,-200
2017/9/26,-100
2017/9/27,-160
2017/9/28,-100
2017/9/29,-50
2017/10/9,-200
2017/10/10,-220
2017/10/11,-120
2017/10/12,-120
2017/10/13,-220
2017/10/16,-250
2017/10/17,-250
2017/10/18,-300
2017/10/19,-250
2017/10/20,-290
2017/10/23,-370
2017/10/24,-450
2017/10/25,-470
2017/10/26,-450
2017/10/27,-410
2017/10/30,-450
2017/10/31,-550
2017/11/1,-620
2017/11/2,-620
2017/11/3,-650
2017/11/6,-430
2017/11/7,-500
2017/11/8,-400
2017/11/9,-530
2017/11/10,-480
2017/11/13,-570
2017/11/14,-480
2017/11/15,-400
2017/11/16,-450
2017/11/17,-370
2017/11/20,-500
2017/11/21,-350
2017/11/22,-480
2017/11/23,-440
2017/11/24,-420
2017/11/27,-300
2017/11/28,-520
2017/11/29,-530
2017/11/30,-340
2017/12/1,-200
2017/12/4,-380
2017/12/5,-320
2017/12/6,-320
2017/12/7,-300
2017/12/8,-570
2017/12/11,-390
2017/12/12,-320
2017/12/13,-370
2017/12/14,-330
2017/12/15,-260
2017/12/18,-310
2017/12/19,-170
2017/12/20,-190
2017/12/21,-380
2017/12/22,-300
2017/12/25,-130
2017/12/26,-330
2017/12/27,-370
2017/12/28,-400
2017/12/29,-270
2018/1/2,-300
2018/1/3,-200
2018/1/4,-100
2018/1/5,-150
2018/1/8,-250
2018/1/9,-250
2018/1/10,-250
2018/1/11,-200
2018/1/12,-200
2018/1/15,-180
2018/1/16,50
2018/1/17,200
2018/1/18,0
2018/1/19,50
2018/1/22,50
2018/1/23,0
2018/1/24,50
2018/1/25,0
2018/1/26,0
2018/1/29,80
2018/1/30,130
2018/1/31,230
2018/2/1,180
2018/2/2,160
2018/2/5,310
2018/2/6,280
2018/2/7,280
2018/2/8,310
2018/2/9,170
2018/2/12,50
2018/2/13,50
2018/2/14,50
2018/2/22,225
2018/2/23,330
2018/2/26,320
2018/2/27,370
2018/2/28,400
2018/3/1,250
2018/3/2,220
2018/3/5,200
2018/3/6,270
2018/3/7,380
2018/3/8,310
2018/3/9,270
2018/3/12,230
2018/3/13,210
2018/3/14,130
2018/3/15,100
2018/3/16,60
2018/3/19,-40
2018/3/20,-25
2018/3/21,-35
2018/3/22,0
2018/3/23,0
2018/3/26,-10
2018/3/27,-120
2018/3/28,-220
2018/3/29,120
2018/3/30,-200
2018/4/2,-180
2018/4/3,-220
2018/4/4,-220
2018/4/9,-200
2018/4/10,-180
2018/4/11,-250
2018/4/12,-230
2018/4/13,-230
2018/4/16,-250
2018/4/17,-230
2018/4/18,-230
2018/4/19,-440
2018/4/20,-370
2018/4/23,-550
2018/4/24,-700
2018/4/25,-700
2018/4/26,-750
2018/4/27,-670
2018/5/2,-680
2018/5/3,-650
2018/5/4,-730
2018/5/7,-730
2018/5/8,-780
2018/5/9,-900
2018/5/10,-700
2018/5/11,-730
2018/5/14,-830
2018/5/15,-750
2018/5/16,-720
2018/5/17,-650
2018/5/18,-550
2018/5/21,-530
2018/5/22,-620
2018/5/23,-550
2018/5/24,-410
2018/5/25,-500
2018/5/28,-500
2018/5/29,-420
2018/5/30,-400
2018/5/31,-400
2018/6/1,-380
2018/6/4,-480
2018/6/5,-490
2018/6/6,-530
2018/6/7,-550
2018/6/8,-430
2018/6/11,-350
2018/6/12,-400
2018/6/13,-460
2018/6/14,-560
2018/6/15,-470
2018/6/19,-470
2018/6/20,-370
2018/6/21,-410
2018/6/22,-350
2018/6/25,-380
2018/6/26,-450
2018/6/27,-490
2018/6/28,-480
2018/6/29,-450
2018/7/2,-400
2018/7/3,-420
2018/7/4,-400
2018/7/5,-500
2018/7/6,-500
2018/7/9,-400
2018/7/10,-470
2018/7/11,-430
2018/7/12,-270
2018/7/13,-270
2018/7/16,-330
2018/7/17,-295
2018/7/18,-280
2018/7/19,-280
2018/7/20,-150
2018/7/23,-80
2018/7/24,-10
2018/7/25,-50
2018/7/26,0
2018/7/27,-40
2018/7/30,20
2018/7/31,80
2018/8/1,60
2018/8/2,0
2018/8/3,-200
2018/8/6,-50
2018/8/7,-100
2018/8/8,-70
2018/8/9,-70
2018/8/10,-170
2018/8/13,-180
2018/8/14,-50
2018/8/15,-50
2018/8/16,-160
2018/8/17,-110
2018/8/20,-80
2018/8/21,-160
2018/8/22,-40
2018/8/23,-150
2018/8/24,20
2018/8/27,80
2018/8/28,0
2018/8/29,120
2018/8/30,50
2018/8/31,280
2018/9/3,170
2018/9/4,130
2018/9/5,130
2018/9/6,110
2018/9/7,140
2018/9/10,40
2018/9/11,40
2018/9/12,40
2018/9/13,10
2018/9/14,-80
2018/9/17,180
2018/9/18,50
2018/9/19,100
2018/9/20,150
2018/9/21,150
2018/9/25,80
2018/9/26,200
2018/9/27,0
2018/9/28,80
2018/10/8,320
2018/10/9,470
2018/10/10,530
2018/10/11,620
2018/10/12,600
2018/10/15,550
2018/10/16,700
2018/10/17,620
2018/10/18,700
2018/10/19,800
2018/10/22,870
2018/10/23,780
2018/10/24,850
2018/10/25,830
2018/10/26,950
2018/10/29,950
2018/10/30,950
2018/10/31,830
2018/11/1,900
2018/11/2,820
2018/11/5,780
2018/11/6,750
2018/11/7,630
2018/11/8,630
2018/11/9,660
2018/11/12,410
2018/11/13,80
2018/11/14,-190
2018/11/15,-150
2018/11/16,-210
2018/11/19,-340
2018/11/20,-270
2018/11/21,-580
2018/11/22,-400
2018/11/23,-350
2018/11/26,-600
2018/11/27,-430
2018/11/28,-700
2018/11/29,-650
2018/11/30,-850
2018/12/3,-880
2018/12/4,-650
2018/12/5,-730
2018/12/6,-850
2018/12/7,-900
2018/12/10,-900
2018/12/11,-900
2018/12/12,-1270
2018/12/13,-1020
2018/12/14,-980
2018/12/17,-870
2018/12/18,-730
2018/12/19,-650
2018/12/20,-730
2018/12/21,-600
2018/12/24,-620
2018/12/25,-600
2018/12/26,-430
2018/12/27,-400
2018/12/28,-450
2019/1/2,-560
2019/1/3,-550
2019/1/4,-400
2019/1/7,-500
2019/1/8,-350
2019/1/9,-180
2019/1/10,-210
2019/1/11,-300
2019/1/14,-290
2019/1/15,-320
2019/1/16,-230
2019/1/17,-250
2019/1/18,-280
2019/1/21,-280
2019/1/22,-360
2019/1/23,-260
2019/1/24,-360
2019/1/25,-400
2019/1/28,-570
2019/1/29,-470
2019/1/30,-380
2019/1/31,-450
2019/2/1,-450
2019/2/11,-550
2019/2/12,-280
2019/2/13,-500
2019/2/14,-470
2019/2/15,-400
2019/2/18,-420
2019/2/19,-330
2019/2/20,-420
2019/2/21,-430
2019/2/22,-530
2019/2/25,-550
2019/2/26,-600
2019/2/27,-560
2019/2/28,-540
2019/3/1,-550
2019/3/4,-650
2019/3/5,-650
2019/3/6,-700
2019/3/7,-680
2019/3/8,-680
2019/3/11,-600
2019/3/12,-680
2019/3/13,-650
2019/3/14,-650
2019/3/15,-460
2019/3/18,-520
2019/3/19,-520
2019/3/20,-520
2019/3/21,-570
2019/3/22,-520
2019/3/25,-660
2019/3/26,-680
2019/3/27,-630
2019/3/28,-410
2019/3/29,-600
2019/4/1,-750
2019/4/2,-630
2019/4/3,-680
2019/4/4,-680
2019/4/8,-700
2019/4/9,-750
2019/4/10,-750
2019/4/11,-700
2019/4/12,-700
2019/4/15,-670
2019/4/16,-680
2019/4/17,-630
2019/4/18,-680
2019/4/19,-600
2019/4/22,-620
2019/4/23,-550
2019/4/24,-520
2019/4/25,-510
2019/4/26,-440
2019/4/29,-430
2019/4/30,-480
2019/5/6,-400
2019/5/7,-550
2019/5/8,-420
2019/5/9,-480
2019/5/10,-410
2019/5/13,-500
2019/5/14,-430
2019/5/15,-340
2019/5/16,-180
2019/5/17,-190
2019/5/20,-370
2019/5/21,-350
2019/5/22,-380
2019/5/23,-350
2019/5/24,-280
2019/5/27,-350
2019/5/28,-400
2019/5/29,-340
2019/5/30,-530
2019/5/31,-550
2019/6/3,-650
2019/6/4,-680
2019/6/5,-610
2019/6/6,-760
2019/6/10,-640
2019/6/11,-650
2019/6/12,-670
2019/6/13,-610
2019/6/14,-410
2019/6/17,-380
2019/6/18,-330
2019/6/19,-400
2019/6/20,-340
2019/6/21,-220
2019/6/24,-345
2019/6/25,-345
2019/6/26,-330
2019/6/27,-310
2019/6/28,-380
2019/7/1,-250
2019/7/2,-200
2019/7/3,-270
2019/7/4,-50
2019/7/5,-100
2019/7/8,-20
2019/7/9,30
2019/7/10,230
2019/7/11,150
2019/7/12,140
2019/7/15,200
2019/7/16,180
2019/7/17,330
2019/7/18,220
2019/7/19,330
2019/7/22,370
2019/7/23,320
2019/7/24,370
2019/7/25,380
2019/7/26,230
2019/7/29,150
2019/7/30,150
2019/7/31,300
2019/8/1,130
2019/8/2,180
2019/8/5,150
2019/8/6,130
2019/8/7,180
2019/8/8,160
2019/8/9,280
2019/8/12,270
2019/8/13,270
2019/8/14,280
2019/8/15,280
2019/8/16,230
2019/8/19,130
2019/8/20,100
2019/8/21,100
2019/8/22,160
2019/8/23,60
2019/8/26,80
2019/8/27,-50
2019/8/28,10
2019/8/29,-50
2019/8/30,30
2019/9/2,100
2019/9/3,-10
2019/9/4,100
2019/9/5,0
2019/9/6,20
2019/9/9,20
2019/9/10,-10
2019/9/11,-140
2019/9/12,-70
2019/9/16,-270
2019/9/17,-210
2019/9/18,-380
2019/9/19,-170
2019/9/20,-380
2019/9/23,-180
2019/9/24,-260
2019/9/25,-280
2019/9/26,-180
2019/9/27,-150
2019/9/30,-300
2019/10/8,-50
2019/10/9,-120
2019/10/10,-60
2019/10/11,40
2019/10/14,0
2019/10/15,130
2019/10/16,150
2019/10/17,200
2019/10/18,220
2019/10/21,130
2019/10/22,160
2019/10/23,0
2019/10/24,20
2019/10/25,-140
2019/10/28,-50
2019/10/29,-50
2019/10/30,0
2019/10/31,-10
2019/11/1,70
2019/11/4,30
2019/11/5,30
2019/11/6,-30
2019/11/7,-50
2019/11/8,20
2019/11/11,50
2019/11/12,-100
2019/11/13,-100
2019/11/14,-180
2019/11/15,-180
2019/11/18,-180
2019/11/19,-180
2019/11/20,-180
2019/11/21,-180
2019/11/22,-180
2019/11/25,-180
2019/11/26,-180
2019/11/27,-180
2019/11/28,-180
2019/11/29,-180
2019/12/2,-770
2019/12/3,-900
2019/12/4,-990
2019/12/5,-940
2019/12/6,-930
2019/12/9,-890
2019/12/10,-920
2019/12/11,-980
2019/12/12,-950
2019/12/13,-1000
2019/12/16,-1050
2019/12/17,-1000
2019/12/18,-990
2019/12/19,-970
2019/12/20,-980
2019/12/23,-980
2019/12/24,-950
2019/12/25,-960
2019/12/26,-990
2019/12/27,-880
2019/12/30,-1030
2019/12/31,-1000
2020/1/2,-950
2020/1/3,-900
2020/1/6,-900
2020/1/7,-950
2020/1/8,-930
2020/1/9,-930
2020/1/10,-950
2020/1/13,-980
2020/1/14,-910
2020/1/15,-850
2020/1/16,-790
2020/1/17,-800
2020/1/20,-750
2020/1/21,-750
2020/1/22,-650
2020/1/23,-700
2020/2/3,-240
2020/2/4,-350
2020/2/5,-450
2020/2/6,-500
2020/2/7,-450
2020/2/10,-600
2020/2/11,-500
2020/2/12,-400
2020/2/13,-350
2020/2/14,-300
2020/2/17,-200
2020/2/18,-100
2020/2/19,-250
2020/2/20,-250
2020/2/21,-270
2020/2/24,-200
2020/2/25,-200
2020/2/26,-200
2020/2/27,-200
2020/2/28,-370
2020/3/2,-370
2020/3/3,-370
2020/3/4,-370
2020/3/5,-370
2020/3/6,-200
2020/3/9,-30
2020/3/10,-200
2020/3/11,-200
2020/3/12,-200
2020/3/13,-200
2020/3/16,-180
2020/3/17,50
2020/3/18,50
2020/3/19,50
2020/3/20,140
2020/3/23,200
2020/3/24,300
2020/3/25,430
2020/3/26,500
2020/3/27,570
