date,PP_feibiao
2016/11/18,1070
2016/11/21,970
2016/11/22,870
2016/11/23,950
2016/11/24,980
2016/11/25,1000
2016/11/28,900
2016/11/29,1000
2016/11/30,1080
2016/12/1,980
2016/12/2,940
2016/12/5,930
2016/12/6,980
2016/12/7,850
2016/12/8,950
2016/12/9,850
2016/12/12,700
2016/12/13,900
2016/12/14,800
2016/12/15,900
2016/12/16,850
2016/12/19,920
2016/12/20,1070
2016/12/21,820
2016/12/22,850
2016/12/23,980
2016/12/26,800
2016/12/27,750
2016/12/28,760
2016/12/29,810
2016/12/30,1000
2017/1/3,1030
2017/1/4,1030
2017/1/5,1080
2017/1/6,1030
2017/1/9,950
2017/1/10,920
2017/1/11,820
2017/1/12,740
2017/1/13,670
2017/1/16,530
2017/1/17,575
2017/1/18,550
2017/1/19,500
2017/1/20,470
2017/1/23,450
2017/1/24,400
2017/1/25,300
2017/1/26,250
2017/2/3,250
2017/2/6,300
2017/2/7,250
2017/2/8,430
2017/2/9,350
2017/2/10,370
2017/2/13,290
2017/2/14,320
2017/2/15,350
2017/2/16,500
2017/2/17,520
2017/2/20,500
2017/2/21,570
2017/2/22,500
2017/2/23,450
2017/2/24,370
2017/2/27,260
2017/2/28,430
2017/3/1,480
2017/3/2,400
2017/3/3,300
2017/3/6,200
2017/3/7,300
2017/3/8,250
2017/3/9,400
2017/3/10,470
2017/3/13,350
2017/3/14,400
2017/3/15,400
2017/3/16,350
2017/3/17,300
2017/3/20,470
2017/3/21,480
2017/3/22,600
2017/3/23,550
2017/3/24,580
2017/3/27,850
2017/3/28,700
2017/3/29,580
2017/3/30,560
2017/3/31,680
2017/4/5,440
2017/4/6,450
2017/4/7,450
2017/4/10,600
2017/4/11,600
2017/4/12,500
2017/4/13,570
2017/4/14,250
2017/4/17,620
2017/4/18,700
2017/4/19,600
2017/4/20,650
2017/4/21,600
2017/4/24,600
2017/4/25,600
2017/4/26,570
2017/4/27,550
2017/4/28,550
2017/5/2,530
2017/5/3,550
2017/5/4,650
2017/5/5,650
2017/5/8,600
2017/5/9,550
2017/5/10,600
2017/5/11,550
2017/5/12,580
2017/5/15,500
2017/5/16,500
2017/5/17,500
2017/5/18,500
2017/5/19,450
2017/5/22,550
2017/5/23,550
2017/5/24,550
2017/5/25,550
2017/5/26,550
2017/5/31,600
2017/6/1,550
2017/6/2,570
2017/6/5,600
2017/6/6,550
2017/6/7,600
2017/6/8,550
2017/6/9,570
2017/6/12,600
2017/6/13,700
2017/6/14,700
2017/6/15,720
2017/6/16,750
2017/6/19,650
2017/6/20,640
2017/6/21,670
2017/6/22,710
2017/6/23,680
2017/6/26,600
2017/6/27,650
2017/6/28,670
2017/6/29,650
2017/6/30,600
2017/7/3,550
2017/7/4,630
2017/7/5,630
2017/7/6,550
2017/7/7,490
2017/7/10,470
2017/7/11,480
2017/7/12,500
2017/7/13,500
2017/7/14,500
2017/7/17,450
2017/7/18,400
2017/7/19,400
2017/7/20,300
2017/7/21,300
2017/7/24,450
2017/7/25,350
2017/7/26,440
2017/7/27,500
2017/7/28,600
2017/7/31,520
2017/8/1,450
2017/8/2,500
2017/8/3,550
2017/8/4,400
2017/8/7,450
2017/8/8,450
2017/8/9,450
2017/8/10,400
2017/8/11,470
2017/8/14,480
2017/8/15,497.2
2017/8/16,450
2017/8/17,400
2017/8/18,420
2017/8/21,350
2017/8/22,320
2017/8/23,250
2017/8/24,300
2017/8/25,300
2017/8/28,300
2017/8/29,300
2017/8/30,400
2017/8/31,400
2017/9/1,350
2017/9/4,400
2017/9/5,450
2017/9/6,500
2017/9/7,450
2017/9/8,450
2017/9/11,550
2017/9/12,550
