日期,L
2013/1/4,-0.011558
2013/1/7,-0.011772
2013/1/8,-0.018443
2013/1/9,-0.025879
2013/1/10,-0.02775
2013/1/11,-0.031226
2013/1/14,-0.031388
2013/1/15,-0.026363
2013/1/16,-0.032033
2013/1/17,-0.020084
2013/1/18,-0.02002
2013/1/21,-0.020887
2013/1/22,-0.02583
2013/1/23,-0.025588
2013/1/24,-0.026201
2013/1/25,-0.026298
2013/1/28,-0.032779
2013/1/29,-0.030886
2013/1/30,-0.031242
2013/1/31,-0.031453
2013/2/1,-0.031988
2013/2/4,-0.045202
2013/2/5,-0.045021
2013/2/6,-0.045416
2013/2/7,-0.046089
2013/2/8,-0.045925
2013/2/18,-0.051116
2013/2/19,-0.044384
2013/2/20,-0.040335
2013/2/21,-0.040315
2013/2/22,-0.049707
2013/2/25,-0.037983
2013/2/26,-0.03561
2013/2/27,-0.028561
2013/2/28,-0.028932
2013/3/1,-0.033669
2013/3/4,-0.033393
2013/3/5,-0.038739
2013/3/6,-0.039147
2013/3/7,-0.039452
2013/3/8,-0.043674
2013/3/11,-0.028944
2013/3/12,-0.047322
2013/3/13,-0.047634
2013/3/14,-0.048029
2013/3/15,-0.040236
2013/3/18,-0.027165
2013/3/19,-0.032805
2013/3/20,-0.029428
2013/3/21,-0.037446
2013/3/22,-0.027498
2013/3/25,-0.025939
2013/3/26,-0.022756
2013/3/27,-0.022289
2013/3/28,-0.027313
2013/3/29,-0.027587
2013/4/1,-0.031685
2013/4/2,-0.036751
2013/4/3,-0.021819
2013/4/8,-0.02631
2013/4/9,-0.026681
2013/4/10,-0.026875
2013/4/11,-0.027117
2013/4/12,-0.026261
2013/4/15,-0.030709
2013/4/16,-0.046864
2013/4/17,-0.047243
2013/4/18,-0.047243
2013/4/19,-0.047243
2013/4/22,-0.040266
2013/4/23,-0.031205
2013/4/24,-0.029728
2013/4/25,-0.021429
2013/4/26,-0.027832
2013/5/2,-0.029547
2013/5/3,-0.023853
2013/5/6,-0.020443
2013/5/7,-0.016795
2013/5/8,-0.023827
2013/5/9,-0.026657
2013/5/10,-0.025765
2013/5/13,-0.028635
2013/5/14,-0.032115
2013/5/15,-0.023299
2013/5/16,-0.028149
2013/5/17,-0.028149
2013/5/20,-0.042844
2013/5/21,-0.035851
2013/5/22,-0.037003
2013/5/23,-0.033953
2013/5/24,-0.033444
2013/5/27,-0.024433
2013/5/28,-0.023536
2013/5/29,-0.025019
2013/5/30,-0.025932
2013/5/31,-0.025329
2013/6/3,-0.0259
2013/6/4,-0.028782
2013/6/5,-0.029595
2013/6/6,-0.0248
2013/6/7,-0.023382
2013/6/13,-0.023304
2013/6/14,-0.024005
2013/6/17,-0.022737
2013/6/18,-0.026554
2013/6/19,-0.026669
2013/6/20,-0.032069
2013/6/21,-0.036297
2013/6/24,-0.040763
2013/6/25,-0.045839
2013/6/26,-0.037397
2013/6/27,-0.04268
2013/6/28,-0.042347
2013/7/1,-0.033121
2013/7/2,-0.028248
2013/7/3,-0.03063
2013/7/4,-0.032989
2013/7/5,-0.032857
2013/7/8,-0.027971
