date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2018-12-10,5781.0,34763.0,EG1906.DCE,20670.0,337338.0,5687.0,5550.0,2018-12-10,5674.0,5600.0,2019-06-25,2018-12-10,True,197 days 00:00:00.000000000
2018-12-11,5680.0,41561.0,EG1906.DCE,17226.0,240977.0,5569.0,5497.0,2018-12-11,5541.0,5618.0,2019-06-25,2018-12-10,False,196 days 00:00:00.000000000
2018-12-12,5598.0,44256.0,EG1906.DCE,16032.0,150993.0,5551.0,5513.0,2018-12-12,5544.0,5580.0,2019-06-25,2018-12-10,False,195 days 00:00:00.000000000
2018-12-13,5646.0,44994.0,EG1906.DCE,17140.0,178462.0,5560.0,5475.0,2018-12-13,5591.0,5519.0,2019-06-25,2018-12-10,False,194 days 00:00:00.000000000
2018-12-14,5666.0,46865.0,EG1906.DCE,12720.0,93932.0,5620.0,5583.0,2018-12-14,5606.0,5647.0,2019-06-25,2018-12-10,False,193 days 00:00:00.000000000
2018-12-17,5637.0,49596.0,EG1906.DCE,10757.0,61887.0,5615.0,5566.0,2018-12-17,5618.0,5592.0,2019-06-25,2018-12-10,False,190 days 00:00:00.000000000
2018-12-18,5628.0,47831.0,EG1906.DCE,9209.0,61376.0,5602.0,5570.0,2018-12-18,5627.0,5588.0,2019-06-25,2018-12-10,False,189 days 00:00:00.000000000
2018-12-19,5635.0,44420.0,EG1906.DCE,11347.0,73894.0,5590.0,5551.0,2018-12-19,5620.0,5579.0,2019-06-25,2018-12-10,False,188 days 00:00:00.000000000
2018-12-20,5635.0,45048.0,EG1906.DCE,8521.0,49598.0,5599.0,5564.0,2018-12-20,5576.0,5628.0,2019-06-25,2018-12-10,False,187 days 00:00:00.000000000
2018-12-21,5576.0,55850.0,EG1906.DCE,18466.0,275542.0,5410.0,5320.0,2018-12-21,5418.0,5561.0,2019-06-25,2018-12-10,False,186 days 00:00:00.000000000
2018-12-24,5385.0,61480.0,EG1906.DCE,14949.0,126470.0,5344.0,5306.0,2018-12-24,5332.0,5380.0,2019-06-25,2018-12-10,False,183 days 00:00:00.000000000
2018-12-25,5231.0,60073.0,EG1906.DCE,16569.0,158313.0,5174.0,5128.0,2018-12-25,5174.0,5200.0,2019-06-25,2018-12-10,False,182 days 00:00:00.000000000
2018-12-26,5229.0,60505.0,EG1906.DCE,14921.0,136210.0,5169.0,5128.0,2018-12-26,5152.0,5200.0,2019-06-25,2018-12-10,False,181 days 00:00:00.000000000
2018-12-27,5377.0,71043.0,EG1906.DCE,15236.0,157777.0,5215.0,5135.0,2018-12-27,5135.0,5301.0,2019-06-25,2018-12-10,False,180 days 00:00:00.000000000
2018-12-28,5166.0,62970.0,EG1906.DCE,15849.0,165545.0,5122.0,5088.0,2018-12-28,5134.0,5141.0,2019-06-25,2018-12-10,False,179 days 00:00:00.000000000
2019-01-02,5134.0,72217.0,EG1906.DCE,13486.0,122708.0,5084.0,5046.0,2019-01-02,5051.0,5105.0,2019-06-25,2018-12-10,False,174 days 00:00:00.000000000
2019-01-03,5152.0,73291.0,EG1906.DCE,14410.0,133101.0,5111.0,5068.0,2019-01-03,5127.0,5093.0,2019-06-25,2018-12-10,False,173 days 00:00:00.000000000
2019-01-04,5181.0,72764.0,EG1906.DCE,15222.0,141912.0,5137.0,5094.0,2019-01-04,5152.0,5150.0,2019-06-25,2018-12-10,False,172 days 00:00:00.000000000
2019-01-07,5200.0,83520.0,EG1906.DCE,12380.0,109827.0,5155.0,5125.0,2019-01-07,5133.0,5167.0,2019-06-25,2018-12-10,False,169 days 00:00:00.000000000
2019-01-08,5168.0,94088.0,EG1906.DCE,16130.0,164400.0,5100.0,5066.0,2019-01-08,5080.0,5140.0,2019-06-25,2018-12-10,False,168 days 00:00:00.000000000
2019-01-09,5187.0,96407.0,EG1906.DCE,16400.0,176816.0,5153.0,5111.0,2019-01-09,5122.0,5136.0,2019-06-25,2018-12-10,False,167 days 00:00:00.000000000
2019-01-10,5168.0,106957.0,EG1906.DCE,14614.0,146054.0,5137.0,5087.0,2019-01-10,5092.0,5162.0,2019-06-25,2018-12-10,False,166 days 00:00:00.000000000
2019-01-11,5135.0,112648.0,EG1906.DCE,13838.0,153952.0,5100.0,5067.0,2019-01-11,5117.0,5080.0,2019-06-25,2018-12-10,False,165 days 00:00:00.000000000
2019-01-14,5177.0,113378.0,EG1906.DCE,14761.0,164698.0,5135.0,5096.0,2019-01-14,5143.0,5125.0,2019-06-25,2018-12-10,False,162 days 00:00:00.000000000
2019-01-15,5236.0,119263.0,EG1906.DCE,17822.0,245201.0,5188.0,5129.0,2019-01-15,5221.0,5141.0,2019-06-25,2018-12-10,False,161 days 00:00:00.000000000
2019-01-16,5243.0,120230.0,EG1906.DCE,13647.0,138063.0,5216.0,5193.0,2019-01-16,5226.0,5225.0,2019-06-25,2018-12-10,False,160 days 00:00:00.000000000
2019-01-17,5225.0,126512.0,EG1906.DCE,12486.0,125749.0,5182.0,5155.0,2019-01-17,5159.0,5210.0,2019-06-25,2018-12-10,False,159 days 00:00:00.000000000
2019-01-18,5176.0,146094.0,EG1906.DCE,16870.0,211768.0,5151.0,5117.0,2019-01-18,5156.0,5139.0,2019-06-25,2018-12-10,False,158 days 00:00:00.000000000
2019-01-21,5323.0,154876.0,EG1906.DCE,20803.0,356396.0,5262.0,5188.0,2019-01-21,5273.0,5219.0,2019-06-25,2018-12-10,False,155 days 00:00:00.000000000
2019-01-22,5457.0,151034.0,EG1906.DCE,20258.0,374422.0,5340.0,5260.0,2019-01-22,5277.0,5273.0,2019-06-25,2018-12-10,False,154 days 00:00:00.000000000
2019-01-23,5280.0,153084.0,EG1906.DCE,15131.0,177443.0,5248.0,5222.0,2019-01-23,5254.0,5240.0,2019-06-25,2018-12-10,False,153 days 00:00:00.000000000
2019-01-24,5273.0,153545.0,EG1906.DCE,14808.0,164284.0,5241.0,5206.0,2019-01-24,5245.0,5239.0,2019-06-25,2018-12-10,False,152 days 00:00:00.000000000
2019-01-25,5323.0,150548.0,EG1906.DCE,17042.0,209980.0,5287.0,5232.0,2019-01-25,5234.0,5275.0,2019-06-25,2018-12-10,False,151 days 00:00:00.000000000
