日期,BOPP膜
2013-01-04,12250.0
2013-01-07,12100.0
2013-01-08,12100.0
2013-01-09,12100.0
2013-01-10,12100.0
2013-01-11,12100.0
2013-01-14,12100.0
2013-01-15,12100.0
2013-01-16,12100.0
2013-01-17,12100.0
2013-01-18,12100.0
2013-01-21,12000.0
2013-01-22,12000.0
2013-01-23,12000.0
2013-01-24,12000.0
2013-01-25,12000.0
2013-01-28,12000.0
2013-01-29,12000.0
2013-01-30,12000.0
2013-01-31,12000.0
2013-02-01,12000.0
2013-02-04,12000.0
2013-02-05,12000.0
2013-02-06,12000.0
2013-02-07,12000.0
2013-02-08,12000.0
2013-02-18,12100.0
2013-02-19,12300.0
2013-02-20,12300.0
2013-02-21,12300.0
2013-02-22,12300.0
2013-02-25,12200.0
2013-02-26,12200.0
2013-02-27,12200.0
2013-02-28,12200.0
2013-03-01,12200.0
2013-03-04,12200.0
2013-03-05,12200.0
2013-03-06,12200.0
2013-03-07,12200.0
2013-03-08,12200.0
2013-03-11,12200.0
2013-03-12,12200.0
2013-03-13,12100.0
2013-03-14,12100.0
2013-03-15,12100.0
2013-03-18,12100.0
2013-03-19,12100.0
2013-03-20,12000.0
2013-03-21,12000.0
2013-03-22,12000.0
2013-03-25,12000.0
2013-03-26,12000.0
2013-03-27,12000.0
2013-03-28,12000.0
2013-03-29,12000.0
2013-04-01,11900.0
2013-04-02,11900.0
2013-04-03,11900.0
2013-04-08,11900.0
2013-04-09,11800.0
2013-04-10,11800.0
2013-04-11,11800.0
2013-04-12,11800.0
2013-04-15,11800.0
2013-04-16,11800.0
2013-04-17,11800.0
2013-04-18,11800.0
2013-04-19,11800.0
2013-04-22,11800.0
2013-04-23,11800.0
2013-04-24,11800.0
2013-04-25,11800.0
2013-04-26,11800.0
2013-05-02,11800.0
2013-05-03,11800.0
2013-05-06,11800.0
2013-05-07,11700.0
2013-05-08,11700.0
2013-05-09,11700.0
2013-05-10,11700.0
2013-05-13,11700.0
2013-05-14,11700.0
2013-05-15,11700.0
2013-05-16,11700.0
2013-05-17,11700.0
2013-05-20,11700.0
2013-05-21,11700.0
2013-05-22,11700.0
2013-05-23,11700.0
