日期,地膜
2013-07-04,11200.0
2013-07-05,11200.0
2013-07-08,11200.0
2013-07-09,11200.0
2013-07-10,11200.0
2013-07-11,11200.0
2013-07-12,11200.0
2013-07-15,11200.0
2013-07-16,11200.0
2013-07-17,11200.0
2013-07-18,11200.0
2013-07-19,11200.0
2013-07-22,11200.0
2013-07-23,11200.0
2013-07-24,11200.0
2013-07-25,11200.0
2013-07-26,11200.0
2013-07-29,11200.0
2013-07-30,11200.0
2013-07-31,11200.0
2013-08-01,11200.0
2013-08-02,11200.0
2013-08-05,11200.0
2013-08-06,11200.0
2013-08-07,11200.0
2013-08-08,11600.0
2013-08-09,11600.0
2013-08-12,11600.0
2013-08-13,11600.0
2013-08-14,11600.0
2013-08-15,11600.0
2013-08-16,11600.0
2013-08-19,11600.0
2013-08-20,11600.0
2013-08-21,11600.0
2013-08-22,11600.0
2013-08-23,11600.0
2013-08-26,11600.0
2013-08-27,11600.0
2013-08-28,11600.0
2013-08-29,11650.0
2013-08-30,11650.0
2013-09-02,11650.0
2013-09-03,11650.0
2013-09-04,11650.0
2013-09-05,11700.0
2013-09-06,11700.0
2013-09-09,11700.0
2013-09-10,11700.0
2013-09-11,11700.0
2013-09-12,11900.0
2013-09-13,11900.0
2013-09-16,11900.0
2013-09-17,11900.0
2013-09-18,11900.0
2013-09-23,11900.0
2013-09-24,11900.0
2013-09-25,11900.0
2013-09-26,11900.0
2013-09-27,11900.0
2013-10-08,11900.0
2013-10-09,11900.0
2013-10-10,12100.0
2013-10-11,12100.0
2013-10-14,12100.0
2013-10-15,12100.0
2013-10-16,12100.0
2013-10-17,12100.0
2013-10-18,12100.0
2013-10-21,12100.0
2013-10-22,12100.0
2013-10-23,12100.0
2013-10-24,12000.0
2013-10-25,12000.0
2013-10-28,12000.0
2013-10-29,12000.0
2013-10-30,12000.0
2013-10-31,12000.0
2013-11-01,12000.0
2013-11-04,12000.0
2013-11-05,12000.0
2013-11-06,12000.0
2013-11-07,12000.0
2013-11-08,12000.0
2013-11-11,12000.0
2013-11-12,12000.0
2013-11-13,12000.0
2013-11-14,12000.0
2013-11-15,12000.0
2013-11-18,12000.0
2013-11-19,12000.0
2013-11-20,12000.0
2013-11-21,12000.0
2013-11-22,12000.0
2013-11-25,12000.0
2013-11-26,12000.0
