日期,POY150D/48F
2007-04-23,12225.0
2007-04-24,12225.0
2007-04-25,12225.0
2007-04-26,12225.0
2007-04-27,12450.0
2007-04-30,12500.0
2007-05-08,12500.0
2007-05-09,12750.0
2007-05-10,12750.0
2007-05-11,12750.0
2007-05-14,12750.0
2007-05-15,12750.0
2007-05-16,12750.0
2007-05-17,12750.0
2007-05-18,12700.0
2007-05-21,12725.0
2007-05-22,12725.0
2007-05-23,12725.0
2007-05-24,12700.0
2007-05-25,12700.0
2007-05-28,12700.0
2007-05-29,12700.0
2007-05-30,12700.0
2007-05-31,12700.0
2007-06-01,12700.0
2007-06-04,12700.0
2007-06-05,12650.0
2007-06-06,12550.0
2007-06-07,12550.0
2007-06-08,12525.0
2007-06-11,12400.0
2007-06-12,12400.0
2007-06-13,12400.0
2007-06-14,12325.0
2007-06-15,12275.0
2007-06-18,12275.0
2007-06-19,12375.0
2007-06-20,12375.0
2007-06-21,12375.0
2007-06-22,12375.0
2007-06-25,12375.0
2007-06-26,12375.0
2007-06-27,12375.0
2007-06-28,12325.0
2007-06-29,12250.0
2007-07-02,12250.0
2007-07-03,12250.0
2007-07-04,12200.0
2007-07-06,12200.0
2007-07-09,12200.0
2007-07-10,12200.0
2007-07-11,12200.0
2007-07-12,12200.0
2007-07-13,12200.0
2007-07-16,12200.0
2007-07-17,12200.0
2007-07-18,12200.0
2007-07-19,12200.0
2007-07-20,12200.0
2007-07-23,12200.0
2007-07-24,12200.0
2007-07-25,12200.0
2007-07-26,12350.0
2007-07-27,12350.0
2007-07-30,12350.0
2007-07-31,12400.0
2007-08-01,12400.0
2007-08-02,12400.0
2007-08-03,12400.0
2007-08-06,12400.0
2007-08-07,12400.0
2007-08-08,12400.0
2007-08-09,12400.0
2007-08-10,12375.0
2007-08-13,12375.0
2007-08-14,12375.0
2007-08-15,12275.0
2007-08-16,12275.0
2007-08-17,12225.0
2007-08-20,12225.0
2007-08-21,12225.0
2007-08-22,12225.0
2007-08-23,12225.0
2007-08-24,12225.0
2007-08-27,12225.0
2007-08-28,12225.0
2007-08-29,12075.0
2007-08-30,12075.0
2007-08-31,12075.0
2007-09-03,12075.0
2007-09-05,12075.0
2007-09-06,12075.0
2007-09-07,12000.0
2007-09-10,12000.0
2007-09-11,12000.0
2007-09-12,12000.0
2007-09-13,12100.0
2007-09-14,12100.0
2007-09-17,12100.0
2007-09-18,12100.0
2007-09-19,12100.0
2007-09-20,12100.0
2007-09-21,12100.0
2007-09-24,12100.0
2007-09-25,12100.0
2007-09-26,12125.0
2007-09-27,12125.0
2007-09-28,12125.0
2007-10-08,12125.0
2007-10-09,12125.0
2007-10-10,12125.0
2007-10-11,12075.0
2007-10-12,12075.0
2007-10-15,12075.0
2007-10-16,12075.0
2007-10-17,12075.0
2007-10-18,12075.0
2007-10-19,11975.0
2007-10-22,11975.0
2007-10-23,11975.0
2007-10-24,11975.0
2007-10-25,11975.0
2007-10-26,11975.0
2007-10-29,11975.0
2007-10-30,11975.0
2007-10-31,11975.0
2007-11-01,11975.0
2007-11-02,11975.0
2007-11-05,12025.0
2007-11-06,12025.0
2007-11-07,12050.0
2007-11-08,12150.0
2007-11-09,12150.0
2007-11-12,12450.0
2007-11-13,12450.0
2007-11-14,12450.0
2007-11-15,12450.0
2007-11-16,12450.0
2007-11-19,12450.0
2007-11-20,12450.0
2007-11-21,12450.0
2007-11-22,12425.0
2007-11-26,12300.0
2007-11-27,12275.0
2007-11-28,12275.0
2007-11-29,12275.0
2007-11-30,12275.0
2007-12-03,12275.0
2007-12-04,12275.0
2007-12-05,12275.0
2007-12-06,12275.0
2007-12-07,12250.0
2007-12-10,12000.0
2007-12-11,12000.0
2007-12-12,11950.0
2007-12-13,11925.0
2007-12-14,11900.0
2007-12-17,11850.0
