日期,缠绕膜
2013-08-28,13200.0
2013-08-29,13200.0
2013-08-30,13200.0
2013-09-02,13200.0
2013-09-03,13500.0
2013-09-04,13500.0
2013-09-05,13500.0
2013-09-06,13500.0
2013-09-09,13500.0
2013-09-10,13800.0
2013-09-11,13800.0
2013-09-12,13800.0
2013-09-13,13800.0
2013-09-16,13800.0
2013-09-17,13800.0
2013-09-18,13800.0
2013-09-23,13800.0
2013-09-24,13800.0
2013-09-25,13800.0
2013-09-26,13500.0
2013-09-27,13500.0
2013-10-08,13500.0
2013-10-09,13500.0
2013-10-10,13500.0
2013-10-11,13500.0
2013-10-14,13500.0
2013-10-15,13500.0
2013-10-16,13500.0
2013-10-17,13700.0
2013-10-18,13700.0
2013-10-21,13700.0
2013-10-22,13700.0
2013-10-23,13700.0
2013-10-24,13700.0
2013-10-25,13700.0
2013-10-28,13700.0
2013-10-29,13700.0
2013-10-30,13700.0
2013-10-31,13700.0
2013-11-01,13700.0
2013-11-04,13700.0
2013-11-05,13700.0
2013-11-06,13700.0
2013-11-07,13700.0
2013-11-08,13700.0
2013-11-11,13700.0
2013-11-12,13700.0
2013-11-13,13700.0
2013-11-14,13700.0
2013-11-15,13700.0
2013-11-18,13700.0
2013-11-19,13700.0
2013-11-20,13700.0
2013-11-21,13700.0
2013-11-22,13700.0
2013-11-25,13700.0
2013-11-26,13700.0
2013-11-27,13700.0
2013-11-28,13700.0
2013-11-29,13700.0
2013-12-02,13700.0
2013-12-03,13700.0
2013-12-04,13700.0
2013-12-05,13700.0
2013-12-06,13700.0
2013-12-09,13700.0
2013-12-10,13700.0
2013-12-11,13700.0
2013-12-12,13700.0
2013-12-13,13700.0
2013-12-16,13700.0
2013-12-17,13700.0
2013-12-18,13700.0
2013-12-19,13700.0
2013-12-20,13700.0
2013-12-23,13700.0
2013-12-24,13700.0
2013-12-25,13800.0
2013-12-26,13800.0
2013-12-27,13800.0
2013-12-30,13800.0
2013-12-31,13800.0
2014-01-02,13800.0
2014-01-03,13800.0
2014-01-06,13800.0
2014-01-07,13800.0
2014-01-08,13800.0
2014-01-09,13800.0
2014-01-10,13800.0
2014-01-13,13800.0
2014-01-14,13800.0
2014-01-15,13800.0
2014-01-16,13800.0
2014-01-17,13800.0
2014-01-20,13800.0
2014-01-21,13800.0
2014-01-22,13600.0
2014-01-23,13600.0
2014-01-24,13600.0
2014-01-27,13600.0
2014-01-28,13600.0
2014-01-29,13600.0
2014-01-30,13600.0
2014-02-07,13600.0
2014-02-10,13600.0
2014-02-11,13600.0
2014-02-12,13600.0
2014-02-13,13600.0
2014-02-14,13600.0
2014-02-17,13600.0
2014-02-18,13600.0
