日期,华北电石法 SG5
2012-12-17,6270.0
2012-12-18,6270.0
2012-12-19,6270.0
2012-12-20,6270.0
2012-12-21,6270.0
2012-12-24,6270.0
2012-12-25,6270.0
2012-12-26,6270.0
2012-12-27,6270.0
2012-12-28,6270.0
2012-12-31,6270.0
2013-01-04,6270.0
2013-01-07,6270.0
2013-01-08,6270.0
2013-01-09,6270.0
2013-01-10,6270.0
2013-01-11,6270.0
2013-01-14,6270.0
2013-01-15,6270.0
2013-01-16,6270.0
2013-01-17,6270.0
2013-01-18,6270.0
2013-01-21,6270.0
2013-01-22,6270.0
2013-01-23,6270.0
2013-01-24,6270.0
2013-01-25,6270.0
2013-01-28,6270.0
2013-01-29,6270.0
2013-01-30,6270.0
2013-01-31,6270.0
2013-02-01,6270.0
2013-02-04,6270.0
2013-02-05,6270.0
2013-02-06,6270.0
2013-02-07,6270.0
2013-02-08,6270.0
2013-02-18,6270.0
2013-02-19,6270.0
2013-02-20,6270.0
2013-02-21,6270.0
2013-02-22,6270.0
2013-02-25,6270.0
2013-02-26,6270.0
2013-02-27,6270.0
2013-02-28,6270.0
2013-03-01,6270.0
2013-03-04,6270.0
2013-03-05,6270.0
2013-03-06,6270.0
2013-03-07,6270.0
2013-03-08,6270.0
2013-03-11,6270.0
2013-03-12,6270.0
2013-03-13,6270.0
2013-03-14,6270.0
2013-03-15,6270.0
2013-03-18,6270.0
2013-03-19,6270.0
2013-03-20,6270.0
2013-03-21,6270.0
2013-03-22,6270.0
2013-03-25,6270.0
2013-03-26,6270.0
2013-03-27,6270.0
2013-03-28,6270.0
2013-03-29,6270.0
2013-04-01,6270.0
2013-04-02,6270.0
2013-04-03,6270.0
2013-04-08,6270.0
2013-04-09,6270.0
2013-04-10,6270.0
2013-04-11,6270.0
2013-04-12,6270.0
2013-04-15,6270.0
2013-04-16,6270.0
2013-04-17,6270.0
2013-04-18,6270.0
2013-04-19,6270.0
2013-04-22,6270.0
2013-04-23,6270.0
2013-04-24,6270.0
2013-04-25,6270.0
2013-04-26,6270.0
2013-05-02,6270.0
2013-05-03,6270.0
2013-05-06,6270.0
2013-05-07,6270.0
2013-05-08,6270.0
2013-05-09,6270.0
2013-05-10,6270.0
2013-05-13,6350.0
2013-05-14,6360.0
2013-05-15,6360.0
2013-05-16,6360.0
2013-05-17,6380.0
2013-05-20,6380.0
2013-05-21,6380.0
2013-05-22,6380.0
2013-05-23,6380.0
2013-05-24,6380.0
2013-05-27,6380.0
2013-05-28,6400.0
2013-05-29,6400.0
2013-05-30,6400.0
2013-05-31,6410.0
2013-06-03,6410.0
2013-06-04,6450.0
2013-06-05,6450.0
2013-06-06,6460.0
2013-06-07,6460.0
2013-06-13,6460.0
2013-06-14,6460.0
2013-06-17,6460.0
2013-06-18,6470.0
2013-06-19,6470.0
2013-06-20,6470.0
2013-06-21,6470.0
2013-06-24,6470.0
2013-06-25,6480.0
2013-06-26,6490.0
2013-06-27,6490.0
2013-06-28,6490.0
2013-07-01,6490.0
2013-07-02,6490.0
2013-07-03,6490.0
2013-07-04,6490.0
2013-07-05,6490.0
2013-07-08,6490.0
2013-07-09,6490.0
2013-07-10,6490.0
2013-07-11,6490.0
2013-07-12,6490.0
2013-07-15,6490.0
2013-07-16,6490.0
2013-07-17,6530.0
2013-07-18,6530.0
2013-07-19,6570.0
2013-07-22,6600.0
2013-07-23,6600.0
2013-07-24,6620.0
2013-07-25,6620.0
2013-07-26,6620.0
2013-07-29,6620.0
2013-07-30,6620.0
2013-07-31,6650.0
2013-08-01,6650.0
2013-08-02,6650.0
2013-08-05,6650.0
2013-08-06,6650.0
2013-08-07,6650.0
2013-08-08,6650.0
2013-08-09,6650.0
2013-08-12,6650.0
2013-08-13,6650.0
2013-08-14,6650.0
2013-08-15,6650.0
2013-08-16,6650.0
2013-08-19,6650.0
2013-08-20,6650.0
2013-08-21,6650.0
2013-08-22,6650.0
2013-08-23,6650.0
2013-08-26,6650.0
2013-08-27,6650.0
2013-08-28,6650.0
2013-08-29,6650.0
2013-08-30,6650.0
2013-09-02,6650.0
2013-09-03,6650.0
2013-09-04,6630.0
2013-09-05,6630.0
2013-09-06,6600.0
2013-09-09,6600.0
2013-09-10,6600.0
2013-09-11,6600.0
2013-09-12,6580.0
2013-09-13,6580.0
2013-09-16,6580.0
2013-09-17,6580.0
2013-09-18,6580.0
2013-09-23,6560.0
2013-09-24,6560.0
2013-09-25,6560.0
2013-09-26,6520.0
2013-09-27,6520.0
2013-09-30,6520.0
2013-10-08,6520.0
2013-10-09,6500.0
2013-10-10,6500.0
2013-10-11,6500.0
2013-10-14,6500.0
2013-10-15,6500.0
2013-10-16,6500.0
2013-10-17,6480.0
2013-10-18,6440.0
