日期,双防膜
2013-07-04,12050.0
2013-07-05,12050.0
2013-07-08,12050.0
2013-07-09,12050.0
2013-07-10,12050.0
2013-07-11,12050.0
2013-07-12,12050.0
2013-07-15,12050.0
2013-07-16,12050.0
2013-07-17,12050.0
2013-07-18,12050.0
2013-07-19,12050.0
2013-07-22,12050.0
2013-07-23,12050.0
2013-07-24,12050.0
2013-07-25,12050.0
2013-07-26,12050.0
2013-07-29,12050.0
2013-07-30,12050.0
2013-07-31,12050.0
2013-08-01,12200.0
2013-08-02,12200.0
2013-08-05,12200.0
2013-08-06,12200.0
2013-08-07,12200.0
2013-08-08,12600.0
2013-08-09,12600.0
2013-08-12,12600.0
2013-08-13,12600.0
2013-08-14,12600.0
2013-08-15,12600.0
2013-08-16,12600.0
2013-08-19,12600.0
2013-08-20,12600.0
2013-08-21,12600.0
2013-08-22,12400.0
2013-08-23,12400.0
2013-08-26,12400.0
2013-08-27,12400.0
2013-08-28,12400.0
2013-08-29,12500.0
2013-08-30,12500.0
2013-09-02,12500.0
2013-09-03,12500.0
2013-09-04,12500.0
2013-09-05,12650.0
2013-09-06,12650.0
2013-09-09,12650.0
2013-09-10,12650.0
2013-09-11,12650.0
2013-09-12,12850.0
2013-09-13,12850.0
2013-09-16,12850.0
2013-09-17,12850.0
2013-09-18,12850.0
2013-09-23,12850.0
2013-09-24,12850.0
2013-09-25,12850.0
2013-09-26,12650.0
2013-09-27,12650.0
2013-10-08,12650.0
2013-10-09,12650.0
2013-10-10,12900.0
2013-10-11,12900.0
2013-10-14,12900.0
2013-10-15,12900.0
2013-10-16,12900.0
2013-10-17,13000.0
2013-10-18,13000.0
2013-10-21,13000.0
2013-10-22,13000.0
2013-10-23,13000.0
2013-10-24,13000.0
2013-10-25,13000.0
2013-10-28,13000.0
2013-10-29,13000.0
2013-10-30,13000.0
2013-10-31,13200.0
2013-11-01,13200.0
2013-11-04,13200.0
2013-11-05,13200.0
2013-11-06,13200.0
2013-11-07,13200.0
2013-11-08,13200.0
2013-11-11,13200.0
2013-11-12,13200.0
2013-11-13,13200.0
2013-11-14,13100.0
2013-11-15,13100.0
2013-11-18,13100.0
2013-11-19,13100.0
2013-11-20,13100.0
2013-11-21,13100.0
2013-11-22,13100.0
2013-11-25,13100.0
2013-11-26,13100.0
2013-11-27,13100.0
2013-11-28,13100.0
2013-11-29,13100.0
2013-12-02,13100.0
2013-12-03,13100.0
2013-12-04,13100.0
2013-12-05,13100.0
2013-12-06,13100.0
2013-12-09,13100.0
2013-12-10,13100.0
2013-12-11,13100.0
2013-12-12,13100.0
2013-12-13,13100.0
2013-12-16,13100.0
2013-12-17,13100.0
2013-12-18,13100.0
2013-12-19,13100.0
2013-12-20,13100.0
2013-12-23,13100.0
2013-12-24,13100.0
2013-12-25,13100.0
2013-12-26,13100.0
2013-12-27,13100.0
2013-12-30,13100.0
2013-12-31,13100.0
2014-01-02,13100.0
2014-01-03,13100.0
2014-01-06,13100.0
2014-01-07,13100.0
2014-01-08,13100.0
2014-01-09,13100.0
2014-01-10,13100.0
2014-01-13,13100.0
2014-01-14,13100.0
2014-01-15,13100.0
2014-01-16,13100.0
2014-01-17,13100.0
2014-01-20,13100.0
2014-01-21,13100.0
2014-01-22,13100.0
2014-01-23,13100.0
2014-01-24,13100.0
2014-01-27,13100.0
2014-01-28,13100.0
2014-01-29,13100.0
2014-01-30,13100.0
2014-02-07,13100.0
2014-02-10,13100.0
2014-02-11,13100.0
2014-02-12,13100.0
2014-02-13,13100.0
2014-02-14,13100.0
2014-02-17,13100.0
2014-02-18,13100.0
2014-02-19,13100.0
2014-02-20,13100.0
2014-02-21,12800.0
2014-02-24,12800.0
2014-02-25,12800.0
2014-02-26,12800.0
2014-02-27,12800.0
2014-02-28,12800.0
2014-03-03,12800.0
2014-03-04,12800.0
2014-03-05,12800.0
2014-03-06,12800.0
2014-03-07,12800.0
2014-03-10,12800.0
2014-03-11,12800.0
2014-03-12,12800.0
2014-03-13,12800.0
2014-03-14,12800.0
2014-03-17,12800.0
2014-03-18,12800.0
2014-03-19,12800.0
2014-03-20,12800.0
2014-03-21,12750.0
2014-03-24,12750.0
2014-03-25,12750.0
2014-03-26,12750.0
2014-03-27,12750.0
2014-03-28,12750.0
2014-03-31,12750.0
2014-04-01,12750.0
2014-04-02,12750.0
2014-04-03,12750.0
2014-04-04,12750.0
2014-04-08,12750.0
2014-04-09,12750.0
2014-04-10,12750.0
2014-04-11,12600.0
2014-04-14,12600.0
2014-04-15,12600.0
2014-04-16,12600.0
2014-04-17,12600.0
2014-04-18,12600.0
2014-04-21,12750.0
2014-04-22,12750.0
2014-04-23,12750.0
2014-04-24,12750.0
2014-04-25,12750.0
2014-04-28,12750.0
2014-04-29,12750.0
2014-04-30,12750.0
2014-05-05,12750.0
2014-05-06,12750.0
2014-05-07,12750.0
2014-05-08,12750.0
2014-05-09,12750.0
2014-05-12,12750.0
2014-05-13,12750.0
2014-05-14,12750.0
2014-05-15,12750.0
2014-05-16,12750.0
2014-05-19,12750.0
2014-05-20,12750.0
2014-05-21,12750.0
2014-05-22,12750.0
2014-05-23,12750.0
2014-05-26,12750.0
2014-05-27,12750.0
2014-05-28,12750.0
2014-05-29,12750.0
2014-05-30,12750.0
2014-06-03,12750.0
2014-06-04,12750.0
2014-06-05,12750.0
2014-06-06,12750.0
2014-06-09,12750.0
2014-06-10,12750.0
2014-06-11,12750.0
2014-06-12,12750.0
2014-06-13,12750.0
2014-06-16,12750.0
2014-06-17,12750.0
2014-06-18,12750.0
2014-06-19,12750.0
2014-06-20,12750.0
2014-06-23,12750.0
2014-06-24,12750.0
2014-06-25,12750.0
2014-06-26,12750.0
2014-06-27,12750.0
2014-06-30,12750.0
2014-07-01,12750.0
2014-07-02,12750.0
2014-07-03,12750.0
2014-07-04,12750.0
2014-07-07,12750.0
2014-07-08,12750.0
2014-07-09,12750.0
2014-07-10,12750.0
2014-07-11,12750.0
2014-07-14,12750.0
2014-07-15,12750.0
2014-07-16,12750.0
2014-07-17,12750.0
2014-07-18,12750.0
2014-07-21,12750.0
2014-07-22,12750.0
2014-07-23,12750.0
2014-07-24,12750.0
2014-07-25,12750.0
2014-07-28,12750.0
2014-07-29,12750.0
2014-07-30,12750.0
2014-07-31,12750.0
2014-08-01,12750.0
2014-08-04,12750.0
2014-08-05,12750.0
