日期,LL华东
2013-12-25,12000.0
2013-12-26,12050.0
2013-12-27,12050.0
2013-12-30,12100.0
2013-12-31,12100.0
2014-01-02,12100.0
2014-01-03,12100.0
2014-01-06,12100.0
2014-01-07,12100.0
2014-01-08,12100.0
2014-01-09,12000.0
2014-01-10,12000.0
2014-01-13,11900.0
2014-01-14,11850.0
2014-01-15,11800.0
2014-01-16,11800.0
2014-01-17,11800.0
2014-01-20,11700.0
2014-01-21,11700.0
2014-01-22,11600.0
2014-01-23,11600.0
2014-01-24,11600.0
2014-01-27,11500.0
2014-01-28,11500.0
2014-01-29,11500.0
2014-01-30,11500.0
2014-02-07,11500.0
2014-02-10,11400.0
2014-02-11,11350.0
2014-02-12,11100.0
2014-02-13,11100.0
2014-02-14,11050.0
2014-02-17,10900.0
2014-02-18,10750.0
2014-02-19,10750.0
2014-02-20,10950.0
2014-02-21,11100.0
2014-02-24,11100.0
2014-02-25,11200.0
2014-02-26,11200.0
2014-02-27,11100.0
2014-02-28,11100.0
2014-03-03,11050.0
2014-03-04,11050.0
2014-03-05,10950.0
2014-03-06,10900.0
2014-03-07,10900.0
2014-03-10,10750.0
2014-03-11,10800.0
2014-03-12,10900.0
2014-03-13,10950.0
2014-03-14,10950.0
2014-03-17,11050.0
2014-03-18,11100.0
2014-03-19,11050.0
2014-03-20,11125.0
2014-03-21,11125.0
2014-03-24,11125.0
2014-03-25,11175.0
2014-03-26,11225.0
2014-03-27,11225.0
2014-03-28,11275.0
2014-03-31,11325.0
2014-04-01,11400.0
2014-04-02,11500.0
2014-04-03,11525.0
2014-04-04,11575.0
2014-04-08,11575.0
2014-04-09,11550.0
2014-04-10,11525.0
2014-04-11,11525.0
2014-04-14,11575.0
2014-04-15,11650.0
2014-04-16,11700.0
2014-04-17,11775.0
2014-04-18,11875.0
2014-04-21,11900.0
2014-04-22,11950.0
2014-04-23,11950.0
2014-04-24,11950.0
2014-04-25,11900.0
2014-04-28,11850.0
2014-04-29,11850.0
2014-04-30,11850.0
2014-05-05,11850.0
2014-05-06,11850.0
2014-05-07,11850.0
2014-05-08,11850.0
2014-05-09,11850.0
2014-05-12,11850.0
2014-05-13,11850.0
2014-05-14,11850.0
2014-05-15,11750.0
2014-05-16,11650.0
2014-05-19,11650.0
2014-05-20,11675.0
2014-05-21,11775.0
2014-05-22,11800.0
2014-05-23,11825.0
2014-05-26,11825.0
2014-05-27,11800.0
2014-05-28,11750.0
2014-05-29,11775.0
2014-05-30,11800.0
2014-06-03,11875.0
2014-06-04,11950.0
2014-06-05,11950.0
2014-06-06,11950.0
2014-06-09,11975.0
2014-06-10,12025.0
2014-06-11,12050.0
2014-06-12,12100.0
2014-06-13,12100.0
2014-06-16,12200.0
2014-06-17,12150.0
2014-06-18,12050.0
2014-06-19,12025.0
2014-06-20,12000.0
2014-06-23,11975.0
2014-06-24,11875.0
2014-06-25,11900.0
2014-06-26,11900.0
2014-06-27,11950.0
2014-06-30,11950.0
2014-07-01,12000.0
2014-07-02,12000.0
2014-07-03,12050.0
2014-07-04,12050.0
2014-07-07,12150.0
2014-07-08,12150.0
2014-07-09,12100.0
2014-07-10,12075.0
2014-07-11,12050.0
2014-07-14,12025.0
2014-07-15,12000.0
2014-07-16,11950.0
2014-07-17,11975.0
2014-07-18,11850.0
2014-07-21,11850.0
2014-07-22,11875.0
2014-07-23,11925.0
2014-07-24,11925.0
2014-07-25,11975.0
2014-07-28,12000.0
2014-07-29,12000.0
2014-07-30,12000.0
2014-07-31,12000.0
2014-08-01,11950.0
2014-08-04,11950.0
2014-08-05,11925.0
2014-08-06,11875.0
2014-08-07,11875.0
2014-08-08,11850.0
2014-08-11,11800.0
2014-08-12,11750.0
2014-08-13,11750.0
2014-08-14,11600.0
2014-08-15,11550.0
2014-08-18,11550.0
2014-08-19,11600.0
2014-08-20,11575.0
2014-08-21,11600.0
2014-08-22,11600.0
2014-08-25,11600.0
2014-08-26,11600.0
2014-08-27,11550.0
2014-08-28,11550.0
2014-08-29,11500.0
2014-09-01,11425.0
2014-09-02,11450.0
2014-09-03,11475.0
2014-09-04,11475.0
2014-09-05,11450.0
2014-09-09,11350.0
2014-09-10,11300.0
2014-09-11,11200.0
2014-09-12,11150.0
2014-09-15,11100.0
2014-09-16,10950.0
2014-09-17,10900.0
2014-09-18,10850.0
2014-09-19,10800.0
2014-09-22,10750.0
2014-09-23,10750.0
2014-09-24,10750.0
2014-09-25,10850.0
2014-09-26,10850.0
2014-09-29,10850.0
2014-09-30,10850.0
2014-10-08,10800.0
2014-10-09,10800.0
2014-10-10,10800.0
2014-10-13,10725.0
2014-10-14,10725.0
2014-10-15,10625.0
2014-10-16,10600.0
2014-10-17,10600.0
2014-10-20,10575.0
2014-10-21,10525.0
2014-10-22,10550.0
2014-10-23,10550.0
2014-10-24,10550.0
2014-10-27,10675.0
2014-10-28,10725.0
2014-10-29,10775.0
2014-10-30,10825.0
2014-10-31,10875.0
2014-11-03,10650.0
2014-11-04,10625.0
2014-11-05,10600.0
2014-11-06,10550.0
2014-11-07,10600.0
2014-11-10,10650.0
2014-11-11,10600.0
2014-11-12,10575.0
2014-11-13,10575.0
2014-11-14,10575.0
2014-11-17,10550.0
2014-11-18,10500.0
2014-11-19,10450.0
2014-11-20,10425.0
2014-11-21,10425.0
2014-11-24,10500.0
2014-11-25,10450.0
2014-11-26,10450.0
2014-11-27,10425.0
2014-11-28,10300.0
2014-12-01,10175.0
2014-12-02,10050.0
2014-12-03,10000.0
2014-12-04,9775.0
2014-12-05,9700.0
2014-12-08,9500.0
2014-12-09,9300.0
2014-12-10,9200.0
2014-12-11,9150.0
2014-12-12,9100.0
2014-12-15,9200.0
2014-12-16,9250.0
2014-12-17,9350.0
2014-12-18,9550.0
2014-12-19,9700.0
2014-12-22,9900.0
2014-12-23,9850.0
2014-12-24,9800.0
2014-12-25,9800.0
2014-12-26,9800.0
2014-12-29,9900.0
2014-12-30,9900.0
2014-12-31,9950.0
2015-01-05,9700.0
2015-01-06,9550.0
2015-01-07,9450.0
2015-01-08,9350.0
2015-01-09,9200.0
2015-01-12,8950.0
2015-01-13,8850.0
2015-01-14,8950.0
2015-01-15,9200.0
2015-01-16,9250.0
2015-01-19,9300.0
2015-01-20,9300.0
2015-01-21,9250.0
2015-01-22,9150.0
2015-01-23,9100.0
2015-01-26,8950.0
2015-01-27,8900.0
2015-01-28,8875.0
2015-01-29,8850.0
2015-01-30,8800.0
2015-02-02,9000.0
2015-02-03,9050.0
2015-02-04,9150.0
2015-02-05,8950.0
2015-02-06,9050.0
2015-02-09,9150.0
2015-02-10,9250.0
2015-02-11,9200.0
2015-02-12,9200.0
2015-02-13,9300.0
2015-02-16,9300.0
2015-02-17,9350.0
2015-02-25,9350.0
2015-02-26,9400.0
2015-02-27,9400.0
2015-03-02,9700.0
2015-03-03,9675.0
2015-03-04,9675.0
2015-03-05,9500.0
2015-03-06,9400.0
2015-03-09,9350.0
2015-03-10,9350.0
2015-03-11,9350.0
2015-03-12,9400.0
2015-03-13,9400.0
2015-03-16,9450.0
2015-03-17,9450.0
2015-03-18,9450.0
2015-03-19,9550.0
2015-03-20,9600.0
2015-03-23,9700.0
2015-03-24,9750.0
2015-03-25,9800.0
2015-03-26,9900.0
2015-03-27,9950.0
2015-03-30,9950.0
2015-03-31,10050.0
2015-04-01,10150.0
2015-04-02,10250.0
2015-04-03,10200.0
2015-04-07,10250.0
2015-04-08,10325.0
2015-04-09,10225.0
2015-04-10,10200.0
2015-04-13,10150.0
2015-04-14,10100.0
2015-04-15,10000.0
2015-04-16,10100.0
2015-04-17,10125.0
2015-04-20,10250.0
2015-04-21,10250.0
2015-04-22,10250.0
2015-04-23,10300.0
2015-04-24,10400.0
2015-04-27,10475.0
2015-04-28,10500.0
2015-04-29,10450.0
2015-04-30,10650.0
2015-05-04,10700.0
2015-05-05,10650.0
2015-05-06,10600.0
2015-05-07,10500.0
2015-05-08,10400.0
2015-05-11,10300.0
2015-05-12,10150.0
2015-05-13,10125.0
2015-05-14,10100.0
2015-05-15,10050.0
2015-05-18,9950.0
2015-05-19,9850.0
2015-05-20,9700.0
2015-05-21,9850.0
2015-05-22,10000.0
2015-05-25,10050.0
2015-05-26,10075.0
2015-05-27,9950.0
2015-05-28,9900.0
2015-05-29,9900.0
2015-06-01,9900.0
2015-06-02,9850.0
2015-06-03,9800.0
2015-06-04,9800.0
2015-06-05,9800.0
2015-06-08,9625.0
2015-06-09,9575.0
2015-06-10,9650.0
2015-06-11,9750.0
2015-06-12,9800.0
2015-06-15,9700.0
2015-06-16,9775.0
2015-06-17,9675.0
2015-06-18,9625.0
2015-06-19,9625.0
2015-06-23,9575.0
2015-06-24,9625.0
2015-06-25,9625.0
2015-06-26,9625.0
2015-06-29,9625.0
2015-06-30,9675.0
2015-07-01,9725.0
2015-07-02,9700.0
2015-07-03,9700.0
2015-07-06,9600.0
2015-07-07,9400.0
2015-07-08,9025.0
2015-07-09,9400.0
2015-07-10,9450.0
2015-07-13,9350.0
2015-07-14,9350.0
2015-07-15,9300.0
2015-07-16,9200.0
2015-07-17,9175.0
2015-07-20,9225.0
2015-07-21,9175.0
2015-07-22,9225.0
2015-07-23,9275.0
2015-07-24,9175.0
2015-07-27,9000.0
2015-07-28,8875.0
2015-07-29,9075.0
2015-07-30,9075.0
2015-07-31,9000.0
2015-08-03,8875.0
2015-08-04,8775.0
2015-08-05,8925.0
2015-08-06,8875.0
2015-08-07,8900.0
2015-08-10,8925.0
2015-08-11,9175.0
2015-08-12,9175.0
2015-08-13,9225.0
2015-08-14,9225.0
2015-08-17,9200.0
2015-08-18,9125.0
2015-08-19,9100.0
2015-08-20,9050.0
2015-08-21,9025.0
2015-08-24,8875.0
2015-08-25,8900.0
2015-08-26,8900.0
2015-08-27,8975.0
2015-08-28,9075.0
2015-08-31,9000.0
2015-09-01,9025.0
2015-09-02,8975.0
2015-09-07,9125.0
2015-09-08,9075.0
2015-09-09,9050.0
2015-09-10,9025.0
2015-09-11,9050.0
2015-09-14,9050.0
2015-09-15,9050.0
2015-09-16,8950.0
2015-09-17,8950.0
2015-09-18,8950.0
2015-09-21,8900.0
2015-09-22,8900.0
2015-09-23,8850.0
2015-09-24,8800.0
2015-09-25,8800.0
2015-09-28,8800.0
2015-09-29,8850.0
2015-09-30,8800.0
2015-10-08,9000.0
2015-10-09,9100.0
2015-10-12,9100.0
2015-10-13,9000.0
2015-10-14,9000.0
2015-10-15,8950.0
2015-10-16,8950.0
2015-10-19,8900.0
2015-10-20,8900.0
2015-10-21,8850.0
2015-10-22,9000.0
2015-10-23,8900.0
2015-10-26,8900.0
2015-10-27,8800.0
2015-10-28,8800.0
2015-10-29,8800.0
2015-10-30,8800.0
2015-11-02,8850.0
2015-11-03,8850.0
2015-11-04,8850.0
2015-11-05,8800.0
2015-11-06,8800.0
2015-11-09,8800.0
2015-11-10,8800.0
2015-11-11,8750.0
2015-11-12,8750.0
2015-11-13,8700.0
2015-11-16,8650.0
2015-11-17,8700.0
2015-11-18,8600.0
2015-11-19,8500.0
2015-11-20,8450.0
2015-11-23,8600.0
2015-11-24,8700.0
2015-11-25,8750.0
2015-11-26,8800.0
2015-11-27,8750.0
2015-11-30,8750.0
2015-12-01,8800.0
2015-12-02,8900.0
2015-12-03,8900.0
2015-12-04,8900.0
2015-12-07,8800.0
2015-12-08,8800.0
2015-12-09,8750.0
2015-12-10,8750.0
2015-12-11,8700.0
2015-12-14,8650.0
2015-12-15,8650.0
2015-12-16,8650.0
2015-12-17,8650.0
2015-12-18,8700.0
2015-12-21,8700.0
2015-12-22,8750.0
2015-12-23,8750.0
2015-12-24,8750.0
2015-12-25,8850.0
2015-12-28,9000.0
2015-12-29,9100.0
2015-12-30,9100.0
2015-12-31,9100.0
2016-01-04,9100.0
2016-01-05,9200.0
2016-01-06,9200.0
2016-01-07,9050.0
2016-01-08,8950.0
2016-01-11,8900.0
2016-01-12,8850.0
2016-01-13,8800.0
2016-01-14,8800.0
2016-01-15,8750.0
2016-01-18,8800.0
2016-01-19,8850.0
2016-01-20,8850.0
2016-01-21,8850.0
2016-01-22,8850.0
2016-01-25,8900.0
2016-01-26,8900.0
2016-01-27,9100.0
2016-01-28,9100.0
2016-01-29,9050.0
2016-02-01,9000.0
2016-02-02,9000.0
2016-02-03,9000.0
2016-02-04,9000.0
2016-02-05,9000.0
2016-02-15,9000.0
2016-02-16,9000.0
2016-02-17,8900.0
2016-02-18,8750.0
2016-02-19,8850.0
2016-02-22,8850.0
2016-02-23,8850.0
2016-02-24,8850.0
2016-02-25,8900.0
2016-02-26,8900.0
2016-02-29,8870.0
2016-03-01,8920.0
2016-03-02,9000.0
2016-03-03,9000.0
2016-03-04,9050.0
2016-03-07,9120.0
2016-03-08,9100.0
2016-03-09,9100.0
2016-03-10,9100.0
2016-03-11,9050.0
2016-03-14,9000.0
2016-03-15,9000.0
2016-03-16,9100.0
2016-03-17,9200.0
2016-03-18,9400.0
2016-03-21,9400.0
2016-03-22,9300.0
2016-03-23,9280.0
2016-03-24,9300.0
2016-03-25,9400.0
2016-03-28,9450.0
2016-03-29,9450.0
2016-03-30,9400.0
2016-03-31,9450.0
2016-04-01,9600.0
2016-04-05,9600.0
2016-04-06,9550.0
2016-04-07,9500.0
2016-04-08,9400.0
2016-04-11,9350.0
2016-04-12,9350.0
2016-04-13,9350.0
2016-04-14,9300.0
2016-04-15,9250.0
2016-04-18,9150.0
2016-04-19,8900.0
2016-04-20,8900.0
2016-04-21,8900.0
2016-04-22,8900.0
2016-04-25,8950.0
2016-04-26,8950.0
2016-04-27,8950.0
2016-04-28,8950.0
2016-04-29,8900.0
2016-05-03,8900.0
2016-05-04,8850.0
2016-05-05,8800.0
2016-05-06,8750.0
2016-05-09,8700.0
2016-05-10,8750.0
2016-05-11,8750.0
2016-05-12,8750.0
2016-05-13,8750.0
2016-05-16,8750.0
2016-05-17,8750.0
2016-05-18,8700.0
2016-05-19,8750.0
2016-05-20,8740.0
2016-05-23,8700.0
2016-05-24,8650.0
2016-05-25,8640.0
2016-05-26,8650.0
2016-05-27,8630.0
2016-05-30,8650.0
2016-05-31,8650.0
2016-06-01,8695.0
