日期,泰国STR20混合胶
2013-01-04,22500.0
2013-01-07,22400.0
2013-01-08,22500.0
2013-01-09,22600.0
2013-01-10,22900.0
2013-01-11,22600.0
2013-01-14,22600.0
2013-01-15,22600.0
2013-01-16,22400.0
2013-01-17,22400.0
2013-01-18,22400.0
2013-01-21,22600.0
2013-01-22,22600.0
2013-01-23,22600.0
2013-01-24,22600.0
2013-01-25,22600.0
2013-01-28,22500.0
2013-01-29,22500.0
2013-01-30,22500.0
2013-01-31,22600.0
2013-02-01,22800.0
2013-02-04,23200.0
2013-02-05,23200.0
2013-02-06,23200.0
2013-02-07,23200.0
2013-02-08,23200.0
2013-02-18,23400.0
2013-02-19,23200.0
2013-02-20,22800.0
2013-02-21,22400.0
2013-02-22,22500.0
2013-02-25,22200.0
2013-02-26,21600.0
2013-02-27,21800.0
2013-02-28,22000.0
2013-03-01,21700.0
2013-03-04,21700.0
2013-03-05,21700.0
2013-03-06,21700.0
2013-03-07,21400.0
2013-03-08,21400.0
2013-03-11,21400.0
2013-03-12,21200.0
2013-03-13,20800.0
2013-03-14,20500.0
2013-03-15,20600.0
2013-03-18,20220.0
2013-03-19,20350.0
2013-03-20,20350.0
2013-03-21,20550.0
2013-03-22,20550.0
2013-03-25,20200.0
2013-03-26,20200.0
2013-03-27,19950.0
2013-03-28,19750.0
2013-03-29,19500.0
2013-04-01,19500.0
2013-04-02,19450.0
2013-04-03,19500.0
2013-04-08,19150.0
2013-04-09,19350.0
2013-04-10,19350.0
2013-04-11,19300.0
2013-04-12,19300.0
2013-04-15,18400.0
2013-04-16,18150.0
2013-04-17,18000.0
2013-04-18,17200.0
2013-04-19,17550.0
2013-04-22,17500.0
2013-04-23,17500.0
2013-04-24,17700.0
2013-04-25,18000.0
2013-04-26,18000.0
2013-05-02,17850.0
2013-05-03,18600.0
2013-05-06,18950.0
2013-05-07,18600.0
2013-05-08,19100.0
2013-05-09,18900.0
2013-05-10,19200.0
2013-05-13,19000.0
2013-05-14,18500.0
2013-05-15,18500.0
2013-05-16,18300.0
2013-05-17,18800.0
2013-05-20,18600.0
2013-05-21,18600.0
2013-05-22,18200.0
2013-05-23,17800.0
2013-05-24,17600.0
2013-05-27,17400.0
2013-05-28,17350.0
2013-05-29,17300.0
2013-05-30,17200.0
2013-05-31,17200.0
2013-06-03,17200.0
2013-06-04,17200.0
2013-06-05,17200.0
2013-06-06,17050.0
2013-06-07,17050.0
2013-06-13,16600.0
2013-06-14,16700.0
2013-06-17,16700.0
2013-06-18,16600.0
2013-06-19,16900.0
2013-06-20,16500.0
2013-06-21,16500.0
2013-06-24,16200.0
2013-06-25,16150.0
2013-06-26,16050.0
2013-06-27,16000.0
2013-06-28,16000.0
2013-07-01,16050.0
2013-07-02,16050.0
2013-07-03,16150.0
2013-07-04,16250.0
2013-07-05,16250.0
2013-07-08,15900.0
2013-07-09,15800.0
2013-07-10,15600.0
2013-07-11,16000.0
2013-07-12,16000.0
2013-07-15,15800.0
2013-07-16,15800.0
2013-07-17,16300.0
2013-07-18,16450.0
2013-07-19,16600.0
2013-07-22,16350.0
2013-07-23,16350.0
2013-07-24,16150.0
2013-07-25,16100.0
2013-07-26,16000.0
2013-07-29,15600.0
2013-07-30,15700.0
2013-07-31,15850.0
2013-08-01,15950.0
2013-08-02,15800.0
2013-08-05,16000.0
2013-08-06,16100.0
2013-08-07,16200.0
2013-08-08,16250.0
2013-08-09,16700.0
2013-08-12,17000.0
2013-08-13,17200.0
2013-08-14,16950.0
2013-08-15,16700.0
2013-08-16,16950.0
2013-08-19,17200.0
2013-08-20,16900.0
2013-08-21,16800.0
2013-08-22,17000.0
2013-08-23,17200.0
