日期,BZ
2015-01-05,660.0
2015-01-06,630.0
2015-01-07,572.0
2015-01-08,587.0
2015-01-09,585.0
2015-01-12,580.0
2015-01-13,544.0
2015-01-14,549.0
2015-01-15,579.0
2015-01-16,570.0
2015-01-19,591.0
2015-01-20,591.0
2015-01-21,609.0
2015-01-22,642.0
2015-01-23,684.0
2015-01-26,645.0
2015-01-27,632.0
2015-01-28,625.0
2015-01-29,621.0
2015-01-30,597.0
2015-02-02,618.0
2015-02-03,666.0
2015-02-04,670.0
2015-02-05,631.0
2015-02-06,658.0
2015-02-09,663.0
2015-02-10,664.0
2015-02-11,649.0
2015-02-12,646.0
2015-02-13,659.0
2015-02-16,663.0
2015-02-17,659.0
2015-02-25,635.0
2015-02-26,668.0
2015-02-27,691.0
2015-03-02,718.0
2015-03-03,736.0
2015-03-04,755.0
2015-03-05,756.0
2015-03-06,785.0
2015-03-09,775.0
2015-03-10,753.0
2015-03-11,737.0
2015-03-12,742.0
2015-03-13,766.0
2015-03-16,733.0
2015-03-17,708.0
2015-03-18,691.0
2015-03-19,714.0
2015-03-20,718.0
2015-03-23,753.0
2015-03-24,773.0
2015-03-25,762.0
2015-03-26,789.0
2015-03-27,773.0
2015-03-30,752.0
2015-03-31,750.0
2015-04-01,756.0
2015-04-02,766.0
2015-04-03,766.0
2015-04-07,808.0
2015-04-08,792.0
2015-04-09,785.0
2015-04-10,791.0
2015-04-13,816.0
2015-04-14,816.0
2015-04-15,834.0
2015-04-16,864.0
2015-04-17,855.0
2015-04-20,868.0
2015-04-21,871.0
2015-04-22,861.0
2015-04-23,856.0
2015-04-24,871.0
2015-04-27,863.0
2015-04-28,851.0
2015-04-29,840.0
2015-04-30,827.0
2015-05-04,841.0
2015-05-05,850.0
2015-05-06,858.0
2015-05-07,857.0
2015-05-08,840.0
2015-05-11,840.0
2015-05-12,836.0
2015-05-13,812.0
2015-05-14,794.0
2015-05-15,751.0
2015-05-18,752.0
2015-05-19,735.0
2015-05-20,712.0
2015-05-21,733.0
2015-05-22,735.0
2015-05-25,721.0
2015-05-26,727.0
2015-05-27,727.0
2015-05-28,741.0
2015-05-29,772.0
2015-06-01,772.0
2015-06-02,782.0
2015-06-03,777.0
2015-06-04,770.0
2015-06-05,763.0
2015-06-08,769.0
2015-06-09,780.0
2015-06-10,807.0
2015-06-11,829.0
2015-06-12,832.0
2015-06-15,828.0
2015-06-16,825.0
2015-06-17,818.0
2015-06-18,820.0
2015-06-19,817.0
2015-06-23,840.0
2015-06-24,851.0
2015-06-25,845.0
2015-06-26,830.0
2015-06-29,791.0
2015-06-30,771.0
2015-07-01,793.0
2015-07-02,782.0
2015-07-03,794.0
2015-07-06,762.0
2015-07-07,738.0
2015-07-08,730.0
2015-07-09,756.0
2015-07-10,782.0
2015-07-13,768.0
2015-07-14,752.0
2015-07-15,762.0
2015-07-16,765.0
2015-07-17,765.0
2015-07-20,792.0
2015-07-21,790.0
2015-07-22,807.0
2015-07-23,799.0
2015-07-24,795.0
2015-07-27,774.0
2015-07-28,760.0
2015-07-29,761.0
2015-07-30,771.0
2015-07-31,770.0
2015-08-03,737.0
2015-08-04,705.0
2015-08-05,732.0
2015-08-06,719.0
2015-08-07,719.0
2015-08-10,719.0
2015-08-11,711.0
2015-08-12,681.0
2015-08-13,680.0
2015-08-14,655.0
2015-08-17,652.0
2015-08-18,623.0
2015-08-19,611.0
2015-08-20,586.0
2015-08-21,577.0
2015-08-24,533.0
2015-08-25,543.0
2015-08-26,542.0
2015-08-27,561.0
2015-08-28,566.0
2015-08-31,570.0
2015-09-01,613.0
2015-09-02,579.0
2015-09-07,566.0
2015-09-08,580.0
2015-09-09,592.0
2015-09-10,585.0
2015-09-11,585.0
2015-09-14,581.0
2015-09-15,571.0
2015-09-16,574.0
2015-09-17,585.0
2015-09-18,572.0
2015-09-21,573.0
2015-09-22,592.0
2015-09-23,585.0
2015-09-24,585.0
2015-09-25,587.0
2015-09-28,578.0
2015-09-29,570.0
2015-09-30,565.0
2015-10-08,590.0
2015-10-09,607.0
2015-10-12,612.0
