日期,BZ
2015-10-13,610.0
2015-10-14,610.0
2015-10-15,597.0
2015-10-16,613.0
2015-10-19,620.0
2015-10-20,605.0
2015-10-21,599.0
2015-10-22,601.0
2015-10-23,605.0
2015-10-26,607.0
2015-10-27,601.0
2015-10-28,588.0
2015-10-29,601.0
2015-10-30,602.0
2015-11-02,609.0
2015-11-03,631.0
2015-11-04,631.0
2015-11-05,632.0
2015-11-06,626.0
2015-11-09,635.0
2015-11-10,635.0
2015-11-11,643.0
2015-11-12,639.0
2015-11-13,623.0
2015-11-16,617.0
2015-11-17,620.0
2015-11-18,630.0
2015-11-19,639.0
2015-11-20,645.0
2015-11-23,633.0
2015-11-24,616.0
2015-11-25,628.0
2015-11-26,620.0
2015-11-27,611.0
2015-11-30,619.0
2015-12-01,624.0
2015-12-02,626.0
2015-12-03,618.0
2015-12-04,627.0
2015-12-07,616.0
2015-12-08,604.0
2015-12-09,607.0
2015-12-10,606.0
2015-12-11,607.0
2015-12-14,590.0
2015-12-15,566.0
2015-12-16,577.0
2015-12-17,571.0
2015-12-18,557.0
2015-12-21,555.0
2015-12-22,566.0
2015-12-23,578.0
2015-12-24,578.0
2015-12-25,578.0
2015-12-28,580.0
2015-12-29,582.0
2015-12-30,590.0
2015-12-31,596.0
2016-01-04,595.0
2016-01-05,590.0
2016-01-06,588.0
2016-01-07,565.0
2016-01-08,574.0
2016-01-11,554.0
2016-01-12,539.0
2016-01-13,537.0
2016-01-14,570.0
2016-01-15,563.0
2016-01-18,562.0
2016-01-19,573.0
2016-01-20,579.0
2016-01-21,528.0
2016-01-22,542.0
2016-01-25,552.0
2016-01-26,530.0
2016-01-27,531.0
2016-01-28,542.0
2016-01-29,549.0
2016-02-01,538.0
2016-02-02,542.0
2016-02-03,542.0
2016-02-04,550.0
2016-02-05,550.0
2016-02-15,541.0
2016-02-16,552.0
2016-02-17,540.0
2016-02-18,553.0
2016-02-19,553.0
2016-02-22,549.0
2016-02-23,551.0
2016-02-24,551.0
2016-02-25,551.0
2016-02-26,556.0
2016-02-29,562.0
2016-03-01,580.0
2016-03-02,600.0
2016-03-03,619.0
2016-03-04,622.0
2016-03-07,651.0
2016-03-08,673.0
2016-03-09,655.0
2016-03-10,644.0
2016-03-11,644.0
2016-03-14,637.0
2016-03-15,631.0
2016-03-16,608.0
2016-03-17,614.0
2016-03-18,634.0
2016-03-21,617.0
2016-03-22,623.0
2016-03-23,634.0
2016-03-24,623.0
2016-03-25,623.0
2016-03-28,623.0
2016-03-29,634.0
2016-03-30,632.0
2016-03-31,630.0
2016-04-01,632.0
2016-04-05,623.0
2016-04-06,630.0
2016-04-07,631.0
2016-04-08,639.0
2016-04-11,630.0
2016-04-12,630.0
2016-04-13,650.0
2016-04-14,641.0
2016-04-15,642.0
2016-04-18,643.0
2016-04-19,644.0
2016-04-20,645.0
2016-04-21,646.0
2016-04-22,647.0
2016-04-25,648.0
2016-04-26,649.0
2016-04-27,657.0
2016-04-28,657.0
2016-04-29,662.0
2016-05-03,658.0
2016-05-04,654.0
2016-05-05,658.0
2016-05-06,652.0
2016-05-09,653.0
2016-05-10,647.0
2016-05-11,645.0
2016-05-12,648.0
2016-05-13,645.0
2016-05-16,631.0
2016-05-17,630.0
2016-05-18,633.0
2016-05-19,630.0
2016-05-20,630.0
2016-05-23,628.0
2016-05-24,614.0
2016-05-25,610.0
2016-05-26,613.0
2016-05-27,599.0
2016-05-30,602.0
2016-05-31,606.0
2016-06-01,599.0
2016-06-02,593.0
2016-06-03,601.0
2016-06-06,605.0
2016-06-07,610.0
2016-06-08,621.0
2016-06-13,607.0
2016-06-14,597.0
2016-06-15,587.0
2016-06-16,597.0
2016-06-17,602.0
2016-06-20,620.0
2016-06-21,621.0
2016-06-22,623.0
2016-06-23,615.0
2016-06-24,607.0
2016-06-27,612.0
2016-06-28,621.0
2016-06-29,631.0
2016-06-30,632.0
2016-07-01,633.0
2016-07-04,638.0
2016-07-05,636.0
2016-07-06,636.0
2016-07-07,658.0
2016-07-08,642.0
2016-07-11,635.0
2016-07-12,637.0
2016-07-13,641.0
2016-07-14,638.0
2016-07-15,636.0
2016-07-18,635.0
2016-07-19,635.0
2016-07-20,633.0
2016-07-21,649.0
2016-07-22,634.0
2016-07-25,632.0
2016-07-26,630.0
2016-07-27,626.0
2016-07-28,621.0
2016-07-29,608.0
2016-08-01,609.0
2016-08-02,595.0
2016-08-03,600.0
2016-08-04,614.0
2016-08-05,620.0
2016-08-08,629.0
2016-08-09,629.0
2016-08-10,640.0
2016-08-11,646.0
2016-08-12,662.0
2016-08-15,662.0
2016-08-16,671.0
2016-08-17,665.0
2016-08-18,671.0
2016-08-19,685.0
2016-08-22,670.0
2016-08-23,663.0
2016-08-24,649.0
2016-08-25,652.0
2016-08-26,665.0
2016-08-29,660.0
2016-08-30,657.0
2016-08-31,663.0
2016-09-01,660.0
2016-09-02,653.0
2016-09-05,658.0
2016-09-06,649.0
2016-09-07,654.0
2016-09-08,663.0
2016-09-09,658.0
2016-09-12,658.0
2016-09-13,644.0
2016-09-14,630.0
2016-09-19,632.0
2016-09-20,629.0
2016-09-21,627.0
2016-09-22,630.0
2016-09-23,629.0
2016-09-26,625.0
2016-09-27,623.0
2016-09-28,611.0
2016-09-29,618.0
2016-09-30,618.0
2016-10-10,631.0
2016-10-11,634.0
2016-10-12,636.0
2016-10-13,632.0
2016-10-14,635.0
2016-10-17,633.0
2016-10-18,631.0
2016-10-19,633.0
2016-10-20,639.0
2016-10-21,640.0
2016-10-24,646.0
2016-10-25,650.0
2016-10-26,652.0
2016-10-27,647.0
2016-10-28,647.0
2016-10-31,641.0
2016-11-01,640.0
2016-11-02,650.0
2016-11-03,663.0
2016-11-04,663.0
2016-11-07,655.0
2016-11-08,669.0
2016-11-09,665.0
2016-11-10,680.0
2016-11-11,690.0
2016-11-14,684.0
2016-11-15,683.0
2016-11-16,687.0
2016-11-17,691.0
2016-11-18,699.0
2016-11-21,708.0
2016-11-22,719.0
2016-11-23,722.0
2016-11-24,736.0
2016-11-25,731.0
2016-11-28,726.0
2016-11-29,735.0
2016-11-30,738.0
2016-12-01,764.0
2016-12-02,787.0
2016-12-05,806.0
2016-12-06,816.0
2016-12-07,848.0
2016-12-08,910.0
2016-12-09,895.0
2016-12-12,889.0
2016-12-13,861.0
2016-12-14,862.0
2016-12-15,851.0
2016-12-16,813.0
2016-12-19,802.0
2016-12-20,775.0
2016-12-21,801.0
2016-12-22,823.0
2016-12-23,829.0
2016-12-26,829.0
2016-12-27,818.0
2016-12-28,833.0
2016-12-29,834.0
2016-12-30,838.0
2017-01-03,824.0
2017-01-04,828.0
2017-01-05,860.0
2017-01-06,887.0
2017-01-09,901.0
2017-01-10,926.0
2017-01-11,924.0
2017-01-12,926.0
2017-01-13,919.0
2017-01-16,916.0
2017-01-17,931.0
2017-01-18,980.0
2017-01-19,989.0
2017-01-20,978.0
2017-01-23,992.0
2017-01-24,1010.0
2017-01-25,1023.0
2017-01-26,1002.0
2017-02-03,1041.0
2017-02-06,1054.0
2017-02-07,1051.0
2017-02-08,1050.0
2017-02-09,1026.0
2017-02-10,1036.0
2017-02-13,1053.0
2017-02-14,1051.0
2017-02-15,1043.0
2017-02-16,1024.0
2017-02-17,1006.0
2017-02-20,997.0
2017-02-21,969.0
2017-02-22,949.0
2017-02-23,927.0
2017-02-24,971.0
2017-02-27,959.0
2017-02-28,931.0
2017-03-01,915.0
2017-03-02,920.0
2017-03-03,910.0
2017-03-06,939.0
2017-03-07,931.0
2017-03-08,889.0
2017-03-09,862.0
2017-03-10,822.0
2017-03-13,813.0
2017-03-14,813.0
2017-03-15,805.0
2017-03-16,802.0
2017-03-17,810.0
2017-03-20,806.0
2017-03-21,783.0
2017-03-22,744.0
2017-03-23,715.0
2017-03-24,729.0
2017-03-27,770.0
2017-03-28,780.0
2017-03-29,804.0
2017-03-30,803.0
2017-03-31,810.0
2017-04-05,865.0
2017-04-06,850.0
2017-04-07,847.0
2017-04-10,853.0
2017-04-11,860.0
2017-04-12,849.0
2017-04-13,822.0
2017-04-14,822.0
2017-04-17,793.0
2017-04-18,760.0
2017-04-19,785.0
2017-04-20,782.0
2017-04-21,802.0
2017-04-24,784.0
2017-04-25,782.0
2017-04-26,763.0
2017-04-27,764.0
2017-04-28,763.0
2017-05-02,763.0
2017-05-03,761.0
2017-05-04,752.0
2017-05-05,719.0
2017-05-08,730.0
2017-05-09,706.0
2017-05-10,706.0
2017-05-11,720.0
2017-05-12,720.0
2017-05-15,747.0
2017-05-16,762.0
2017-05-17,759.0
2017-05-18,759.0
2017-05-19,789.0
2017-05-22,800.0
2017-05-23,764.0
2017-05-24,770.0
2017-05-25,765.0
2017-05-26,751.0
2017-05-31,754.0
2017-06-01,748.0
2017-06-02,737.0
2017-06-05,749.0
2017-06-06,746.0
2017-06-07,746.0
2017-06-08,740.0
2017-06-09,743.0
2017-06-12,766.0
2017-06-13,773.0
2017-06-14,778.0
2017-06-15,763.0
2017-06-16,750.0
2017-06-19,753.0
2017-06-20,750.0
2017-06-21,733.0
2017-06-22,726.0
2017-06-23,735.0
2017-06-26,735.0
2017-06-27,733.5
2017-06-28,730.5
2017-06-29,750.5
2017-06-30,735.0
2017-07-03,739.0
2017-07-04,737.0
2017-07-05,736.0
2017-07-06,724.5
2017-07-07,715.0
2017-07-10,713.5
2017-07-11,713.0
2017-07-12,724.0
2017-07-13,724.0
2017-07-14,723.0
2017-07-17,720.0
2017-07-18,720.5
2017-07-19,721.5
2017-07-20,727.0
2017-07-21,729.0
2017-07-24,727.5
2017-07-25,727.5
2017-07-26,732.0
2017-07-27,729.5
2017-07-28,728.5
2017-07-31,732.5
2017-08-01,731.0
2017-08-02,727.0
2017-08-03,739.0
2017-08-04,746.0
2017-08-07,746.0
2017-08-08,755.0
2017-08-09,755.0
2017-08-10,760.0
2017-08-11,757.0
2017-08-14,755.0
2017-08-15,754.0
2017-08-16,753.0
2017-08-17,755.5
2017-08-18,761.0
2017-08-21,766.0
2017-08-22,770.0
2017-08-23,768.0
2017-08-24,771.5
2017-08-25,795.5
2017-08-28,816.5
2017-08-29,818.0
2017-08-30,794.0
2017-08-31,805.0
2017-09-01,805.0
2017-09-04,830.0
2017-09-05,824.0
2017-09-06,810.0
2017-09-07,804.0
2017-09-08,801.0
2017-09-11,794.0
2017-09-12,783.0
2017-09-13,778.0
2017-09-14,774.0
2017-09-15,777.0
2017-09-18,776.5
2017-09-19,776.5
2017-09-20,804.0
2017-09-21,796.0
2017-09-22,787.0
2017-09-25,785.5
2017-09-26,793.0
2017-09-27,794.5
2017-09-28,779.5
2017-09-29,766.5
2017-10-09,769.0
2017-10-10,763.0
2017-10-11,762.0
2017-10-12,773.0
2017-10-13,780.0
2017-10-16,789.5
2017-10-17,783.5
2017-10-18,783.5
2017-10-19,786.5
2017-10-20,788.5
2017-10-23,803.5
2017-10-24,800.5
2017-10-25,798.0
2017-10-26,794.0
2017-10-27,791.0
2017-10-30,795.0
2017-10-31,794.0
2017-11-01,812.0
2017-11-02,811.0
2017-11-03,815.0
2017-11-06,828.0
2017-11-07,856.0
2017-11-08,872.0
2017-11-09,836.0
2017-11-10,835.0
2017-11-13,836.0
2017-11-14,859.0
2017-11-15,834.0
2017-11-16,834.0
2017-11-17,836.0
2017-11-20,850.0
2017-11-21,847.0
2017-11-22,864.0
2017-11-23,864.0
2017-11-24,876.5
2017-11-27,879.5
2017-11-28,893.5
2017-11-29,879.5
2017-11-30,869.5
2017-12-01,873.0
2017-12-04,875.0
2017-12-05,885.0
2017-12-06,908.0
2017-12-07,910.0
2017-12-08,902.0
2017-12-11,899.0
2017-12-12,899.0
2017-12-13,909.0
2017-12-14,902.0
2017-12-15,904.0
2017-12-18,902.5
2017-12-19,882.5
2017-12-20,874.5
2017-12-21,867.75
2017-12-22,849.0
2017-12-25,849.0
2017-12-26,855.5
2017-12-27,864.5
2017-12-28,877.5
2017-12-29,876.0
2018-01-02,886.0
2018-01-03,876.0
2018-01-04,886.0
2018-01-05,886.0
2018-01-08,877.0
2018-01-09,878.0
2018-01-10,881.0
2018-01-11,890.0
2018-01-12,900.0
2018-01-15,904.67
2018-01-16,909.33
2018-01-17,915.0
2018-01-18,943.67
2018-01-19,951.33
2018-01-22,948.67
2018-01-23,943.67
2018-01-24,942.67
2018-01-25,951.67
2018-01-26,953.67
2018-01-29,946.67
2018-01-30,930.67
2018-01-31,923.67
2018-02-01,929.33
2018-02-02,940.33
2018-02-05,925.0
2018-02-06,903.0
2018-02-07,899.33
2018-02-08,896.67
2018-02-09,869.67
2018-02-12,874.67
2018-02-13,872.0
2018-02-14,873.0
2018-02-22,908.0
2018-02-23,909.0
2018-02-26,911.0
2018-02-27,906.0
2018-02-28,898.0
2018-03-01,888.33
2018-03-02,876.0
2018-03-05,877.0
2018-03-06,887.67
2018-03-07,875.0
2018-03-08,857.67
2018-03-09,859.0
2018-03-12,875.0
2018-03-13,864.0
2018-03-14,861.67
2018-03-15,842.67
2018-03-16,835.33
2018-03-19,858.33
2018-03-20,850.33
2018-03-21,841.38
2018-03-22,852.33
2018-03-23,836.33
2018-03-26,832.08
2018-03-27,830.33
2018-03-28,827.0
2018-03-29,826.0
2018-03-30,826.0
2018-04-02,841.0
2018-04-03,836.67
2018-04-04,834.33
2018-04-09,824.67
2018-04-10,829.0
2018-04-11,831.0
2018-04-12,835.67
2018-04-13,840.33
2018-04-16,838.67
2018-04-17,837.67
2018-04-18,837.67
2018-04-19,840.67
2018-04-20,837.0
2018-04-23,839.33
2018-04-24,845.0
2018-04-25,845.33
2018-04-26,846.33
2018-04-27,842.33
2018-05-02,836.5
2018-05-03,836.67
2018-05-04,841.33
2018-05-07,857.33
2018-05-08,852.67
2018-05-09,857.67
2018-05-10,873.67
2018-05-11,868.33
2018-05-14,870.33
2018-05-15,878.33
2018-05-16,874.67
2018-05-17,877.33
2018-05-18,876.33
2018-05-21,871.0
2018-05-22,874.0
2018-05-23,865.0
2018-05-24,860.0
2018-05-25,845.33
2018-05-28,837.33
2018-05-29,837.33
2018-05-30,837.33
2018-05-31,856.33
2018-06-01,866.33
2018-06-04,861.67
2018-06-05,849.67
2018-06-06,850.67
2018-06-07,846.67
2018-06-08,843.0
2018-06-11,841.0
2018-06-12,842.0
2018-06-13,839.0
2018-06-14,835.0
2018-06-15,812.67
2018-06-19,806.67
2018-06-20,807.67
2018-06-21,800.67
2018-06-22,800.0
2018-06-25,811.0
2018-06-26,808.0
2018-06-27,814.67
2018-06-28,817.67
2018-06-29,813.67
2018-07-02,819.17
2018-07-03,820.67
2018-07-04,828.67
2018-07-05,832.33
2018-07-06,832.0
2018-07-09,831.67
2018-07-10,834.67
2018-07-11,834.67
2018-07-12,831.0
2018-07-13,831.33
2018-07-16,833.67
2018-07-17,825.33
2018-07-18,823.0
2018-07-19,828.0
2018-07-20,839.0
2018-07-23,838.67
2018-07-24,837.0
2018-07-25,838.67
2018-07-26,843.67
2018-07-27,857.67
2018-07-30,865.67
2018-07-31,877.33
2018-08-01,873.67
2018-08-02,873.67
2018-08-03,876.0
2018-08-06,877.0
2018-08-07,868.33
2018-08-08,874.0
2018-08-09,874.0
2018-08-10,874.67
2018-08-13,882.5
2018-08-14,894.33
2018-08-15,892.58
2018-08-16,884.67
2018-08-17,880.33
2018-08-20,880.33
2018-08-21,877.33
2018-08-22,877.33
2018-08-23,881.33
2018-08-24,887.0
2018-08-27,883.67
2018-08-28,883.67
2018-08-29,881.0
2018-08-30,881.67
2018-08-31,887.67
2018-09-03,875.0
2018-09-04,869.67
2018-09-05,868.67
2018-09-06,867.67
2018-09-07,854.0
2018-09-10,844.33
2018-09-11,839.33
2018-09-12,846.33
2018-09-13,849.0
2018-09-14,847.33
2018-09-17,843.0
2018-09-18,843.0
2018-09-19,841.33
2018-09-20,842.67
2018-09-21,838.0
2018-09-25,848.67
2018-09-26,854.33
2018-09-27,858.33
2018-09-28,857.0
2018-10-08,847.33
2018-10-09,847.33
2018-10-10,846.67
2018-10-11,834.67
2018-10-12,829.67
2018-10-15,828.57
2018-10-16,818.33
2018-10-17,820.33
2018-10-18,814.67
2018-10-19,804.67
2018-10-22,807.67
2018-10-23,801.67
2018-10-24,774.67
2018-10-25,764.0
2018-10-26,765.67
2018-10-29,760.67
2018-10-30,753.67
2018-10-31,754.67
2018-11-01,740.0
2018-11-02,723.0
2018-11-05,716.0
2018-11-06,716.0
2018-11-07,691.33
2018-11-08,695.33
2018-11-09,689.33
2018-11-12,688.33
2018-11-13,683.33
2018-11-14,654.33
2018-11-15,662.67
2018-11-16,678.33
2018-11-19,680.0
2018-11-20,678.0
2018-11-21,663.67
2018-11-22,665.67
2018-11-23,654.67
2018-11-26,639.67
2018-11-27,645.33
2018-11-28,661.33
2018-11-29,641.33
2018-11-30,634.0
2018-12-03,641.0
2018-12-04,644.0
2018-12-05,642.67
2018-12-06,636.33
2018-12-07,616.0
2018-12-10,616.0
2018-12-11,595.67
2018-12-12,596.67
2018-12-13,599.33
2018-12-14,600.67
2018-12-17,599.83
2018-12-18,582.67
2018-12-19,554.67
2018-12-20,557.67
2018-12-21,544.0
2018-12-24,544.0
2018-12-25,544.0
2018-12-26,504.0
2018-12-27,515.0
2018-12-28,511.0
2019-01-02,517.0
2019-01-03,520.67
2019-01-04,540.0
2019-01-07,545.0
2019-01-08,545.33
2019-01-09,551.33
2019-01-10,561.33
2019-01-11,566.0
2019-01-14,560.5
2019-01-15,556.0
2019-01-16,567.0
2019-01-17,567.5
2019-01-18,568.5
2019-01-21,579.0
2019-01-22,569.0
2019-01-23,565.0
2019-01-24,560.0
2019-01-25,560.0
2019-01-28,561.0
2019-01-29,559.0
2019-01-30,562.0
2019-01-31,574.0
2019-02-01,588.33
2019-02-11,596.17
2019-02-12,596.33
2019-02-13,592.17
2019-02-14,596.0
2019-02-15,595.0
2019-02-18,607.33
2019-02-19,608.33
2019-02-20,610.33
2019-02-21,616.33
2019-02-22,620.33
2019-02-25,623.33
2019-02-26,612.33
2019-02-27,611.33
2019-02-28,609.83
2019-03-01,626.33
2019-03-04,617.0
2019-03-05,622.0
2019-03-06,620.0
2019-03-07,619.33
2019-03-08,610.33
2019-03-11,602.0
2019-03-12,602.0
2019-03-13,604.67
2019-03-14,612.67
2019-03-15,609.67
2019-03-18,614.67
2019-03-19,622.67
2019-03-20,626.0
2019-03-21,633.0
2019-03-22,626.0
2019-03-25,607.5
2019-03-26,597.0
2019-03-27,587.0
2019-03-28,538.0
2019-03-29,556.0
2019-04-01,582.33
2019-04-02,584.33
2019-04-03,589.33
2019-04-04,604.0
2019-04-08,637.0
2019-04-09,631.33
2019-04-10,629.67
2019-04-11,633.33
2019-04-12,642.83
2019-04-15,638.83
2019-04-16,628.67
2019-04-17,632.33
2019-04-18,636.0
2019-04-19,636.0
2019-04-22,651.33
2019-04-23,653.0
2019-04-24,650.0
2019-04-25,645.0
2019-04-26,631.0
2019-04-29,618.0
2019-04-30,616.0
2019-05-06,609.0
2019-05-07,620.5
2019-05-08,622.33
2019-05-09,620.83
2019-05-10,627.0
2019-05-13,627.0
2019-05-14,618.0
2019-05-15,613.0
2019-05-16,614.33
2019-05-17,616.0
2019-05-20,616.0
2019-05-21,628.0
2019-05-22,627.67
2019-05-23,625.67
2019-05-24,626.33
2019-05-27,638.33
2019-05-28,642.33
2019-05-29,639.33
2019-05-30,636.33
2019-05-31,617.33
2019-06-03,598.67
2019-06-04,605.33
2019-06-05,605.33
2019-06-06,621.0
2019-06-10,625.0
2019-06-11,625.0
2019-06-12,616.0
2019-06-13,615.0
2019-06-14,619.0
2019-06-17,620.5
2019-06-18,616.0
2019-06-19,626.0
2019-06-20,634.0
2019-06-21,638.0
2019-06-24,642.33
2019-06-25,634.33
2019-06-26,634.67
2019-06-27,633.67
2019-06-28,629.67
2019-07-01,642.33
2019-07-02,653.33
2019-07-03,648.33
2019-07-04,656.0
2019-07-05,660.33
2019-07-08,666.33
2019-07-09,676.33
