日期,PX
2009-01-05,666.25
2009-01-06,666.25
2009-01-07,678.75
2009-01-08,695.0
2009-01-09,695.0
2009-01-12,696.25
2009-01-13,708.75
2009-01-14,716.25
2009-01-15,721.25
2009-01-16,723.75
2009-01-19,720.0
2009-01-21,732.5
2009-01-22,745.0
2009-01-23,748.75
2009-02-02,795.0
2009-02-03,800.0
2009-02-04,805.0
2009-02-05,807.5
2009-02-06,815.0
2009-02-09,823.75
2009-02-10,827.5
2009-02-11,827.5
2009-02-12,828.75
2009-02-13,828.75
2009-02-16,828.75
2009-02-18,817.5
2009-02-19,802.5
2009-02-20,793.75
2009-02-23,793.75
2009-02-24,803.75
2009-02-25,806.25
2009-02-26,805.0
2009-02-27,802.5
2009-03-02,856.25
2009-03-03,850.0
2009-03-04,845.0
2009-03-05,843.75
2009-03-06,840.0
2009-03-09,846.25
2009-03-10,845.0
2009-03-11,845.0
2009-03-12,845.0
2009-03-13,852.5
2009-03-16,850.0
2009-03-17,850.0
2009-03-18,852.5
2009-03-19,856.25
2009-03-20,870.0
2009-03-23,876.25
2009-03-24,878.75
2009-03-25,880.0
2009-03-26,877.5
2009-03-27,880.0
2009-03-30,893.75
2009-03-31,905.0
2009-04-01,930.0
2009-04-02,942.5
2009-04-03,946.25
2009-04-07,961.25
2009-04-08,960.0
2009-04-09,956.25
2009-04-10,956.25
2009-04-14,955.0
2009-04-15,955.0
2009-04-16,967.5
2009-04-17,977.5
2009-04-20,1001.25
2009-04-21,1007.5
2009-04-22,1003.75
2009-04-23,1007.5
2009-04-24,1007.5
2009-04-27,1023.75
2009-04-28,1030.0
2009-04-29,1030.0
2009-04-30,1030.0
2009-05-04,1102.5
2009-05-05,1095.0
2009-05-06,1093.75
2009-05-07,1090.0
2009-05-08,1086.25
2009-05-11,1083.75
2009-05-12,1081.25
2009-05-13,1072.5
2009-05-14,1071.25
2009-05-15,1060.0
2009-05-18,1063.75
2009-05-19,1053.75
2009-05-20,1052.5
2009-05-21,1053.75
2009-05-22,1050.0
2009-05-25,1043.75
2009-05-27,1040.0
2009-06-01,1040.0
2009-06-02,1032.5
2009-06-03,1026.25
2009-06-04,1022.5
2009-06-05,1020.0
2009-06-08,1010.0
2009-06-09,997.5
2009-06-10,997.5
2009-06-11,997.5
2009-06-12,997.5
2009-06-15,998.75
2009-06-16,1000.0
2009-06-17,996.25
2009-06-18,992.5
2009-06-19,990.0
2009-06-22,992.5
2009-06-23,995.0
2009-06-24,992.5
2009-06-25,992.5
2009-06-26,996.25
2009-06-29,995.0
2009-06-30,995.0
2009-07-01,980.0
2009-07-02,980.0
2009-07-03,985.0
2009-07-07,990.0
2009-07-08,988.75
2009-07-09,987.5
2009-07-10,987.5
2009-07-13,987.5
2009-07-14,987.5
2009-07-15,987.5
2009-07-16,987.5
2009-07-17,987.5
2009-07-20,987.5
2009-07-21,987.5
2009-07-22,987.5
2009-07-23,987.5
2009-07-24,987.5
2009-07-27,987.5
2009-07-28,987.5
2009-07-29,987.5
2009-07-30,987.5
2009-07-31,987.5
2009-08-03,1027.5
2009-08-04,1027.5
2009-08-05,1027.5
2009-08-06,1027.5
2009-08-07,1027.5
2009-08-10,1027.5
2009-08-11,1027.5
2009-08-12,1027.5
2009-08-13,1027.5
2009-08-14,1027.5
2009-08-17,1027.5
2009-08-18,1027.5
2009-08-19,1027.5
2009-08-20,1027.5
2009-08-21,1027.5
2009-08-24,1027.5
2009-08-25,1027.5
2009-08-26,1027.5
2009-08-27,1027.5
2009-08-28,1027.5
2009-08-31,1027.5
2009-09-01,1027.5
2009-09-02,1027.5
2009-09-03,1027.5
2009-09-04,1027.5
2009-09-07,1027.5
2009-09-09,1027.5
2009-09-10,1027.5
2009-09-11,1027.5
2009-09-14,1027.5
2009-09-15,1027.5
2009-09-16,1027.5
2009-09-17,1027.5
2009-09-18,1027.5
2009-09-21,1027.5
2009-09-22,1027.5
2009-09-23,1027.5
2009-09-24,1027.5
2009-09-25,1027.5
2009-09-28,1027.5
2009-09-29,1027.5
2009-09-30,1027.5
2009-10-12,912.5
2009-10-13,913.5
2009-10-14,913.5
2009-10-15,927.5
2009-10-16,941.5
2009-10-19,935.0
2009-10-20,935.0
2009-10-21,942.5
2009-10-22,933.5
2009-10-23,938.5
2009-10-26,942.5
2009-10-27,945.0
2009-10-28,955.0
2009-10-29,955.0
2009-10-30,955.0
2009-11-02,968.5
2009-11-03,967.5
2009-11-04,970.0
2009-11-05,970.0
2009-11-06,965.0
2009-11-09,982.5
2009-11-10,985.0
