日期,电石华北 山东
2014-01-02,2900.0
2014-01-03,2900.0
2014-01-06,2900.0
2014-01-07,2900.0
2014-01-08,2900.0
2014-01-09,2900.0
2014-01-10,2900.0
2014-01-13,2900.0
2014-01-14,2900.0
2014-01-15,2900.0
2014-01-16,2900.0
2014-01-17,2900.0
2014-01-20,2900.0
2014-01-21,2900.0
2014-01-22,2900.0
2014-01-23,2900.0
2014-01-24,2900.0
2014-01-27,2900.0
2014-01-28,2900.0
2014-01-29,2900.0
2014-01-30,2900.0
2014-02-07,2900.0
2014-02-10,2900.0
2014-02-11,2850.0
2014-02-12,2850.0
2014-02-13,2850.0
2014-02-14,2850.0
2014-02-17,2850.0
2014-02-18,2850.0
2014-02-19,2850.0
2014-02-20,2850.0
2014-02-21,2850.0
2014-02-24,2850.0
2014-02-25,2850.0
2014-02-26,2850.0
2014-02-27,2850.0
2014-02-28,2850.0
2014-03-03,2850.0
2014-03-04,2850.0
2014-03-05,2850.0
2014-03-06,2850.0
2014-03-07,2850.0
2014-03-10,2850.0
2014-03-11,2850.0
2014-03-12,2850.0
2014-03-13,2850.0
2014-03-14,2850.0
2014-03-17,2850.0
2014-03-18,2900.0
2014-03-19,2900.0
2014-03-20,2900.0
2014-03-21,2900.0
2014-03-24,2950.0
2014-03-25,2950.0
2014-03-26,2950.0
2014-03-27,2950.0
2014-03-28,2950.0
2014-03-31,2950.0
2014-04-01,2950.0
2014-04-02,2950.0
2014-04-03,2950.0
2014-04-04,2950.0
2014-04-08,2950.0
2014-04-09,2950.0
2014-04-10,2950.0
2014-04-11,2950.0
2014-04-14,2950.0
2014-04-15,2950.0
2014-04-16,2950.0
2014-04-17,2950.0
2014-04-18,2950.0
2014-04-21,2950.0
2014-04-22,2950.0
2014-04-23,2950.0
2014-04-24,2950.0
2014-04-25,2950.0
2014-04-28,2900.0
2014-04-29,2900.0
2014-04-30,2900.0
2014-05-05,2900.0
2014-05-06,2900.0
2014-05-07,2870.0
2014-05-08,2870.0
2014-05-09,2870.0
2014-05-12,2870.0
2014-05-13,2870.0
2014-05-14,2870.0
2014-05-15,2870.0
2014-05-16,2870.0
2014-05-19,2870.0
2014-05-20,2870.0
2014-05-21,2870.0
2014-05-22,2870.0
2014-05-23,2870.0
2014-05-26,2850.0
2014-05-27,2850.0
2014-05-28,2850.0
2014-05-29,2850.0
2014-05-30,2850.0
2014-06-03,2850.0
2014-06-04,2850.0
2014-06-05,2850.0
2014-06-06,2850.0
2014-06-09,2850.0
2014-06-10,2850.0
2014-06-11,2850.0
2014-06-12,2850.0
2014-06-13,2850.0
2014-06-16,2850.0
2014-06-17,2850.0
2014-06-18,2850.0
2014-06-19,2850.0
2014-06-20,2850.0
2014-06-23,2850.0
2014-06-24,2850.0
2014-06-25,2850.0
2014-06-26,2850.0
2014-06-27,2800.0
2014-06-30,2800.0
2014-07-01,2800.0
2014-07-02,2800.0
2014-07-03,2800.0
2014-07-04,2800.0
2014-07-07,2800.0
2014-07-08,2800.0
2014-07-09,2800.0
2014-07-10,2800.0
2014-07-11,2750.0
2014-07-14,2750.0
2014-07-15,2750.0
2014-07-16,2750.0
2014-07-17,2750.0
2014-07-18,2750.0
2014-07-21,2750.0
2014-07-22,2750.0
2014-07-23,2750.0
2014-07-24,2750.0
2014-07-25,2750.0
2014-07-28,2750.0
2014-07-29,2750.0
2014-07-30,2750.0
2014-07-31,2750.0
2014-08-01,2750.0
2014-08-04,2750.0
2014-08-05,2750.0
2014-08-06,2750.0
2014-08-07,2750.0
2014-08-08,2750.0
2014-08-11,2780.0
2014-08-12,2780.0
2014-08-13,2780.0
2014-08-14,2780.0
2014-08-15,2780.0
2014-08-18,2780.0
2014-08-19,2780.0
2014-08-20,2780.0
2014-08-21,2780.0
2014-08-22,2780.0
2014-08-25,2780.0
2014-08-26,2800.0
2014-08-27,2780.0
2014-08-28,2780.0
2014-08-29,2780.0
2014-09-01,2780.0
2014-09-02,2780.0
2014-09-03,2780.0
2014-09-04,2780.0
2014-09-05,2780.0
2014-09-09,2780.0
2014-09-10,2800.0
2014-09-11,2800.0
2014-09-12,2800.0
2014-09-15,2800.0
2014-09-16,2800.0
2014-09-17,2800.0
2014-09-18,2800.0
2014-09-19,2800.0
2014-09-22,2800.0
2014-09-23,2800.0
2014-09-24,2800.0
2014-09-25,2800.0
2014-09-26,2800.0
2014-09-29,2850.0
2014-09-30,2850.0
2014-10-08,2850.0
2014-10-09,2850.0
2014-10-10,2850.0
2014-10-13,2850.0
2014-10-14,2850.0
2014-10-15,2850.0
2014-10-16,2850.0
2014-10-17,2850.0
2014-10-20,2800.0
2014-10-21,2800.0
2014-10-22,2800.0
2014-10-23,2800.0
2014-10-24,2800.0
2014-10-27,2800.0
2014-10-28,2800.0
2014-10-29,2800.0
2014-10-30,2800.0
2014-10-31,2800.0
2014-11-03,2800.0
2014-11-04,2800.0
2014-11-05,2800.0
2014-11-06,2800.0
2014-11-07,2800.0
2014-11-10,2800.0
2014-11-11,2800.0
2014-11-12,2780.0
2014-11-13,2780.0
