,close,close_dt,close_exchange_rate,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,open_exchange_rate,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
35,6020.0,2018-11-30,1.0,TA,TA.CZC,19,-1.0,23.0,5,6604.0,2018-11-08,1.0,20440.0,0.08843125378558449,0,,,7.0
36,6184.0,2018-12-06,1.0,TA,TA.CZC,20,-1.0,7.0,5,5850.0,2018-11-30,1.0,-11690.0,-0.0570940170940171,0,,,7.0
37,826.0,2015-08-05,1.0,J,J.DCE,1,-1.0,29.0,100,848.0,2015-07-08,1.0,13200.0,0.025943396226415096,0,,,6.0
38,1493.0,2017-01-05,1.0,J,J.DCE,2,1.0,30.0,100,1752.0,2016-12-07,1.0,-25900.0,-0.1478310502283105,0,,,1.0
39,1909.5,2017-03-31,1.0,J,J.DCE,3,-1.0,8.0,100,1898.0,2017-03-24,1.0,-2300.0,-0.006059009483667018,0,,,2.0
40,1592.0,2017-04-25,1.0,J,J.DCE,4,-1.0,26.0,100,1760.5,2017-03-31,1.0,33700.0,0.09571144561204203,0,,,2.0
41,2409.0,2018-09-11,1.0,J,J.DCE,5,-1.0,29.0,100,2484.0,2018-08-14,1.0,7500.0,0.030193236714975844,0,,,1.0
42,1945.5,2019-01-07,1.0,J,J.DCE,6,-1.0,33.0,100,1998.5,2018-12-06,1.0,5300.0,0.026519889917438078,0,,,1.0
43,1322.0,2018-09-11,1.0,JM,JM.DCE,1,1.0,29.0,60,1260.0,2018-08-14,1.0,11160.0,0.049206349206349205,0,,,3.0
44,5290.0,2015-08-05,1.0,V,V.DCE,1,1.0,29.0,5,5150.0,2015-07-08,1.0,13300.0,0.027184466019417475,0,,,19.0
45,6545.0,2019-02-11,1.0,V,V.DCE,2,-1.0,68.0,5,6450.0,2018-12-06,1.0,-2375.0,-0.014728682170542635,0,,,5.0
46,6545.0,2019-02-11,1.0,V,V.DCE,3,-1.0,36.0,5,6400.0,2019-01-07,1.0,-7975.0,-0.02265625,0,,,11.0
47,598.0,2018-12-06,1.0,ZC,ZC.CZC,1,-1.0,29.0,100,620.8,2018-11-08,1.0,9119.999999999982,0.03672680412371127,0,,,4.0
48,565.0,2019-01-07,1.0,ZC,ZC.CZC,2,-1.0,33.0,100,560.8,2018-12-06,1.0,-1260.0000000000136,-0.007489300998573548,0,,,3.0
49,2497.0,2018-12-06,1.0,MA,MA.CZC,1,1.0,29.0,10,2845.0,2018-11-08,1.0,-3480.0,-0.12231985940246046,0,,,1.0
50,2395.0,2018-12-12,1.0,MA,MA.CZC,2,1.0,35.0,10,2845.0,2018-11-08,1.0,-31500.0,-0.15817223198594024,0,,,7.0
51,2493.0,2019-01-07,1.0,MA,MA.CZC,3,1.0,27.0,10,2441.0,2018-12-12,1.0,3640.0,0.021302744776730848,0,,,7.0
52,13845.0,2015-06-25,1.0,RU,RU.SHF,1,-1.0,59.0,10,14250.0,2015-04-28,1.0,16200.0,0.028421052631578948,0,,,4.0
53,10655.0,2015-12-23,1.0,RU,RU.SHF,2,1.0,29.0,10,9630.0,2015-11-25,1.0,51250.0,0.10643821391484942,0,,,5.0
54,12020.0,2016-09-01,1.0,RU,RU.SHF,3,-1.0,29.0,10,12700.0,2016-08-04,1.0,27200.0,0.05354330708661417,0,,,4.0
