,HOLDINGS
V.DCE,5.0
PP.DCE,4.0
I.DCE,2.0
L.DCE,0.0
J.DCE,0.0
JM.DCE,0.0
ZC.CZC,0.0
RU.SHF,0.0
BU.SHF,0.0
HC.SHF,0.0
FU.SHF,0.0
TA.CZC,-5.0
RB.SHF,-5.0
MA.CZC,-7.0
