,HOLDINGS
V.DCE,4.0
RB.SHF,4.0
HC.SHF,4.0
L.DCE,3.0
PP.DCE,0.0
TA.CZC,0.0
J.DCE,0.0
BU.SHF,0.0
RU.SHF,-1.0
EG.DCE,-3.0
MA.CZC,-6.0
