,HOLDINGS
MA.CZC,7.0
V.DCE,5.0
RB.SHF,4.0
L.DCE,0.0
PP.DCE,0.0
TA.CZC,0.0
HC.SHF,0.0
RU.SHF,0.0
J.DCE,-1.0
EG.DCE,-3.0
BU.SHF,-5.0
